discovery_date,symbol,rank,setup_score,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason
2026-03-02,sz002558,1,97.6,-19.71,0.18799,0.16851,-11.46,0.10454,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,True,5.0,3.0,0.0021,0.00013,15.8255,launch_cancel_buy_to_add_buy_vs_hist_gt_2
2026-03-02,sz002345,2,89.26,-20.14,0.20629,0.21572,-15.25,0.13995,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch
2026-03-02,sz002865,3,88.01,-13.46,0.13437,0.11866,-3.69,0.08566,2026-03-04,2026-03-06,2026-03-18,pullback_absorption_confirm,10.07,0.0,0.09893,0.10589,1.6158,0.00725,0.02548,-0.13093,-16.48,38.0,True,2.0,3.0,0.00558,0.00041,13.6725,launch_cancel_buy_to_add_buy_vs_hist_gt_2
2026-03-02,sz002517,4,85.91,-8.1,0.08992,0.08552,-12.67,0.14669,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch
2026-03-02,sz002759,5,85.66,-13.18,0.14817,0.1308,-13.51,0.14537,2026-03-09,2026-03-11,2026-03-13,pullback_absorption_confirm,8.02,0.0,0.0105,0.05434,1.40279,0.01403,0.01224,-0.17342,-5.74,38.0,True,5.0,3.0,0.00038,0.00018,2.054,launch_cancel_buy_to_add_buy_vs_hist_gt_2
2026-03-02,sh601888,6,84.52,-13.11,0.11311,0.10299,-17.0,0.10145,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch
2026-03-02,sh600370,7,83.89,-14.23,0.16965,0.12653,-16.73,0.23656,2026-03-05,2026-03-09,2026-03-10,pullback_absorption_confirm,4.09,-0.87,0.01041,0.02154,1.17565,0.01238,-0.03486,0.21601,-8.61,56.92,True,3.0,3.0,0.55976,0.47701,1.1735,
2026-03-02,sh600977,8,80.15,-13.3,0.11083,0.09162,-20.79,0.11939,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch
2026-03-02,sz002326,9,79.4,-9.4,0.09074,0.08799,-14.29,0.14882,2026-03-09,2026-03-11,2026-03-25,pullback_absorption_confirm,4.46,0.0,0.00207,0.02791,1.4102,-0.04771,-0.05288,0.03006,-14.0,22.0,True,5.0,3.0,0.00027,0.00025,1.1083,
2026-03-02,sz001330,10,78.19,-7.07,0.0721,0.03458,-32.31,0.3325,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch
