model_id,filter_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top1_avg_filter_universe,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_pick_avg_filter_universe,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate
blitz_1d_fast_feedback,formal_new_or_accel_or_mainline,final_2026,2026-01,20,20,0.2,0.55,0.75,0.8,0.55,4.6314,4.6358,0.4306,-2.0265,-3.9737,0.65,0.55,0.45,0.3,0.1,176.0,20,60,0.1667,0.5167,0.7167,0.8333,0.6,4.6547,4.1659,1.0747,1.0367,-0.29,0.6833,0.5833,0.3833,0.25,0.15,176.0,0.95,0.85,0.6,0.8
blitz_1d_fast_feedback,formal_new_or_accel_or_mainline,final_2026,2026-02,14,14,0.1429,0.4286,0.4286,0.8571,0.6429,5.0817,3.9634,1.3128,0.3256,1.0605,0.7857,0.7143,0.3571,0.3571,0.1429,170.36,14,42,0.0952,0.4286,0.6667,0.9048,0.5952,4.3836,3.7756,0.2759,0.75,1.0205,0.7143,0.619,0.3571,0.1905,0.0714,170.36,1.0,1.0,0.7857,0.7857
blitz_1d_fast_feedback,formal_new_or_accel_or_mainline,final_2026,2026-03,22,22,0.0,0.4091,0.5,1.0,0.7273,6.1034,5.8148,3.9542,4.1138,4.7217,0.8636,0.7273,0.5455,0.3182,0.1364,166.68,22,66,0.0303,0.5,0.6667,0.9697,0.6212,4.9184,3.8014,1.7192,1.1663,0.0071,0.7424,0.6061,0.4242,0.2727,0.0909,166.68,1.0,0.9545,0.8636,0.8182
blitz_1d_fast_feedback,formal_new_or_accel_or_mainline,final_2026,2026-04,8,8,0.0,0.625,0.75,1.0,0.5,4.5245,5.1608,-0.154,0.5162,-0.2366,0.625,0.625,0.5,0.375,0.0,160.0,8,24,0.0,0.5417,0.625,1.0,0.625,5.4473,4.9162,1.3217,0.932,-0.2366,0.7917,0.7083,0.5,0.4167,0.0417,160.0,1.0,1.0,0.875,0.625
blitz_1d_fast_feedback,predicted_top10_future_warming,internal_a,2025-10,14,14,0.1429,0.6429,0.5,0.8571,0.4286,4.4771,3.3131,-0.5865,-1.243,-1.3141,0.6429,0.5,0.2857,0.1429,0.1429,32.14,14,42,0.0714,0.5952,0.4524,0.9286,0.4762,3.9793,2.9737,-0.2562,-0.5918,-0.5458,0.6667,0.4762,0.2381,0.1429,0.0952,32.14,1.0,0.8571,0.3571,0.7857
blitz_1d_fast_feedback,predicted_top10_future_warming,internal_a,2025-11,18,18,0.1667,0.6667,0.8333,0.8333,0.4444,3.5892,2.5924,-2.1929,-1.4885,-2.2346,0.5,0.5,0.3333,0.2222,0.0556,46.39,18,54,0.1481,0.5185,0.7037,0.8519,0.5556,4.0661,2.6191,-0.5354,0.3298,-0.2754,0.5926,0.4815,0.3704,0.1852,0.0741,46.39,1.0,0.9444,0.7778,0.8889
blitz_1d_fast_feedback,predicted_top10_future_warming,internal_b,2025-12,23,23,0.087,0.3913,0.6087,0.913,0.6087,5.559,3.7681,2.9899,3.7356,5.543,0.7391,0.6957,0.4348,0.3478,0.2174,49.91,23,69,0.1159,0.4928,0.6667,0.8841,0.5797,4.5618,3.6397,1.1559,1.99,0.7959,0.6522,0.5942,0.3623,0.2899,0.1304,49.91,1.0,0.8261,0.6087,0.7826
blitz_1d_fast_feedback,predicted_top10_future_warming,final_2026,2026-01,18,18,0.1667,0.5556,0.5,0.8333,0.7222,5.1512,4.253,0.969,1.5296,-0.3565,0.7222,0.6111,0.3889,0.3333,0.1667,56.28,18,54,0.1481,0.5741,0.6111,0.8519,0.6852,4.8817,4.3479,0.9694,1.0927,-1.2762,0.7222,0.6296,0.4259,0.2963,0.1296,56.28,1.0,0.9444,0.6667,0.6667
blitz_1d_fast_feedback,predicted_top10_future_warming,final_2026,2026-02,14,14,0.0,0.3571,0.7143,1.0,0.6429,3.4944,3.1701,-0.3882,0.8424,2.5869,0.5,0.5,0.3571,0.0714,0.0,53.29,14,42,0.0476,0.4762,0.5952,0.9524,0.5714,3.539,3.6741,0.0524,1.3688,1.0205,0.5714,0.5476,0.3333,0.0714,0.0238,53.29,1.0,0.7857,0.5714,0.7143
blitz_1d_fast_feedback,predicted_top10_future_warming,final_2026,2026-03,21,21,0.0476,0.5238,0.5714,0.9524,0.619,5.3225,5.7471,1.7756,1.0505,-0.0666,0.8095,0.6667,0.5238,0.2857,0.0476,42.57,21,63,0.127,0.5556,0.6984,0.873,0.4762,4.0796,2.8366,-0.0178,-0.7546,-1.6667,0.5714,0.4762,0.3968,0.2381,0.0794,42.57,1.0,0.8095,0.6667,0.7619
blitz_1d_fast_feedback,predicted_top10_future_warming,final_2026,2026-04,8,8,0.0,0.5,0.375,1.0,0.75,5.0949,5.4546,1.8868,3.4004,1.7642,0.875,0.75,0.5,0.375,0.0,60.38,8,24,0.0,0.3333,0.4167,1.0,0.6667,4.7753,4.342,1.703,3.6662,2.9447,0.7917,0.625,0.4167,0.2917,0.0417,60.38,1.0,1.0,0.875,1.0
blitz_1d_fast_feedback,predicted_top20_future_warming,internal_a,2025-10,17,17,0.1765,0.5882,0.5294,0.8235,0.4706,5.0466,4.3478,0.4954,1.1778,-0.9412,0.6471,0.5882,0.4706,0.2353,0.1765,69.65,17,51,0.0784,0.5686,0.6275,0.9216,0.4314,4.3769,3.6585,-0.5263,0.3079,-0.9412,0.7647,0.549,0.3725,0.1765,0.0784,69.65,1.0,0.8824,0.7059,0.8235
blitz_1d_fast_feedback,predicted_top20_future_warming,internal_a,2025-11,20,20,0.15,0.65,0.75,0.85,0.5,3.6502,3.2429,-1.4118,-1.1717,-1.4058,0.5,0.5,0.35,0.2,0.05,86.4,20,60,0.15,0.5167,0.7833,0.85,0.5167,4.3598,3.6212,-0.4222,0.153,-0.2984,0.6167,0.55,0.4,0.1833,0.1,86.4,1.0,0.95,0.7,0.85
blitz_1d_fast_feedback,predicted_top20_future_warming,internal_b,2025-12,23,23,0.0435,0.3913,0.6957,0.9565,0.6087,6.1373,5.9799,2.4785,3.1575,5.2903,0.8261,0.8261,0.5652,0.3478,0.1739,93.26,23,69,0.087,0.3768,0.6232,0.913,0.6232,5.2907,5.2434,1.6913,3.4504,3.5468,0.7826,0.7101,0.5072,0.3188,0.1159,93.26,1.0,0.9565,0.7391,0.8696
blitz_1d_fast_feedback,predicted_top20_future_warming,final_2026,2026-01,20,20,0.1,0.5,0.55,0.9,0.5,5.1681,4.6358,0.7498,1.1393,0.065,0.75,0.65,0.45,0.35,0.15,91.6,20,60,0.1333,0.5,0.6333,0.8667,0.6333,4.5225,3.3923,1.0022,1.0154,0.065,0.7167,0.5833,0.3667,0.2833,0.1,91.6,1.0,0.9,0.6,0.8
blitz_1d_fast_feedback,predicted_top20_future_warming,final_2026,2026-02,14,14,0.0,0.3571,0.7143,1.0,0.5714,3.975,4.3857,0.532,1.3386,3.1451,0.7143,0.7143,0.2857,0.0714,0.0,89.86,14,42,0.119,0.4286,0.6905,0.881,0.5952,3.2343,3.3614,-0.0199,0.5156,1.7441,0.5714,0.5476,0.2619,0.0476,0.0,89.86,1.0,0.8571,0.5714,0.7857
blitz_1d_fast_feedback,predicted_top20_future_warming,final_2026,2026-03,22,22,0.0,0.4545,0.5455,1.0,0.6818,5.7461,4.3508,2.4716,2.0859,5.8926,0.8182,0.7273,0.4545,0.3182,0.0909,88.36,22,66,0.1212,0.5152,0.697,0.8788,0.5152,4.3393,3.5692,0.4727,-0.2477,-0.6357,0.6515,0.5455,0.3636,0.197,0.0606,88.36,1.0,0.9091,0.6364,0.8636
blitz_1d_fast_feedback,predicted_top20_future_warming,final_2026,2026-04,8,8,0.0,0.5,0.375,1.0,0.75,4.3046,3.585,1.2753,2.8542,1.3599,0.75,0.625,0.375,0.375,0.0,79.25,8,24,0.0,0.375,0.4583,1.0,0.625,3.708,2.9069,0.8762,2.0875,1.8939,0.6667,0.4583,0.2917,0.25,0.0,79.25,1.0,0.875,0.625,1.0
