runup_rank,symbol,name,runup_pct,runup_start_date,runup_end_date,runup_start_price,runup_end_price,runup_days,period_return_pct,amount_avg,amount_at_start,candidate_count,candidate_dates,has_pullback_confirm_candidate,candidate_only_filter_reasons,base_trade_count,base_entry_dates,base_best_return_pct,stable_trade_count,stable_entry_dates,stable_best_return_pct,nearest_date,stage_status,setup_score_at_anchor,candidate_ok_at_anchor,primary_anchor_reason,anchor_total_amount,anchor_distribution_score,anchor_pre20_return_pct,anchor_pre20_super_price_divergence,anchor_pre20_main_price_divergence,anchor_pre5_return_pct,anchor_pre5_super_price_divergence,anchor_launch_start,anchor_launch_end,anchor_pullback_confirm_date,anchor_pullback_reason,anchor_launch3_return_pct,anchor_launch3_max_drawdown_pct,anchor_launch3_super_net_ratio,anchor_launch3_main_net_ratio,anchor_launch3_add_buy_ratio,anchor_pullback_super_net_ratio,anchor_pullback_main_net_ratio,anchor_pullback_support_spread_avg,anchor_confirm_distribution_score,anchor_launch_cancel_buy_to_add_buy,anchor_launch_cancel_buy_to_add_buy_vs_hist,reason_bucket,recommended_owner,next_action
54,sz000908,ST景峰,87.12,2026-03-11,2026-03-31,4.58,8.57,14,12.48,146041856.54,916508.38,0,,False,,0,,,0,,,2026-03-11,setup_rejected,21.8,False,成交额<2.5亿;setup_score<50,916508.38,36.0,-9.26,0.03887,-0.02525,7.24,-0.08434,2026-03-11,2026-03-13,,no_pullback_confirm,10.26,0.0,0.0,0.71932,213.71972,,,,,0.00147,7.7896,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
55,sz001389,广合科技,87.03,2026-03-23,2026-04-24,99.03,185.22,22,44.81,1302030038.68,1090865659.06,1,2026-03-26,False,,0,,,0,,,2026-03-23,setup_rejected,29.22,False,setup_score<50,1090865659.06,72.29,8.71,-0.06986,-0.07039,-5.96,0.06485,2026-03-24,2026-03-26,2026-03-27,pullback_absorption_confirm,11.71,0.0,0.07158,0.07253,1.86683,0.00193,-0.03779,0.04776,44.67,0.02032,4.2645,有发现但无回调买点,趋势中继策略,研究无标准回调的中继买点
56,sz000020,深华发Ａ,87.03,2026-03-04,2026-03-23,13.72,25.66,14,6.09,161352840.49,35292629.0,0,,False,,0,,,0,,,2026-03-04,setup_rejected,45.85,False,成交额<2.5亿;setup_score<50,35292629.0,57.22,-5.81,0.05426,0.01211,-9.47,0.09229,,,,no_launch,,,,,,,,,,,,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
57,sh603826,坤彩科技,86.69,2026-03-04,2026-04-17,19.61,36.61,31,68.13,394742381.87,401774774.77,0,,False,,0,,,0,,,2026-03-04,setup_rejected,23.41,False,setup_score<50;前20日涨幅>12,401774774.77,52.0,16.63,-0.1287,-0.14179,-3.16,0.06589,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,12.58,0.0,0.02837,0.09055,0.92326,0.01463,0.06221,0.09823,36.0,0.47145,1.1286,启动前已涨过,趋势中继策略,研究二波/中继，不强塞回调策略
58,sh600330,天通股份,86.01,2026-03-09,2026-04-23,14.8,27.53,31,46.77,2903370798.15,1973168785.73,0,,False,,0,,,0,,,2026-03-09,setup_rejected,35.28,False,setup_score<50;前20日涨幅>12,1973168785.73,68.96,16.29,-0.14943,-0.16398,-7.71,0.07887,2026-03-09,2026-03-11,2026-03-13,pullback_absorption_confirm,16.74,0.0,0.04741,-0.01433,1.27235,-0.01536,-0.06594,0.04884,68.55,0.58074,1.6381,启动前已涨过,趋势中继策略,研究二波/中继，不强塞回调策略
59,sh600184,光电股份,85.68,2026-03-23,2026-04-23,14.32,26.59,21,24.32,662711438.05,182253346.98,0,,False,,0,,,0,,,2026-03-23,setup_rejected,69.71,False,成交额<2.5亿,182253346.98,45.58,-13.1,0.10694,0.06292,-9.85,0.08394,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,17.2,0.0,0.0464,0.04218,1.04361,0.05453,0.0499,-0.06957,51.09,0.50046,1.1821,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
60,sh600227,赤天化,85.57,2026-03-06,2026-03-18,2.91,5.4,9,24.92,1045682103.94,552710490.64,0,,False,,0,,,0,,,2026-03-06,setup_rejected,6.27,False,setup_score<50;前20日涨幅>12;资金价格背离不足,552710490.64,26.0,15.0,-0.15341,-0.1737,3.82,-0.05748,2026-03-06,2026-03-10,2026-03-13,pullback_absorption_confirm,17.33,0.0,0.03322,0.03761,1.31191,0.05857,0.03481,0.08681,35.35,0.65117,1.3431,启动前已涨过,趋势中继策略,研究二波/中继，不强塞回调策略
61,sz000586,汇源通信,85.25,2026-03-23,2026-04-09,13.56,25.12,13,18.3,352424020.41,148063713.8,0,,False,,0,,,0,,,2026-03-23,setup_rejected,40.11,False,成交额<2.5亿;setup_score<50,148063713.8,44.01,-3.34,0.01473,0.01343,-6.22,0.05346,,,,no_launch,,,,,,,,,,,,成交额硬门槛错过,资金流回调稳健策略,改相对成交额/换手/历史分位
62,sz003031,中瓷电子,85.14,2026-03-24,2026-04-23,71.88,133.08,20,59.74,1268153095.84,696781244.0,0,,False,,0,,,0,,,2026-03-24,setup_rejected,44.65,False,setup_score<50,696781244.0,42.72,-1.39,0.02416,0.01932,-4.17,0.06987,2026-03-24,2026-03-26,2026-04-01,pullback_absorption_confirm,4.08,-3.51,0.04302,0.03356,2.0078,-0.00532,0.0118,-0.12176,38.0,0.02317,7.0878,低位资金结构不达标,资金流回调稳健策略,可优化发现层打分
63,sz002310,东方新能,83.48,2026-03-04,2026-03-30,2.24,4.11,19,29.11,1211876367.78,133221521.73,1,2026-04-24,False,,0,,,0,,,2026-03-04,setup_rejected,23.37,False,成交额<2.5亿;setup_score<50;资金价格背离不足,133221521.73,12.0,-2.98,0.01042,-0.02757,-4.2,0.0005,2026-03-04,2026-03-06,2026-03-10,pullback_absorption_confirm,7.33,0.0,0.03135,0.06396,1.74464,0.00031,0.03974,-0.12287,38.0,0.00018,4.1129,有发现但无回调买点,趋势中继策略,研究无标准回调的中继买点
