recommended_owner,reason,count,avg_runup_pct,symbols,next_action
资金流回调稳健策略,成交额硬门槛错过,22,119.96,"sh600396:华电辽能,sh603538:美诺华,sz002580:圣阳股份,sz003018:金富科技,sh600488:津药药业,sh600683:京投发展,sz002082:万邦德,sz002990:盛视科技,sz002328:新朋股份,sh603687:大胜达,sz003036:泰坦股份,sh605299:舒华体育",改相对成交额/换手/历史分位
趋势中继策略,启动前已涨过,8,121.65,"sz002980:华盛昌,sz002384:东山精密,sh603115:海星股份,sh603629:利通电子,sh601869:长飞光纤,sz002428:云南锗业,sh603618:杭电股份,sh603738:泰晶科技",研究二波/中继，不强塞回调策略
资金流回调稳健策略,低位资金结构不达标,5,100.43,"sh600666:奥瑞德,sh603773:沃格光电,sz002636:金安国纪,sz002491:通鼎互联,sh603950:长源东谷",可优化发现层打分
趋势中继策略,有发现但无回调买点,4,113.28,"sh603778:国晟科技,sh600105:永鼎股份,sz000533:顺钠股份,sh600722:金牛化工",研究无标准回调的中继买点
组合风险模块复核,被撤买单风险过滤,3,144.36,"sh600726:华电能源,sz001309:德明利,sz002361:神剑股份",研究强资金豁免
资金流回调稳健策略,当前策略已抓到,2,118.99,"sz000890:法尔胜,sz002342:巨力索具",保留
资金流回调稳健策略,启动识别缺失,2,108.62,"sz002297:博云新材,sh600961:株冶集团",优化启动识别
消息事件重估策略,资金流特征不足,2,103.79,"sz002432:九安医疗,sz002947:恒铭达",需要新闻/公司研究解释
资金流回调稳健策略,链路可过但未进Top10,2,103.62,"sz002957:科瑞技术,sh603256:宏和科技",优化排序/每日容量
