symbol,stock_name,discovery_date,rank,entry_date,exit_date,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,launch_cancel_buy_to_add_buy_vs_hist,launch3_return_pct,launch3_super_net_ratio,launch3_main_net_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,confirm_distribution_score,final_cum_super_ratio,final_super_peak_drawdown_pct,v13_15_action,v13_20_action,audit_note
sz002361,神剑股份,2026-03-18,1.0,2026-03-30,2026-04-24,59.71,78.01,-1.2,17.0,window_end,23.2459,11.71,0.13814,0.13531,0.26169,0.23961,1.31472,21.76,0.03793,3.62,filtered,filtered,false_killed_big_winner_gt_15
sz000703,恒逸石化,2026-03-23,10.0,2026-03-30,2026-04-23,17.8,35.75,-5.29,15.0,cum_super_peak_dd_20pct_3d,14.3943,8.11,0.05098,0.0645,0.03051,0.08327,-0.12498,48.0,0.0075,54.17,filtered,filtered,false_killed_big_winner_gt_15
