has_orderbook_l2,trade_count,win_rate,avg_return_pct,avg_gross_return_pct,median_return_pct,max_return_pct,min_return_pct,avg_holding_days,total_return_pct_signal_sum
False,23.0,39.13,1.91,2.42,-3.6,46.33,-13.02,11.3,43.99
True,10.0,70.0,9.68,10.24,8.05,52.44,-13.53,7.3,96.83
