variant_id,period,trade_date,rank,symbol,name,final_score,stable_runup_score,buyability_score,risk_penalty,entry_date,entry_buyable,entry_gap_pct,entry_open,max_runup_pct,max_drawdown_pct,close_return_pct,hit_15pct,hit_20pct,market_regime,market_is_weak,csi1000_above_ma20,csi1000_dist_ma20_pct,csi1000_ma20_slope_5d_pct,market_advancer_ratio,market_limit_up_count,market_broken_limit_up_ratio,profile,big_runup_score,daily_mfe_rank,daily_mfe_pct_rank,daily_top1pct,daily_top3pct
stable_003_hit20_full,final_2026,2026-01-05,1,sz002128,sz002128,60.445987712770275,60.445987712770275,84.14744894326792,4.249390456286983,2026-01-06,1,2.1246952281434917,29.32,7.708049113233284,-9.208731241473387,-0.1705320600272841,0,0,neutral,0,1,4.322840256610805,1.0984694649593283,0.0,0,,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-05,2,sz000960,sz000960,58.90029388377701,58.90029388377701,88.37564969362559,3.2531824611032434,2026-01-06,1,1.6265912305516217,28.74,67.67571329157968,-0.2087682672233803,28.322894919972175,1,1,neutral,0,1,4.322840256610805,1.0984694649593283,0.0,0,,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-05,3,sz000655,sz000655,58.05123638572157,58.05123638572157,81.65988519701718,1.440329218106973,2026-01-06,1,0.7201646090534863,9.79,22.880490296220636,-1.8386108273748647,5.515832482124616,1,1,neutral,0,1,4.322840256610805,1.0984694649593283,0.0,0,,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-06,1,sz000009,sz000009,53.05045693670086,53.05045693670086,86.51364903844397,0.3933136676499416,2026-01-07,1,0.1966568338249708,10.19,3.238469087340534,-8.930323846908738,-7.948969578017651,0,0,strong,0,1,5.446007546785014,1.2668994024803704,0.7957901350926798,98,0.2283464566929134,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-06,2,sh600208,sh600208,51.72815933775249,51.72815933775249,87.26542896274093,0.0,2026-01-07,1,-0.2512562814070307,3.97,5.2896725440805925,-10.075566750629728,-7.304785894206544,0,0,strong,0,1,5.446007546785014,1.2668994024803704,0.7957901350926798,98,0.2283464566929134,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-06,3,sz002715,sz002715,50.79113658045059,50.79113658045059,86.24262914384806,0.0,2026-01-07,1,-0.5138086062941527,15.49,20.852162685603616,-2.58231116849581,10.393802453195612,1,1,strong,0,1,5.446007546785014,1.2668994024803704,0.7957901350926798,98,0.2283464566929134,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-07,1,sz002692,sz002692,59.34954620616193,59.34954620616193,83.34904325230471,0.0,2026-01-08,1,-0.1912045889101432,5.22,12.06896551724137,-0.5747126436781436,6.321839080459779,0,0,neutral,0,1,5.660248818374414,1.452147056116293,0.3556393339616713,65,0.4396551724137931,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-07,2,sz000682,sz000682,53.89521969867224,53.89521969867224,86.1774228310618,0.0,2026-01-08,1,-0.2457002457002532,12.18,22.824302134646967,-0.1642036124794743,6.896551724137923,1,1,neutral,0,1,5.660248818374414,1.452147056116293,0.3556393339616713,65,0.4396551724137931,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-07,3,sz002706,sz002706,53.71057116837265,53.71057116837265,88.0517569055165,0.71620411817368,2026-01-08,1,0.35810205908684,11.21,11.150758251561111,-10.080285459411243,-8.563782337198933,0,0,neutral,0,1,5.660248818374414,1.452147056116293,0.3556393339616713,65,0.4396551724137931,stable,,,,,
stable_003_hit20_full,final_2026,2026-01-08,1,sz002706,sz002706,50.31020084122508,50.31020084122508,87.48328061716823,0.0,2026-01-09,1,0.0,11.13,11.949685534591191,-9.433962264150953,-3.8634321653189696,0,0,strong,0,1,6.1121154319141,1.656991160174881,0.6499057196731616,79,0.3070175438596491,stable,,,,,
