variant_id,period,trade_date,rank,symbol,name,final_score,big_runup_score,buyability_score,risk_penalty,entry_date,entry_buyable,entry_gap_pct,entry_open,max_runup_pct,max_drawdown_pct,close_return_pct,daily_mfe_rank,daily_mfe_pct_rank,daily_top1pct,daily_top3pct,hit_15pct,hit_20pct
pure_001_rank_full,final_2026,2026-01-05,1,sz002266,sz002266,75.8314169240367,75.8314169240367,86.68666816604521,0.0,2026-01-06,1,0.0,4.18,34.210526315789494,-0.4784688995215225,16.267942583732076,278.0,0.12241303390576838,0,0,1,1
pure_001_rank_full,final_2026,2026-01-05,2,sz002246,sz002246,74.76429041187271,74.76429041187271,88.7538155501291,1.0570824524312794,2026-01-06,1,0.5285412262156397,19.02,27.81282860147214,-0.5257623554153379,6.992639327024186,411.0,0.1809775429326288,0,0,1,1
pure_001_rank_full,final_2026,2026-01-05,3,sz000881,sz000881,74.2569507411843,74.2569507411843,86.26992648573615,0.0,2026-01-06,1,-0.11086474501108556,9.01,7.547169811320753,-9.544950055493896,-6.215316315205333,1623.0,0.714663143989432,0,0,0,0
pure_001_rank_full,final_2026,2026-01-06,1,sz002716,sz002716,73.67921347555904,73.67921347555904,93.10114390413261,3.2258064516129004,2026-01-07,1,1.6129032258064502,8.19,160.0732600732601,-6.8376068376068355,69.71916971916974,1.0,0.00041649312786339027,1,1,1,1
pure_001_rank_full,final_2026,2026-01-06,2,sz002715,sz002715,72.82578829272818,72.82578829272818,86.24262914384806,0.0,2026-01-07,1,-0.5138086062941527,15.49,20.852162685603616,-2.58231116849581,10.393802453195612,579.0,0.24114952103290296,0,0,1,1
pure_001_rank_full,final_2026,2026-01-06,3,sh600208,sh600208,72.7397727324523,72.7397727324523,87.26542896274093,0.0,2026-01-07,1,-0.2512562814070307,3.97,5.2896725440805925,-10.075566750629728,-7.304785894206544,1834.0,0.7638483965014577,0,0,0,0
pure_001_rank_full,final_2026,2026-01-07,1,sh600307,sh600307,75.29975686155203,75.29975686155203,84.96726288923821,0.0,2026-01-08,1,-0.5780346820809301,1.72,24.418604651162788,-1.1627906976744207,6.976744186046524,463.0,0.19560625264047318,0,0,1,1
pure_001_rank_full,final_2026,2026-01-07,2,sz002047,sz002047,74.39746689609699,74.39746689609699,82.62292658305745,0.5181347150259086,2026-01-08,1,0.2590673575129543,3.87,24.547803617571073,-1.033591731266148,10.33591731266148,459.0,0.19391634980988592,0,0,1,1
pure_001_rank_full,final_2026,2026-01-07,3,sz002146,sz002146,73.36410335825248,73.36410335825248,79.14395265993338,8.510638297872353,2026-01-08,1,4.255319148936176,1.96,0.0,-20.918367346938773,-16.836734693877553,2365.0,0.9991550485847064,0,0,0,0
pure_001_rank_full,final_2026,2026-01-08,1,sz002047,sz002047,75.00818418568744,75.00818418568744,80.64024007194496,2.0460358056265893,2026-01-09,1,1.0230179028132946,3.95,22.02531645569621,-2.784810126582282,9.367088607594942,479.0,0.20202446225221427,0,0,1,1
pure_001_rank_full,final_2026,2026-01-08,2,sz002584,sz002584,73.95227585066976,73.95227585066976,89.8540469340994,0.0,2026-01-09,1,-1.1506276150627714,9.45,10.89947089947092,-9.417989417989403,-5.925925925925912,1166.0,0.49177562210037956,0,0,0,0
pure_001_rank_full,final_2026,2026-01-08,3,sz000797,sz000797,73.5803527093911,73.5803527093911,88.20548897773926,0.0,2026-01-09,1,-0.25974025974027093,3.84,1.3020833333333481,-21.354166666666664,-15.364583333333325,2288.0,0.9649936735554618,0,0,0,0
pure_001_rank_full,final_2026,2026-01-09,1,sz002132,sz002132,76.22843155787606,76.22843155787606,83.55601178771,0.0,2026-01-12,1,0.0,3.54,22.316384180790962,0.0,8.47457627118644,394.0,0.15951417004048582,0,0,1,1
pure_001_rank_full,final_2026,2026-01-09,2,sz000506,sz000506,75.67252745022637,75.67252745022637,81.52527978363445,6.117989803350321,2026-01-12,1,3.0589949016751605,14.15,101.5547703180212,-3.7455830388692712,36.819787985865716,6.0,0.0024291497975708503,1,1,1,1
pure_001_rank_full,final_2026,2026-01-09,3,sz000629,sz000629,74.01241632868778,74.01241632868778,90.45109374872328,1.6759776536312554,2026-01-12,1,0.8379888268156277,3.61,24.37673130193907,-5.540166204986141,0.5540166204986097,348.0,0.1408906882591093,0,0,1,1
pure_001_rank_full,final_2026,2026-01-12,1,sz002047,sz002047,72.41713866559886,72.41713866559886,83.74582708155246,0.0,2026-01-13,1,-0.7672634271099765,3.88,24.226804123711343,-1.0309278350515427,8.247422680412386,333.0,0.12575528700906344,0,0,1,1
pure_001_rank_full,final_2026,2026-01-12,2,sz002246,sz002246,72.2201631350251,72.2201631350251,88.92957893860046,0.1988071570576455,2026-01-13,1,0.09940357852882276,20.14,20.705064548162856,-4.865938430983119,-3.6742800397219555,441.0,0.1665407854984894,0,0,1,1
pure_001_rank_full,final_2026,2026-01-12,3,sz002269,sz002269,71.19145971885601,71.19145971885601,85.55442175875943,0.0,2026-01-13,1,0.0,1.98,4.545454545454541,-8.585858585858585,-3.535353535353536,1693.0,0.6393504531722054,0,0,0,0
pure_001_rank_full,final_2026,2026-01-13,1,sz002047,sz002047,72.56951590790331,72.56951590790331,83.00501795379127,0.0,2026-01-14,1,-0.2557544757033292,3.9,23.589743589743595,-0.7692307692307665,7.948717948717943,391.0,0.14546130952380953,0,0,1,1
pure_001_rank_full,final_2026,2026-01-13,2,sz002132,sz002132,71.8816363426882,71.8816363426882,84.61915696049321,0.0,2026-01-14,1,0.0,3.62,19.613259668508288,-1.3812154696132617,4.41988950276242,533.0,0.19828869047619047,0,0,1,0
pure_001_rank_full,final_2026,2026-01-13,3,sz002266,sz002266,71.66352061765387,71.66352061765387,89.9337412147613,0.0,2026-01-14,1,0.0,4.49,24.94432071269488,-3.563474387527843,10.46770601336302,350.0,0.13020833333333334,0,0,1,1
pure_001_rank_full,final_2026,2026-01-14,1,sz002470,sz002470,77.60121402773163,77.60121402773163,85.2067750708845,0.0,2026-01-15,1,0.0,1.78,27.52808988764044,-2.8089887640449507,19.10112359550562,298.0,0.10852148579752367,0,0,1,1
pure_001_rank_full,final_2026,2026-01-14,2,sz002269,sz002269,77.5859334478728,77.5859334478728,87.61860075189152,0.0,2026-01-15,1,-0.9803921568627416,2.02,0.4950495049504955,-10.396039603960395,-8.910891089108908,2619.0,0.9537509104151493,0,0,0,0
pure_001_rank_full,final_2026,2026-01-14,3,sz002721,sz002721,74.1557348684762,74.1557348684762,87.61020250733289,0.0,2026-01-15,1,-1.183431952662728,3.34,27.245508982035926,-6.287425149700598,-2.395209580838331,306.0,0.11143481427530955,0,0,1,1
