variant_id,period,month,top1_days,top1_picks,top1_avg_mfe_22d_pct,top1_median_mfe_22d_pct,top1_p75_mfe_22d_pct,top1_hit15_rate,top1_hit20_rate,top1_hit30_rate,top1_hit40_rate,top1_daily_top1pct_rate,top1_daily_top3pct_rate,top1_avg_buyability_score,top1_avg_risk_penalty,top3_pick_days,top3_pick_picks,top3_pick_avg_mfe_22d_pct,top3_pick_median_mfe_22d_pct,top3_pick_p75_mfe_22d_pct,top3_pick_hit15_rate,top3_pick_hit20_rate,top3_pick_hit30_rate,top3_pick_hit40_rate,top3_pick_daily_top1pct_rate,top3_pick_daily_top3pct_rate,top3_pick_avg_buyability_score,top3_pick_avg_risk_penalty,top3_any_hit20_rate,top3_any_hit30_rate,top3_any_hit40_rate,top3_daily_best_avg_mfe_22d_pct,top3_daily_best_median_mfe_22d_pct,month_selector_score
pure_016_rank_market,final_2026,2026-03,22,22,4.0989,3.7,5.9806,0.0,0.0,0.0,0.0,0.0,0.0,90.5989,0.209,22,66,2.7662,2.2825,3.6567,0.0,0.0,0.0,0.0,0.0,0.0,86.3336,0.3295,0.0,0.0,0.0,4.2656,3.7,5.7639
pure_016_rank_market,final_2026,2026-04,8,8,1.6309,1.434,2.4182,0.0,0.0,0.0,0.0,0.0,0.0,88.4144,0.5479,8,24,2.574,1.769,3.0656,0.0,0.0,0.0,0.0,0.0,0.0,85.6388,0.5342,0.0,0.0,0.0,5.0088,3.4319,2.2762
pure_017_hit30_market,internal_2025,2025-10,17,17,3.942,1.3878,6.1176,0.0,0.0,0.0,0.0,0.0,0.0,89.1769,1.324,17,51,3.1021,2.4008,3.638,0.0,0.0,0.0,0.0,0.0,0.0,84.5221,0.8317,0.0,0.0,0.0,5.3823,4.1278,4.5665
pure_017_hit30_market,internal_2025,2025-11,20,20,7.3272,7.4011,8.0754,0.0,0.0,0.0,0.0,0.0,0.0,88.6208,0.9658,20,60,4.4338,4.9747,6.9868,0.0,0.0,0.0,0.0,0.0,0.0,84.78,0.9622,0.0,0.0,0.0,7.644,7.4011,10.6577
pure_017_hit30_market,internal_2025,2025-12,23,23,7.3134,7.772,9.3777,0.0,0.0,0.0,0.0,0.0,0.0,88.2709,0.5371,23,69,4.5143,4.8077,7.0326,0.0,0.0,0.0,0.0,0.0,0.0,83.8626,0.2836,0.0,0.0,0.0,7.9856,7.772,10.8108
pure_017_hit30_market,final_2026,2026-01,20,20,0.9855,0.6823,1.7536,0.0,0.0,0.0,0.0,0.0,0.0,92.0819,0.1525,20,60,1.7442,1.388,2.3618,0.0,0.0,0.0,0.0,0.0,0.0,87.39,0.1132,0.0,0.0,0.0,2.9161,2.5134,1.2925
pure_017_hit30_market,final_2026,2026-02,14,14,4.2372,3.5322,5.4448,0.0,0.0,0.0,0.0,0.0,0.0,90.1639,0.2139,14,42,2.9465,2.552,4.3583,0.0,0.0,0.0,0.0,0.0,0.0,86.2717,0.2607,0.0,0.0,0.0,5.5136,6.2374,5.8267
pure_017_hit30_market,final_2026,2026-03,22,22,4.0989,3.7,5.9806,0.0,0.0,0.0,0.0,0.0,0.0,90.5989,0.209,22,66,2.7662,2.2825,3.6567,0.0,0.0,0.0,0.0,0.0,0.0,86.3336,0.3295,0.0,0.0,0.0,4.2656,3.7,5.7639
pure_017_hit30_market,final_2026,2026-04,8,8,1.6309,1.434,2.4182,0.0,0.0,0.0,0.0,0.0,0.0,88.4144,0.5479,8,24,2.574,1.769,3.0656,0.0,0.0,0.0,0.0,0.0,0.0,85.6388,0.5342,0.0,0.0,0.0,5.0088,3.4319,2.2762
pure_018_rank_orderbook,internal_2025,2025-10,17,17,28.8953,26.0,36.9565,0.5294,0.5294,0.3529,0.2353,0.0,0.0588,78.4371,12.625,17,51,26.3965,11.4194,33.6063,0.4314,0.4314,0.3137,0.1765,0.0196,0.0588,80.2807,10.4183,0.8824,0.7647,0.4706,58.3079,36.9565,66.1233
