run_date,instrument,latest_date,close,change_pct,ret_20d_pct,ret_60d_pct,range_high_date,range_high,drawdown_from_high_pct,range_low_date,range_low,from_low_pct,stage
2026-05-09,RU主连,2026-05-08,17830,-0.31,5.3471196454948355,8.98533007334963,2024-10-08,19850,-10.176322418136019,2024-02-02,13120,35.89939024390243,2024以来修复上行，高位下方震荡；需看是否突破2024/2025高点
2026-05-09,NR主连,2026-05-08,15065,0.13,6.391242937853114,13.826973932754072,2024-12-06,15920,-5.370603015075382,2024-01-10,10740,40.270018621973925,2024以来修复上行，高位下方震荡；需看是否突破2024/2025高点
