date,year,month,oni
2020-08-01,2020,8,-0.53
2020-09-01,2020,9,-0.85
2020-10-01,2020,10,-1.12
2020-11-01,2020,11,-1.20
2020-12-01,2020,12,-1.08
2021-01-01,2021,1,-0.91
2021-02-01,2021,2,-0.79
2021-03-01,2021,3,-0.71
2021-04-01,2021,4,-0.55
2021-05-01,2021,5,-0.39
2021-06-01,2021,6,-0.30
2021-07-01,2021,7,-0.35
2021-08-01,2021,8,-0.45
2021-09-01,2021,9,-0.63
2021-10-01,2021,10,-0.76
2021-11-01,2021,11,-0.91
2021-12-01,2021,12,-0.87
2022-01-01,2022,1,-0.82
2022-02-01,2022,2,-0.79
2022-03-01,2022,3,-0.86
2022-04-01,2022,4,-0.95
2022-05-01,2022,5,-0.90
2022-06-01,2022,6,-0.78
2022-07-01,2022,7,-0.76
2022-08-01,2022,8,-0.87
2022-09-01,2022,9,-0.97
2022-10-01,2022,10,-0.94
2022-11-01,2022,11,-0.85
2022-12-01,2022,12,-0.71
2023-01-01,2023,1,-0.54
2023-02-01,2023,2,-0.29
2023-03-01,2023,3,-0.02
2023-04-01,2023,4,0.27
2023-05-01,2023,5,0.57
2023-06-01,2023,6,0.84
2023-07-01,2023,7,1.12
2023-08-01,2023,8,1.37
2023-09-01,2023,9,1.60
2023-10-01,2023,10,1.83
2023-11-01,2023,11,1.99
2023-12-01,2023,12,2.06
2024-01-01,2024,1,1.92
2024-02-01,2024,2,1.62
2024-03-01,2024,3,1.26
2024-04-01,2024,4,0.82
2024-05-01,2024,5,0.49
2024-06-01,2024,6,0.22
2024-07-01,2024,7,0.08
2024-08-01,2024,8,-0.07
2024-09-01,2024,9,-0.17
2024-10-01,2024,10,-0.21
2024-11-01,2024,11,-0.30
2024-12-01,2024,12,-0.42
2025-01-01,2025,1,-0.45
2025-02-01,2025,2,-0.24
2025-03-01,2025,3,-0.06
2025-04-01,2025,4,0.02
2025-05-01,2025,5,-0.02
2025-06-01,2025,6,-0.04
2025-07-01,2025,7,-0.14
2025-08-01,2025,8,-0.28
2025-09-01,2025,9,-0.40
2025-10-01,2025,10,-0.51
2025-11-01,2025,11,-0.55
2025-12-01,2025,12,-0.54
2026-01-01,2026,1,-0.37
2026-02-01,2026,2,-0.15
2026-03-01,2026,3,0.11
