reason,count,avg_runup_pct,avg_drawdown_pct,symbols,recommended_owner_top
确认日出货分偏高,3,46.04,-43.8,"sh603358,sz000510,sh600370",S04风险退出/诱多识别优先
买入后累计超大单从峰值明显回撤,2,61.55,-43.74,"sh603358,sh600370",S04风险退出/诱多识别优先
启动期撤买/新增买相对历史偏高但未过1.5,2,48.55,-42.42,"sz000510,sh600370",S04风险退出/诱多识别优先
硬止损退出,2,28.02,-45.23,"sh603358,sz000510",S04风险退出/诱多识别优先
启动3日涨幅偏弱,1,82.08,-40.93,sh600370,S04风险退出/诱多识别优先
退出由资金撤退触发,1,82.08,-40.93,sh600370,S04风险退出/诱多识别优先
