discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,setup_score,strategy_mode,rank,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason,liquidity_mode
2026-03-02,sz002315,69.83,69.83,374583673.94,435557746.91,370115136.365,0.8600092102538146,1.0120733715969756,0.3142857142857143,-14.1,0.14536,0.14365,-5.65,0.05909,69.83,current_abs_250m,16,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-02,sz002532,67.64,69.97,1447346894.8400002,1254301070.742,1058528174.87,1.1539070870630772,1.3673201424399986,0.7714285714285715,-8.96,0.07808,0.07552,-2.7,0.02977,67.64,current_abs_250m,17,2026-03-03,2026-03-05,2026-03-12,pullback_absorption_confirm,5.56,0.0,0.03468,0.05275,1.30845,0.01418,0.00938,-0.01451,-11.94,14.76,True,1.0,3.0,0.00104,0.00058,1.7773,,current_abs_250m
2026-03-02,sh603039,66.27,66.27,350962995.12,399971181.27699995,413720089.5500001,0.8774707067630971,0.848310256100301,0.37142857142857144,-32.23,0.31137,0.29313,-7.1,0.08658,66.27,current_abs_250m,18,2026-03-09,2026-03-11,,no_pullback_confirm,5.46,0.0,0.00775,0.07152,0.99823,,,,,,True,5.0,3.0,0.47047,0.38756,1.2139,,current_abs_250m
2026-03-02,sz000807,65.65,70.44,3612759509.8799996,2322269072.9259996,1837128276.2199998,1.5557023740268026,1.9665254498795621,0.8571428571428571,-7.12,0.05514,0.06628,-2.62,0.0384,65.65,current_abs_250m,19,2026-03-02,2026-03-04,,no_pullback_confirm,4.23,-1.19,0.01681,0.04952,1.2946,,,,,,False,0.0,3.0,0.0,0.0,0.0,insufficient_order_history,current_abs_250m
2026-03-02,sz003010,65.25,66.27,300870902.68999994,270415477.123,263399486.78499997,1.1126245653208195,1.142260777962662,0.6571428571428571,-18.22,0.17468,0.13447,-11.57,0.09629,65.25,current_abs_250m,20,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh603778,88.24,92.0,1847192491.91,1256021175.6104999,1223362769.38,1.4706698643135188,1.5099302824510155,0.7878787878787878,-16.32,0.1415,0.10104,-6.0,0.04858,88.24,current_abs_250m,1,2026-03-04,2026-03-06,,no_pullback_confirm,8.15,-1.71,0.05045,0.01328,1.15163,,,,,,True,2.0,3.0,0.51046,0.50492,1.011,,current_abs_250m
2026-03-03,sz002558,84.61,84.61,1735385597.1299999,1751656612.561,1703616602.38,0.9907110701296579,1.0186479720293977,0.5833333333333334,-21.89,0.2153,0.19874,-5.76,0.04074,84.61,current_abs_250m,2,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,True,5.0,3.0,0.0021,0.00013,15.8255,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-03,sh601601,83.49,85.93,2118469781.3699996,1624653545.8414998,1402983779.755,1.3039517174553819,1.5099745356571002,0.7222222222222222,-9.48,0.09552,0.09795,-5.95,0.05908,83.49,current_abs_250m,3,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sz001330,77.23,77.23,1211186916.8,2055299020.2090003,1709209197.775,0.5892996128012732,0.7086241510850098,0.3888888888888889,-10.12,0.10389,0.0638,-25.76,0.24232,77.23,current_abs_250m,4,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sz002517,76.2,76.2,1125417611.72,1559761192.362,1293921423.04,0.7215319994054612,0.8697727633845731,0.25,-10.52,0.11697,0.11065,-3.81,0.03185,76.2,current_abs_250m,5,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh600977,73.94,73.94,734923328.7900001,1707365721.0754998,1801919975.6699996,0.4304428276368691,0.40785569765202084,0.2222222222222222,-16.82,0.14539,0.12489,-14.43,0.07916,73.94,current_abs_250m,6,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh601628,73.7,77.52,1298198882.9800003,900393573.1035,818555444.145,1.4418126936483282,1.585963287234622,0.8055555555555556,-10.05,0.08518,0.09371,-6.08,0.03109,73.7,current_abs_250m,7,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sz002345,71.95,71.95,269397591.88,405541409.87049997,387487149.15999997,0.6642912050979596,0.6952426485988086,0.3888888888888889,-18.67,0.19081,0.19653,-8.57,0.08038,71.95,current_abs_250m,8,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh603212,69.33,69.33,405688313.34000003,920037394.2385,880648733.2900001,0.44094763525974034,0.4606698425879706,0.05555555555555555,-15.28,0.15539,0.12237,-8.87,0.07179,69.33,current_abs_250m,9,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-03,sh601888,68.99,68.99,3519317990.69,4162316276.9174995,4095237738.4599996,0.8455191188153326,0.859368421432214,0.16666666666666666,-13.99,0.12085,0.10919,-8.31,-0.01885,68.99,current_abs_250m,10,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
