model_id,filter_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top1_avg_filter_universe,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_pick_avg_filter_universe,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate,stable_month_score,offensive_month_score
low_pain_nextday,all_market,final_2026,2026-04,8,8,0.125,0.5,0.25,0.875,0.5,1.2591,1.0524,0.1896,-0.2496,-0.0364,0.25,0.125,0.0,0.0,0.0,2048.5,8,24,0.125,0.5417,0.2917,0.875,0.4583,1.4801,1.1571,0.0231,-0.0788,-0.3467,0.3333,0.125,0.0,0.0,0.0,2048.5,1.0,0.375,0.0,0.875,47.5345,30.9669
low_pain_nextday,hot_theme_member,internal_2025,2025-10,17,17,0.0,0.4706,0.2353,1.0,0.5882,2.5174,1.8817,0.479,1.1341,0.0,0.4706,0.2353,0.1176,0.0588,0.0588,172.76,17,51,0.0588,0.4314,0.3333,0.9412,0.5098,1.986,0.8347,-0.2552,0.2434,0.0,0.3529,0.2549,0.098,0.0196,0.0196,172.76,1.0,0.5882,0.2353,1.0,54.8319,40.362
low_pain_nextday,hot_theme_member,internal_2025,2025-11,20,20,0.1,0.4,0.2,0.9,0.5,1.6607,0.8103,-0.4704,-0.051,0.0464,0.25,0.15,0.05,0.05,0.0,163.9,20,60,0.0833,0.4333,0.2833,0.9167,0.55,1.8481,0.9888,0.0037,0.707,0.0198,0.2667,0.2,0.1,0.05,0.0,163.9,1.0,0.4,0.3,0.8,52.0148,35.2281
low_pain_nextday,hot_theme_member,internal_2025,2025-12,23,23,0.0,0.5217,0.1739,1.0,0.5652,1.9521,0.8475,0.5373,0.4814,-0.0702,0.2609,0.1739,0.087,0.087,0.0,180.61,23,69,0.0435,0.4493,0.1884,0.9565,0.5942,2.1837,1.1486,0.7011,0.8347,0.0,0.2754,0.2029,0.1449,0.087,0.029,180.61,1.0,0.3913,0.3478,0.7826,53.169,37.7449
low_pain_nextday,hot_theme_member,final_2026,2026-01,20,20,0.0,0.5,0.4,1.0,0.65,2.6983,2.1069,0.3591,-1.0461,-0.7177,0.5,0.25,0.1,0.1,0.0,176.15,20,60,0.05,0.4667,0.35,0.95,0.6167,2.8048,1.9634,0.5934,0.6346,0.2959,0.5,0.3167,0.1333,0.1167,0.0167,176.15,1.0,0.55,0.25,0.9,49.5568,36.4016
low_pain_nextday,hot_theme_member,final_2026,2026-02,14,14,0.0,0.2857,0.2143,1.0,0.6429,2.2925,1.4982,1.0869,0.238,0.2888,0.2143,0.1429,0.0714,0.0714,0.0714,171.07,14,42,0.0238,0.3571,0.2619,0.9762,0.5714,1.8281,1.2744,0.1253,0.3153,0.6121,0.2381,0.1667,0.0714,0.0238,0.0238,171.07,1.0,0.2857,0.1429,0.9286,57.5071,39.8407
low_pain_nextday,hot_theme_member,final_2026,2026-03,22,22,0.0,0.5909,0.4091,1.0,0.4545,2.2935,1.6849,-0.2528,-0.1829,-0.7555,0.3182,0.2727,0.1364,0.0455,0.0,167.68,22,66,0.0,0.4848,0.3788,1.0,0.5606,3.042,2.1183,0.3786,-0.0465,0.221,0.5152,0.3788,0.1818,0.1061,0.0303,167.68,1.0,0.6364,0.3636,0.8182,47.9469,35.7274
low_pain_nextday,hot_theme_member,final_2026,2026-04,8,8,0.125,0.375,0.375,0.875,0.375,1.8449,1.0555,-0.4922,1.8447,0.1555,0.25,0.125,0.125,0.125,0.0,164.5,8,24,0.0417,0.5,0.3333,0.9583,0.4167,1.7455,1.2571,-0.3064,0.9191,-0.2325,0.2917,0.1667,0.0417,0.0417,0.0,164.5,1.0,0.375,0.125,0.875,50.5051,37.0345
low_pain_nextday,new_or_accel_or_mainline,internal_2025,2025-10,17,17,0.0,0.4706,0.2941,1.0,0.5882,1.5141,1.1407,-0.0481,-0.1878,0.0,0.2941,0.2353,0.0588,0.0,0.0,92.65,17,51,0.0588,0.5098,0.3333,0.9412,0.5294,1.8196,0.8458,-0.459,-0.6128,-0.3745,0.3137,0.2353,0.1176,0.0588,0.0,92.65,1.0,0.5294,0.3529,0.7647,51.5805,35.3234
low_pain_nextday,new_or_accel_or_mainline,internal_2025,2025-11,20,20,0.15,0.35,0.35,0.85,0.6,3.2425,2.0426,1.1426,1.9916,0.6565,0.5,0.4,0.25,0.15,0.05,86.2,20,60,0.05,0.45,0.3667,0.95,0.55,2.6298,1.735,0.4714,0.9172,0.1598,0.4333,0.3333,0.1667,0.0833,0.0167,86.2,1.0,0.55,0.45,0.8,54.6349,44.6264
low_pain_nextday,new_or_accel_or_mainline,internal_2025,2025-12,23,23,0.0,0.5652,0.3043,1.0,0.5652,1.9314,1.1527,-0.0933,-0.1623,-0.3899,0.3478,0.2609,0.1304,0.0,0.0,124.22,23,69,0.0725,0.5072,0.2754,0.9275,0.5362,2.1358,0.8969,0.1202,0.1972,-0.0559,0.3043,0.2464,0.1594,0.058,0.029,124.22,1.0,0.4348,0.3913,0.7391,49.9607,35.8912
low_pain_nextday,new_or_accel_or_mainline,final_2026,2026-01,20,20,0.05,0.35,0.4,0.95,0.7,2.85,1.7527,0.8878,1.3769,1.6045,0.35,0.25,0.15,0.15,0.0,138.3,20,60,0.0833,0.4333,0.3833,0.9167,0.6333,2.9745,2.0115,0.7642,0.7567,0.3523,0.5,0.35,0.15,0.1167,0.0167,138.3,1.0,0.65,0.3,0.95,53.9892,41.4823
low_pain_nextday,new_or_accel_or_mainline,final_2026,2026-02,14,14,0.0,0.4286,0.3571,1.0,0.5714,1.8691,1.5101,-0.4839,-0.3164,0.109,0.2857,0.2143,0.0714,0.0,0.0,145.0,14,42,0.0,0.4524,0.3571,1.0,0.5238,1.5279,0.9182,-0.1249,0.0216,0.1864,0.1905,0.1667,0.0714,0.0238,0.0,145.0,1.0,0.2857,0.2143,0.8571,51.4417,35.5561
low_pain_nextday,new_or_accel_or_mainline,final_2026,2026-03,22,22,0.0,0.6364,0.4545,1.0,0.4545,2.2644,1.5752,-0.4513,-0.7648,-0.9098,0.3636,0.2727,0.1364,0.0455,0.0,149.59,22,66,0.0,0.5455,0.3788,1.0,0.5455,2.9313,1.9319,0.2563,-0.2573,-0.2627,0.5,0.3788,0.1818,0.0909,0.0303,149.59,1.0,0.6364,0.4545,0.7727,45.5759,33.9768
low_pain_nextday,new_or_accel_or_mainline,final_2026,2026-04,8,8,0.125,0.375,0.375,0.875,0.375,1.8449,1.0555,-0.4922,1.8447,0.1555,0.25,0.125,0.125,0.125,0.0,136.12,8,24,0.0833,0.4167,0.375,0.9167,0.4167,1.8178,1.5367,-0.2927,1.0938,0.2989,0.2917,0.1667,0.0417,0.0417,0.0,136.12,1.0,0.375,0.125,0.875,50.5051,37.0345
low_pain_nextday,exclude_fading,internal_2025,2025-10,17,17,0.0,0.4706,0.2353,1.0,0.5882,2.5174,1.8817,0.479,1.1341,0.0,0.4706,0.2353,0.1176,0.0588,0.0588,172.76,17,51,0.0588,0.4314,0.3333,0.9412,0.5098,1.986,0.8347,-0.2552,0.2434,0.0,0.3529,0.2549,0.098,0.0196,0.0196,172.76,1.0,0.5882,0.2353,1.0,54.8319,40.362
low_pain_nextday,exclude_fading,internal_2025,2025-11,20,20,0.1,0.4,0.2,0.9,0.5,1.6607,0.8103,-0.4704,-0.051,0.0464,0.25,0.15,0.05,0.05,0.0,163.9,20,60,0.0833,0.4333,0.2833,0.9167,0.55,1.8481,0.9888,0.0037,0.707,0.0198,0.2667,0.2,0.1,0.05,0.0,163.9,1.0,0.4,0.3,0.8,52.0148,35.2281
low_pain_nextday,exclude_fading,internal_2025,2025-12,23,23,0.0,0.5217,0.1739,1.0,0.5652,1.9521,0.8475,0.5373,0.4814,-0.0702,0.2609,0.1739,0.087,0.087,0.0,180.61,23,69,0.0435,0.4493,0.1884,0.9565,0.5942,2.1837,1.1486,0.7011,0.8347,0.0,0.2754,0.2029,0.1449,0.087,0.029,180.61,1.0,0.3913,0.3478,0.7826,53.169,37.7449
low_pain_nextday,exclude_fading,final_2026,2026-01,20,20,0.0,0.5,0.4,1.0,0.65,2.6983,2.1069,0.3591,-1.0461,-0.7177,0.5,0.25,0.1,0.1,0.0,176.15,20,60,0.05,0.4667,0.35,0.95,0.6167,2.8048,1.9634,0.5934,0.6346,0.2959,0.5,0.3167,0.1333,0.1167,0.0167,176.15,1.0,0.55,0.25,0.9,49.5568,36.4016
low_pain_nextday,exclude_fading,final_2026,2026-02,14,14,0.0,0.2857,0.2143,1.0,0.6429,2.2925,1.4982,1.0869,0.238,0.2888,0.2143,0.1429,0.0714,0.0714,0.0714,171.07,14,42,0.0238,0.3571,0.2619,0.9762,0.5714,1.8281,1.2744,0.1253,0.3153,0.6121,0.2381,0.1667,0.0714,0.0238,0.0238,171.07,1.0,0.2857,0.1429,0.9286,57.5071,39.8407
low_pain_nextday,exclude_fading,final_2026,2026-03,22,22,0.0,0.5909,0.4091,1.0,0.4545,2.2935,1.6849,-0.2528,-0.1829,-0.7555,0.3182,0.2727,0.1364,0.0455,0.0,167.68,22,66,0.0,0.4848,0.3788,1.0,0.5606,3.042,2.1183,0.3786,-0.0465,0.221,0.5152,0.3788,0.1818,0.1061,0.0303,167.68,1.0,0.6364,0.3636,0.8182,47.9469,35.7274
low_pain_nextday,exclude_fading,final_2026,2026-04,8,8,0.125,0.375,0.375,0.875,0.375,1.8449,1.0555,-0.4922,1.8447,0.1555,0.25,0.125,0.125,0.125,0.0,164.5,8,24,0.0417,0.5,0.3333,0.9583,0.4167,1.7455,1.2571,-0.3064,0.9191,-0.2325,0.2917,0.1667,0.0417,0.0417,0.0,164.5,1.0,0.375,0.125,0.875,50.5051,37.0345
low_pain_nextday,exclude_climax_and_fading_proxy,internal_2025,2025-10,17,17,0.0,0.2941,0.1765,1.0,0.7059,2.4126,1.0766,0.5397,1.5557,0.2111,0.3529,0.2353,0.1176,0.0588,0.0588,113.29,17,51,0.0392,0.3725,0.2941,0.9608,0.5882,2.2507,0.8458,0.1859,0.9161,0.2111,0.3529,0.2745,0.1176,0.0588,0.0392,113.29,1.0,0.5882,0.2353,1.0,60.0479,43.3853
low_pain_nextday,exclude_climax_and_fading_proxy,internal_2025,2025-11,20,20,0.2,0.4,0.15,0.8,0.5,1.1326,0.8103,-0.2116,0.2162,0.0,0.2,0.05,0.0,0.0,0.0,109.8,20,60,0.0833,0.4167,0.2167,0.9167,0.5833,1.981,1.2178,0.208,0.6138,0.0662,0.3,0.2,0.1333,0.05,0.0167,109.8,1.0,0.35,0.3,0.8,49.4272,31.3981
low_pain_nextday,exclude_climax_and_fading_proxy,internal_2025,2025-12,23,23,0.0,0.5652,0.2609,1.0,0.5652,2.2214,0.7937,0.7273,0.8173,-0.3899,0.2609,0.1739,0.087,0.087,0.0435,114.13,23,69,0.0435,0.4783,0.2899,0.9565,0.5362,1.8665,1.025,0.082,0.0315,0.0,0.2609,0.1739,0.087,0.0435,0.0145,114.13,1.0,0.3913,0.2174,0.7391,51.2176,37.2407
low_pain_nextday,exclude_climax_and_fading_proxy,final_2026,2026-01,20,20,0.05,0.55,0.35,0.95,0.55,3.0581,2.4727,0.7146,0.0858,-0.6873,0.6,0.3,0.2,0.1,0.0,105.05,20,60,0.0833,0.45,0.3333,0.9167,0.5833,2.6403,1.7824,0.6223,0.6235,0.6079,0.4667,0.3,0.1333,0.1,0.0,105.05,1.0,0.6,0.25,0.85,49.9353,39.1075
low_pain_nextday,exclude_climax_and_fading_proxy,final_2026,2026-02,14,14,0.0,0.2857,0.2143,1.0,0.7857,2.4742,1.383,1.4167,0.0984,0.401,0.2857,0.2857,0.0714,0.0714,0.0714,112.0,14,42,0.0,0.4048,0.2857,1.0,0.6429,2.045,1.2957,0.6398,0.0519,0.2888,0.2857,0.1905,0.0952,0.0476,0.0238,112.0,1.0,0.4286,0.2857,0.9286,58.7056,41.7138
low_pain_nextday,exclude_climax_and_fading_proxy,final_2026,2026-03,22,22,0.0,0.5909,0.5,1.0,0.4545,2.1306,1.7793,-0.6484,-0.9287,-0.7555,0.4091,0.2273,0.0909,0.0,0.0,101.82,22,66,0.0303,0.6364,0.4697,0.9697,0.5,2.0383,1.6422,-0.3898,-0.8514,-0.9093,0.3939,0.2121,0.0758,0.0152,0.0,101.82,1.0,0.5,0.2273,0.5909,45.1134,32.2664
low_pain_nextday,exclude_climax_and_fading_proxy,final_2026,2026-04,8,8,0.125,0.5,0.25,0.875,0.5,1.7645,1.0555,-0.2412,2.3928,-0.2325,0.125,0.125,0.125,0.125,0.0,99.88,8,24,0.125,0.5417,0.375,0.875,0.4167,1.6749,1.2204,-0.5589,1.0181,-0.5433,0.25,0.1667,0.0417,0.0417,0.0,99.88,1.0,0.375,0.125,0.875,50.418,37.2975
low_pain_nextday,top10_themes_only,internal_2025,2025-10,17,17,0.0,0.6471,0.4118,1.0,0.4706,2.0054,1.8817,-0.8278,-1.1719,-0.8032,0.4706,0.2941,0.0588,0.0,0.0,107.24,17,51,0.0196,0.5294,0.3922,0.9804,0.4706,1.8291,1.1885,-0.8834,-0.9099,-0.4785,0.3529,0.2157,0.0784,0.0196,0.0,107.24,1.0,0.4118,0.2353,0.7059,45.6549,32.4374
low_pain_nextday,top10_themes_only,internal_2025,2025-11,20,20,0.0,0.35,0.25,1.0,0.55,1.5535,0.6749,-0.4486,0.1602,0.184,0.2,0.15,0.05,0.05,0.0,114.6,20,60,0.05,0.45,0.3167,0.95,0.5,2.2027,0.8903,0.2335,1.199,0.0,0.35,0.2667,0.15,0.0667,0.0167,114.6,1.0,0.55,0.45,0.8,54.6977,36.9885
low_pain_nextday,top10_themes_only,internal_2025,2025-12,23,23,0.0435,0.4348,0.087,0.9565,0.6087,2.4023,1.2821,1.1717,1.205,0.1851,0.3043,0.2609,0.1739,0.1304,0.0,125.13,23,69,0.0725,0.5072,0.2174,0.9275,0.5652,2.4845,1.1527,0.8599,0.7732,-0.0559,0.2899,0.2464,0.1594,0.1159,0.058,125.13,1.0,0.3913,0.3478,0.7826,57.3984,42.8995
low_pain_nextday,top10_themes_only,final_2026,2026-01,20,20,0.0,0.6,0.45,1.0,0.6,3.1052,2.2077,0.6219,-0.7773,-1.5919,0.5,0.35,0.2,0.15,0.0,128.6,20,60,0.0333,0.45,0.3667,0.9667,0.6,3.1326,2.0115,0.8025,0.7652,0.3978,0.5,0.35,0.2,0.15,0.0333,128.6,1.0,0.55,0.35,0.95,47.9056,38.3566
low_pain_nextday,top10_themes_only,final_2026,2026-02,14,14,0.0714,0.2857,0.2857,0.9286,0.5,2.2509,1.4729,0.6992,0.812,1.3805,0.2857,0.1429,0.0714,0.0714,0.0714,116.36,14,42,0.0476,0.3333,0.3095,0.9524,0.5,1.7744,1.3003,0.1457,0.4591,0.7037,0.2143,0.1667,0.0714,0.0238,0.0238,116.36,1.0,0.2857,0.1429,0.9286,54.9833,38.5982
low_pain_nextday,top10_themes_only,final_2026,2026-03,22,22,0.0,0.4091,0.3182,1.0,0.5455,2.5593,1.6229,-0.0875,0.3119,1.2467,0.3636,0.2727,0.1364,0.0909,0.0455,115.73,22,66,0.0152,0.3485,0.2879,0.9848,0.6061,2.9488,1.8066,0.4852,0.8969,1.1408,0.4545,0.3182,0.197,0.1212,0.0303,115.73,1.0,0.5455,0.3636,0.8636,54.2938,40.2534
low_pain_nextday,top10_themes_only,final_2026,2026-04,8,8,0.125,0.625,0.375,0.875,0.375,1.7114,0.9472,-0.1794,0.7836,-1.4476,0.25,0.125,0.125,0.125,0.0,119.75,8,24,0.125,0.5417,0.375,0.875,0.4167,1.3624,1.1534,-0.652,0.129,-0.4214,0.1667,0.0417,0.0417,0.0417,0.0,119.75,1.0,0.125,0.125,0.75,43.9166,32.5208
low_pain_nextday,top15_themes_only,internal_2025,2025-10,17,17,0.0,0.4706,0.2353,1.0,0.5882,2.5174,1.8817,0.479,1.1341,0.0,0.4706,0.2353,0.1176,0.0588,0.0588,172.76,17,51,0.0588,0.4314,0.3333,0.9412,0.5098,1.986,0.8347,-0.2552,0.2434,0.0,0.3529,0.2549,0.098,0.0196,0.0196,172.76,1.0,0.5882,0.2353,1.0,54.8319,40.362
low_pain_nextday,top15_themes_only,internal_2025,2025-11,20,20,0.1,0.4,0.2,0.9,0.5,1.6607,0.8103,-0.4704,-0.051,0.0464,0.25,0.15,0.05,0.05,0.0,163.9,20,60,0.0833,0.4333,0.2833,0.9167,0.55,1.8481,0.9888,0.0037,0.707,0.0198,0.2667,0.2,0.1,0.05,0.0,163.9,1.0,0.4,0.3,0.8,52.0148,35.2281
low_pain_nextday,top15_themes_only,internal_2025,2025-12,23,23,0.0,0.5217,0.1739,1.0,0.5652,1.9521,0.8475,0.5373,0.4814,-0.0702,0.2609,0.1739,0.087,0.087,0.0,180.61,23,69,0.0435,0.4493,0.1884,0.9565,0.5942,2.1837,1.1486,0.7011,0.8347,0.0,0.2754,0.2029,0.1449,0.087,0.029,180.61,1.0,0.3913,0.3478,0.7826,53.169,37.7449
low_pain_nextday,top15_themes_only,final_2026,2026-01,20,20,0.0,0.5,0.4,1.0,0.65,2.6983,2.1069,0.3591,-1.0461,-0.7177,0.5,0.25,0.1,0.1,0.0,176.15,20,60,0.05,0.4667,0.35,0.95,0.6167,2.8048,1.9634,0.5934,0.6346,0.2959,0.5,0.3167,0.1333,0.1167,0.0167,176.15,1.0,0.55,0.25,0.9,49.5568,36.4016
low_pain_nextday,top15_themes_only,final_2026,2026-02,14,14,0.0,0.2857,0.2143,1.0,0.6429,2.2925,1.4982,1.0869,0.238,0.2888,0.2143,0.1429,0.0714,0.0714,0.0714,171.07,14,42,0.0238,0.3571,0.2619,0.9762,0.5714,1.8281,1.2744,0.1253,0.3153,0.6121,0.2381,0.1667,0.0714,0.0238,0.0238,171.07,1.0,0.2857,0.1429,0.9286,57.5071,39.8407
low_pain_nextday,top15_themes_only,final_2026,2026-03,22,22,0.0,0.5909,0.4091,1.0,0.4545,2.2935,1.6849,-0.2528,-0.1829,-0.7555,0.3182,0.2727,0.1364,0.0455,0.0,167.68,22,66,0.0,0.4848,0.3788,1.0,0.5606,3.042,2.1183,0.3786,-0.0465,0.221,0.5152,0.3788,0.1818,0.1061,0.0303,167.68,1.0,0.6364,0.3636,0.8182,47.9469,35.7274
low_pain_nextday,top15_themes_only,final_2026,2026-04,8,8,0.125,0.375,0.375,0.875,0.375,1.8449,1.0555,-0.4922,1.8447,0.1555,0.25,0.125,0.125,0.125,0.0,164.5,8,24,0.0417,0.5,0.3333,0.9583,0.4167,1.7455,1.2571,-0.3064,0.9191,-0.2325,0.2917,0.1667,0.0417,0.0417,0.0,164.5,1.0,0.375,0.125,0.875,50.5051,37.0345
low_pain_nextday,strong_and_persistent,internal_2025,2025-10,17,17,0.0,0.5294,0.2941,1.0,0.5294,2.2312,0.6415,0.0067,1.2295,-0.3745,0.3529,0.1765,0.1176,0.0588,0.0588,161.88,17,51,0.0588,0.4314,0.3333,0.9412,0.4902,1.9207,0.8032,-0.3264,0.2232,0.0,0.3333,0.2353,0.098,0.0196,0.0196,161.88,1.0,0.5294,0.2353,1.0,51.8091,37.9622
low_pain_nextday,strong_and_persistent,internal_2025,2025-11,20,20,0.1,0.35,0.2,0.9,0.55,1.6972,0.837,-0.3918,0.0358,0.2107,0.25,0.15,0.05,0.05,0.0,159.95,20,60,0.0833,0.4167,0.3,0.9167,0.5833,1.8408,0.8978,0.0815,0.7031,0.0662,0.2667,0.2,0.1,0.05,0.0,159.95,1.0,0.4,0.3,0.8,53.2294,35.9979
low_pain_nextday,strong_and_persistent,internal_2025,2025-12,23,23,0.0,0.4783,0.1304,1.0,0.5652,1.7537,0.7937,0.6147,0.5688,0.0,0.2174,0.1304,0.087,0.087,0.0,179.65,23,69,0.058,0.4493,0.1739,0.942,0.5797,2.0649,0.9542,0.6626,0.8032,0.0,0.2464,0.1739,0.1449,0.087,0.029,179.65,1.0,0.3478,0.3478,0.7826,54.439,37.9264
