model_id,filter_id,period,trade_date,rank,symbol,name,final_score,entry_date,exit_date,entry_buyable,entry_gap_pct,entry_open,day1_max_runup_pct,day1_close_return_pct,day2_close_return_pct,min_drawdown_pct,day1_no_red,day2_still_loss,deep_pain,best_theme_rank,theme_lifecycle_list,theme_name_list,filter_universe_size
spark_1_0_style,all_market,final_2026,2026-01-05,1,sz002230,,25.182495653569816,2026-01-06,2026-01-07,1,0.4086,54.06,0.9804,-0.3145,-1.9238,-2.7562,0,1,0,1.0,主线再加速|持续主线|首次新热,人脑工程|AI应用|AIGC概念|横向通用软件,2249
spark_1_0_style,all_market,final_2026,2026-01-05,2,sz002716,,23.968564416521268,2026-01-06,2026-01-07,1,3.9422,7.91,3.5398,1.8963,1.0114,-2.6549,0,0,0,4.0,主线再加速,贵金属,2249
spark_1_0_style,all_market,final_2026,2026-01-05,3,sz002243,,23.960117977682433,2026-01-06,2026-01-07,1,-0.5581,10.69,2.8064,1.5903,0.4677,-1.2161,0,0,0,3.0,主线再加速,6G概念,2249
spark_1_0_style,all_market,final_2026,2026-01-06,1,sz000100,,31.643600494886098,2026-01-07,2026-01-08,1,-1.217,4.87,0.2053,-3.2854,-4.7228,-4.9281,0,1,1,6.0,观察,AI芯片|屏下摄像,2376
spark_1_0_style,all_market,final_2026,2026-01-06,2,sh601216,,31.368362532150613,2026-01-07,2026-01-08,1,-1.1299,5.25,2.8571,0.7619,0.0,-0.7619,0,0,0,7.0,主线再加速,氯碱|化学原料,2376
spark_1_0_style,all_market,final_2026,2026-01-06,3,sh600316,,31.347086159980137,2026-01-07,2026-01-08,1,-1.793,36.15,0.249,-2.0194,4.5367,-3.0429,0,0,1,1.0,主线再加速,航母概念|航天航空,2376
spark_1_0_style,all_market,final_2026,2026-01-07,1,sz002865,,29.784388858410594,2026-01-08,2026-01-09,1,-1.1557,61.58,11.2861,11.2861,14.745,-1.4778,0,0,0,9999.0,,,2349
spark_1_0_style,all_market,final_2026,2026-01-07,2,sz000831,,29.782202595689895,2026-01-08,2026-01-09,1,-1.0111,50.91,0.8643,-1.6696,2.2196,-2.6321,0,0,0,3.0,主线再加速|持续主线,稀土永磁|小金属,2349
spark_1_0_style,all_market,final_2026,2026-01-07,3,sz002340,,29.772196727735505,2026-01-08,2026-01-09,1,-3.0011,9.05,0.7735,-2.9834,-3.0939,-4.8619,0,1,1,3.0,主线再加速,稀土永磁,2349
spark_1_0_style,all_market,final_2026,2026-01-08,1,sh600150,,29.230773279624614,2026-01-09,2026-01-12,1,0.1951,35.95,0.7789,-0.5285,0.5285,-1.2517,0,0,0,2.0,主线再加速|持续主线,国防军工|航母概念,2343
spark_1_0_style,all_market,final_2026,2026-01-08,2,sh600986,,29.22201757230568,2026-01-09,2026-01-12,1,-0.7892,8.8,10.9091,10.9091,22.0455,-1.0227,0,0,0,10.0,持续主线,短剧互动游戏,2343
spark_1_0_style,all_market,final_2026,2026-01-08,3,sz000892,,28.81873131131229,2026-01-09,2026-01-12,1,-1.3055,7.56,8.9947,7.9365,18.7831,-0.9259,0,0,0,10.0,持续主线,短剧互动游戏,2343
spark_1_0_style,all_market,final_2026,2026-01-09,1,sz002315,,30.005709666899108,2026-01-12,2026-01-13,1,3.0599,54.9,6.7395,6.1931,5.1002,-0.3643,0,0,0,1.0,主线再加速|观察,AIGC概念|互联网服务|AI应用|AI智能体,2429
