model_id,filter_id,filter_description,model_description,business_fit,final_2026_top1_days,final_2026_top1_picks,final_2026_top1_day1_no_red_rate,final_2026_top1_day2_still_loss_rate,final_2026_top1_deep_pain_rate,final_2026_top1_day1_green_rate,final_2026_top1_day1_positive_close_rate,final_2026_top1_day1_avg_mfe_pct,final_2026_top1_day1_median_mfe_pct,final_2026_top1_day1_avg_close_return_pct,final_2026_top1_day2_avg_close_return_pct,final_2026_top1_day2_median_close_return_pct,final_2026_top1_hit2_rate,final_2026_top1_hit3_rate,final_2026_top1_hit5_rate,final_2026_top1_hit7_rate,final_2026_top1_hit10_rate,final_2026_top1_avg_filter_universe,final_2026_top3_pick_days,final_2026_top3_pick_picks,final_2026_top3_pick_day1_no_red_rate,final_2026_top3_pick_day2_still_loss_rate,final_2026_top3_pick_deep_pain_rate,final_2026_top3_pick_day1_green_rate,final_2026_top3_pick_day1_positive_close_rate,final_2026_top3_pick_day1_avg_mfe_pct,final_2026_top3_pick_day1_median_mfe_pct,final_2026_top3_pick_day1_avg_close_return_pct,final_2026_top3_pick_day2_avg_close_return_pct,final_2026_top3_pick_day2_median_close_return_pct,final_2026_top3_pick_hit2_rate,final_2026_top3_pick_hit3_rate,final_2026_top3_pick_hit5_rate,final_2026_top3_pick_hit7_rate,final_2026_top3_pick_hit10_rate,final_2026_top3_pick_avg_filter_universe,final_2026_top3_any_day1_green_rate,final_2026_top3_any_hit3_rate,final_2026_top3_any_hit5_rate,final_2026_top3_any_day2_non_loss_rate
combo_pop_guard,all_market,全市场直接选股,低痛 + 当天反馈组合,偏快反馈,64,64,0.1562,0.5,0.5781,0.8438,0.6406,4.2571,2.7117,1.3795,1.7323,-0.0248,0.625,0.4688,0.3281,0.2031,0.1094,2312.61,64,192,0.0833,0.5052,0.5573,0.9167,0.5677,3.8435,2.8346,0.6016,0.5444,-0.3154,0.6094,0.4688,0.2865,0.1615,0.0625,2312.61,1.0,0.8281,0.625,0.8125
combo_pop_guard,top10_themes_only,只在热点 Top10 板块内选,低痛 + 当天反馈组合,偏快反馈,64,64,0.0469,0.4688,0.4531,0.9531,0.5312,4.0477,2.3295,0.8256,1.2118,0.5803,0.5625,0.4062,0.3594,0.2188,0.0625,120.39,64,192,0.0573,0.4896,0.4531,0.9427,0.5312,3.7506,2.64,0.5646,0.687,0.0995,0.5938,0.4792,0.3229,0.1823,0.0365,120.39,1.0,0.7031,0.5938,0.8438
combo_pop_guard,exclude_climax_and_fading_proxy,排除明显高潮 / 明显退潮,低痛 + 当天反馈组合,偏快反馈,64,64,0.0625,0.5312,0.5156,0.9375,0.5625,3.8173,2.6609,0.8741,0.7852,-0.5151,0.5938,0.4531,0.3281,0.1875,0.0469,104.81,64,192,0.0417,0.4844,0.4219,0.9583,0.5781,3.4867,2.5641,0.872,1.1041,0.0551,0.5781,0.4479,0.2656,0.1458,0.026,104.81,1.0,0.7812,0.5781,0.8281
combo_pop_guard,hot_theme_member,只保留热门板块成员,低痛 + 当天反馈组合,偏快反馈,64,64,0.0312,0.5156,0.5781,0.9688,0.5,4.1847,2.5633,0.6866,0.7168,-0.5151,0.5938,0.4375,0.3438,0.2344,0.0625,170.67,64,192,0.0417,0.5052,0.4844,0.9583,0.5469,3.7829,3.0199,0.5737,0.7162,-0.2308,0.6146,0.5,0.3073,0.1719,0.0208,170.67,1.0,0.7969,0.6094,0.8438
combo_pop_guard,exclude_fading,排除 退潮观察,低痛 + 当天反馈组合,偏快反馈,64,64,0.0312,0.5156,0.5781,0.9688,0.5,4.1847,2.5633,0.6866,0.7168,-0.5151,0.5938,0.4375,0.3438,0.2344,0.0625,170.67,64,192,0.0417,0.5052,0.4844,0.9583,0.5469,3.7829,3.0199,0.5737,0.7162,-0.2308,0.6146,0.5,0.3073,0.1719,0.0208,170.67,1.0,0.7969,0.6094,0.8438
combo_pop_guard,top15_themes_only,只在热点 Top15 板块内选,低痛 + 当天反馈组合,偏快反馈,64,64,0.0312,0.5156,0.5781,0.9688,0.5,4.1847,2.5633,0.6866,0.7168,-0.5151,0.5938,0.4375,0.3438,0.2344,0.0625,170.67,64,192,0.0417,0.5052,0.4844,0.9583,0.5469,3.7829,3.0199,0.5737,0.7162,-0.2308,0.6146,0.5,0.3073,0.1719,0.0208,170.67,1.0,0.7969,0.6094,0.8438
combo_pop_guard,strong_and_persistent,只在热点强度 + 持续性都达标的板块内选,低痛 + 当天反馈组合,偏快反馈,64,64,0.0312,0.5312,0.5781,0.9688,0.4844,4.0679,2.4852,0.603,0.5771,-0.5734,0.5781,0.4219,0.3281,0.2188,0.0625,164.89,64,192,0.0417,0.5104,0.4896,0.9583,0.5312,3.7618,2.9768,0.5439,0.6526,-0.3073,0.6146,0.4948,0.3073,0.1719,0.0208,164.89,1.0,0.7656,0.5938,0.8281
combo_pop_guard,today_strong_or_accel,只保留 今日最强 + 主线再加速,低痛 + 当天反馈组合,偏快反馈,64,64,0.0469,0.4688,0.5156,0.9531,0.4844,3.9021,2.4852,0.2172,0.5531,0.5531,0.5781,0.4531,0.3594,0.2031,0.0469,106.42,64,192,0.0573,0.5104,0.4948,0.9427,0.5104,3.6192,2.6051,0.3821,0.3306,-0.2308,0.5833,0.474,0.2969,0.1823,0.0365,106.42,0.9844,0.7188,0.5781,0.8125
combo_pop_guard,new_or_accel_or_mainline,只保留 首次新热 + 主线再加速 + 持续主线,低痛 + 当天反馈组合,偏快反馈,64,64,0.0156,0.5156,0.5781,0.9844,0.4844,4.0395,2.6681,0.3763,0.4657,-0.5151,0.5938,0.4688,0.3281,0.2031,0.0469,143.38,64,192,0.0521,0.5156,0.5156,0.9479,0.5208,3.7634,3.2921,0.4704,0.5778,-0.3629,0.6198,0.5208,0.3021,0.1719,0.026,143.38,1.0,0.8125,0.625,0.8125
