run_date,latest_trade_date,symbol,name,close,change_pct,amount_yi,turnover_pct,ret_5d_pct,ret_10d_pct,ret_20d_pct,ret_60d_pct,cycle_low_date,cycle_low,from_low_pct,cycle_high_date,cycle_high,drawdown_from_high_pct,stage,strong_trigger,weak_trigger
2026-05-07,2026-05-07,sz301308,江波龙,494.05,2.64,124.04,9.17,25.57,31.67,73.0,37.7,2026-01-05,255.27,93.54,2026-05-07,508.58,-2.86,一致加速/高位确认,分歧后守416-426且Q2预告继续强,跌回401以下或Q2毛利率显著回落
2026-05-07,2026-05-07,sz001309,德明利,622.68,7.86,135.18,13.61,27.56,20.91,76.89,130.76,2026-03-03,226.6,174.79,2026-05-07,633.0,-1.63,一致加速/高位确认,守525且存储价格继续上修,跌回489或毛利率跌破40%
2026-05-07,2026-05-07,sh688525,佰维存储,301.91,-2.96,127.23,8.94,14.08,12.36,43.57,60.85,2026-01-05,119.0,153.71,2026-05-06,318.05,-5.07,主升/二波确认,站稳318或回踩295-300不破,跌回281或高位继续派发
2026-05-07,2026-05-07,sh603986,兆易创新,350.0,1.66,160.55,6.94,15.35,20.47,40.51,13.82,2026-01-05,221.0,58.37,2026-05-07,357.36,-2.06,主升/二波确认,站稳344并继续放量承接,跌回313或中军利好不涨
2026-05-07,2026-05-07,sh688008,澜起科技,208.71,4.89,163.34,6.92,17.19,34.95,64.0,28.69,2026-01-05,119.5,74.65,2026-05-07,213.0,-2.01,主升/二波确认,站稳198-205且服务器链继续强,跌回180或估值与业绩不匹配
2026-05-07,2026-05-07,sz300475,香农芯创,193.0,-0.85,75.83,8.8,12.87,17.68,58.22,14.07,2026-04-03,121.95,58.26,2026-05-06,204.0,-5.39,主升/二波确认,海普存储放量或低位强承接,分销毛利不可持续或持续流出
