symbol,trade_date,probe_index,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,probe_strength_score,touch_up_10d,touch_up_20d,limit_close_10d,limit_close_20d,days_to_first_touch_up,days_to_first_limit_close,first_limit_close_streak,first_touch_streak,has_2board_from_first_close,has_3board_from_first_close,has_2touch_from_first_touch,has_3touch_from_first_touch,high_10d_pct,close_10d_pct,high_20d_pct,close_20d_pct,high_40d_pct,close_40d_pct,trend20_15,trend20_20,trend40_30,good_target_A,good_target_B,good_target_C,oib_top20,oib_top30,pullback_mid,probe_2_3,probe_1,probe_2_3_oib20,probe_2_3_oib20_pullback_mid,probe_1_oib20,probe_1_oib20_pullback_mid
sh600165,2025-11-14,1,first_probe,0.4280522184466016,28.125936452933747,0.7727272727272733,0.0,5.378973105134466,5.378973105134466,1.2224938875305513,82.32687408735353,0,0,0,0,,,0,0,0,0,0,0,4.106280193236711,-4.347826086956519,4.106280193236711,-20.531400966183565,7.246376811594213,-4.347826086956519,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh600178,2025-02-11,1,first_probe,0.31421367860105126,31.766198500105325,0.8404255319148931,-1.0861132660977546,7.372549019607844,6.117647058823517,1.17647058823529,77.75241689271613,0,0,0,0,26.0,26.0,1,1,0,0,0,0,0.7751937984496138,-3.7209302325581395,0.7751937984496138,-5.038759689922479,14.961240310077507,-21.472868217054263,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
sh600200,2025-04-22,1,first_probe,0.2764969705825365,15.287659849006976,0.5199999999999996,-7.889125799573559,5.787037037037046,3.47222222222221,2.77777777777779,68.67323976938077,1,1,1,1,1.0,1.0,1,1,0,0,0,0,9.909909909909898,-37.38738738738739,9.909909909909898,-39.86486486486487,9.909909909909898,-47.52252252252253,0,0,0,1,0,0,False,False,True,False,True,False,False,False,False
sh600241,2025-01-02,1,first_probe,0.48039836392051494,41.764453034268776,0.4848484848484852,-13.32470892626132,9.850746268656717,5.373134328358198,5.074626865671639,77.26732669698855,1,1,1,1,5.0,5.0,1,1,0,0,0,0,4.6875,0.28409090909089496,4.6875,-1.278409090909094,11.64772727272727,3.5511363636363535,0,0,0,1,0,0,False,False,True,False,True,False,False,False,False
sh600243,2025-08-22,1,first_probe,0.2976251868170006,13.892745850867973,0.8636363636363629,-1.9565217391304346,4.878048780487809,3.10421286031044,0.6651884700665134,69.19011238596278,0,0,0,0,,,0,0,0,0,0,0,15.41850220264318,1.7621145374449254,27.533039647577095,21.365638766519822,31.93832599118942,19.383259911894267,1,1,1,0,1,1,False,False,False,False,True,False,False,False,False
sh600289,2025-04-09,1,first_probe,0.3775392972774062,33.10158149576791,1.111111111111112,-4.040404040404044,9.473684210526322,9.473684210526322,-1.0526315789473717,85.71377786079103,0,0,0,0,,,0,0,0,0,0,0,29.964539007092217,12.765957446808528,29.964539007092217,0.0,29.964539007092217,-1.0638297872340385,1,1,0,0,1,0,False,False,False,False,True,False,False,False,False
sh600289,2025-04-25,2,retest_probe,0.4701056238497887,26.926462733695587,0.8571428571428575,-4.966887417218535,6.097560975609739,5.7491289198606355,0.8710801393728262,85.26645671367017,0,0,0,0,,,0,0,0,0,0,0,5.0086355785837755,0.17271157167528806,5.181347150259064,-11.571675302245254,35.75129533678756,25.38860103626943,0,0,1,0,0,1,False,False,False,True,False,False,False,False,False
sh600303,2025-04-21,1,first_probe,0.4085997086749337,23.88643129367034,0.47058823529411764,-4.060913705583758,8.994708994709,7.14285714285714,4.761904761904767,77.95520944965494,1,1,0,0,2.0,,0,1,0,0,0,0,19.949494949494962,7.3232323232323315,19.949494949494962,2.525252525252508,19.949494949494962,-5.303030303030298,1,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh600310,2025-04-30,1,first_probe,0.559467060849642,17.342232514227877,0.6086956521739144,-9.740259740259749,5.515587529976029,4.556354916067162,2.1582733812949506,71.88016110554157,0,0,0,0,,,0,0,0,0,0,0,6.103286384976525,3.2863849765258246,6.103286384976525,-0.9389671361502372,6.103286384976525,-3.0516431924882625,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh600353,2025-04-08,1,first_probe,0.518517666635413,28.69955200075483,1.0363636363636357,-9.736540664375726,6.979695431472077,3.045685279187804,-0.25380710659898,79.39053295639044,1,1,0,0,7.0,40.0,1,1,0,0,0,0,10.432569974554706,5.9796437659032975,19.59287531806615,15.64885496183206,44.529262086513974,37.913486005089055,1,0,1,0,0,1,False,False,False,False,True,False,False,False,False
sh600353,2025-09-02,2,retest_probe,0.2641828004633039,14.351552898247784,1.4562499999999998,1.3719512195121908,8.020050125313283,6.566416040100265,-3.659147869674184,77.07360452906258,0,0,0,0,21.0,21.0,1,1,0,0,0,0,3.537981269510926,-5.93132154006244,3.537981269510926,-12.851196670135268,11.290322580645174,-15.660770031217474,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False
sh600355,2025-04-16,1,first_probe,0.2726130591223572,19.426382525467325,0.5000000000000007,-1.552795031055909,10.191082802547768,9.872611464968163,4.100946372239744,81.33161434264808,0,0,0,0,,,0,0,0,0,0,0,-0.9090909090909038,-23.636363636363633,-0.9090909090909038,-19.090909090909093,1.81818181818183,-10.606060606060597,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh600360,2025-05-06,1,first_probe,0.5634310980119681,22.74777012096218,0.40816326530612157,-5.007824726134579,8.072487644151561,6.0955518945634335,4.777594728171342,77.51374672002169,0,0,0,0,,,0,0,0,0,0,0,5.660377358490565,1.729559748427656,15.566037735849036,14.779874213836464,41.03773584905661,40.251572327044016,1,0,1,0,0,1,False,False,True,False,True,False,False,False,False
sh600381,2025-04-21,1,first_probe,0.46203212039177494,67.26521931019177,0.7500000000000011,-5.063291139240511,5.3333333333333455,4.0000000000000036,1.3333333333333197,83.39451750452636,0,0,0,0,,,0,0,0,0,0,0,-0.7894736842105177,-1.0526315789473717,7.8947368421052655,0.7894736842105399,30.00000000000003,19.999999999999996,0,0,1,0,0,1,False,False,True,False,True,False,False,False,False
sh600396,2025-07-08,1,first_probe,0.2695526034583104,34.18491903004437,1.4210526315789478,0.2597402597402487,4.922279792746109,2.849740932642497,-2.0725388601036343,74.9727533213973,1,1,1,1,4.0,4.0,1,1,0,0,0,0,8.994708994709,-3.4391534391534417,8.994708994709,-10.582010582010582,8.994708994709,-12.43386243386243,0,0,0,1,0,0,False,False,False,False,True,False,False,False,False
sh600408,2025-10-30,1,first_probe,0.3535815304506168,19.611780353046914,2.199999999999998,-3.0985915492957705,5.813953488372103,2.9069767441860517,-6.976744186046502,77.28133114045578,1,1,1,1,2.0,2.0,3,3,1,1,1,1,77.8125,77.8125,115.625,44.06250000000001,115.625,38.74999999999999,1,1,1,1,1,1,False,False,False,False,True,False,False,False,False
sh600530,2025-01-06,1,first_probe,0.28084907609034937,214.80791564760472,1.0,-9.931506849315074,9.125475285171113,6.4638783269961975,0.0,89.90636432999773,1,1,1,1,4.0,4.0,1,1,0,0,0,0,2.281368821292773,-8.935361216730032,2.281368821292773,-7.224334600760452,2.281368821292773,-0.9505703422053147,0,0,0,1,0,0,False,False,False,False,True,False,False,False,False
sh600594,2025-08-25,1,first_probe,0.8232931403111287,23.880689774599986,0.8333333333333338,0.22321428571427937,6.493506493506485,6.493506493506485,4.008908685968815,83.57944261585241,0,0,0,0,,,0,0,0,0,0,0,0.21413276231263545,-5.781584582441102,0.21413276231263545,-11.134903640256955,0.21413276231263545,-8.993576017130621,0,0,0,0,0,0,True,True,False,False,True,False,False,True,False
sh600629,2024-11-15,1,first_probe,0.28236115960534913,19.027754457821327,1.3082706766917294,-3.6644165863066402,13.313313313313312,12.112112112112094,-4.104104104104101,79.6470474424146,0,1,0,1,20.0,20.0,1,2,0,0,1,0,0.0,-20.250521920668064,0.0,-5.532359081419614,3.9665970772442716,-16.805845511482254,0,0,0,1,0,0,False,False,False,False,True,False,False,False,False
sh600629,2025-10-09,2,retest_probe,0.26700460512398333,16.787794622006313,1.2857142857142856,1.0805158591843833,8.448275862068954,5.1724137931034475,-2.4137931034482696,78.08037136605363,1,1,1,1,3.0,4.0,2,3,1,0,1,1,44.62897526501766,17.173144876325065,44.62897526501766,-20.49469964664311,44.62897526501766,-31.09540636042403,1,1,1,1,1,1,False,False,False,True,False,False,False,False,False
sh600629,2025-10-17,3,retest_probe,0.2892737488193289,18.17831975797875,0.8499999999999979,1.5037593984962294,5.291005291005302,5.211640211640223,0.793650793650813,72.03791099122937,1,1,1,1,2.0,2.0,1,1,0,0,0,0,7.427821522309697,-39.58005249343832,7.427821522309697,-43.30708661417323,7.427821522309697,-48.55643044619422,0,0,0,1,0,0,False,False,False,True,False,False,False,False,False
sh600653,2024-11-04,1,first_probe,0.2625800983318153,18.489618031993505,0.9166666666666666,-10.080645161290324,10.762331838565032,8.520179372197312,0.8968609865470878,85.26049071016615,1,1,1,1,3.0,3.0,2,2,1,0,1,0,28.000000000000004,-0.4444444444444362,28.000000000000004,5.777777777777771,32.00000000000001,-3.111111111111109,1,1,1,1,1,1,False,False,False,False,True,False,False,False,False
sh600696,2025-03-19,1,first_probe,0.2989982104044489,16.692873237503665,0.5897435897435891,-3.007518796992481,6.04651162790697,5.658914728682163,2.4806201550387597,70.96117012587226,0,0,0,0,,,0,0,0,0,0,0,4.841149773071085,-31.39183055975794,4.841149773071085,-35.627836611195164,4.841149773071085,-46.974281391830566,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh600698,2024-09-24,1,first_probe,0.3175806380898185,32.05493275530899,1.0625000000000016,2.844638949671774,6.80851063829786,4.680851063829783,-0.42553191489362874,78.64763388025541,0,1,0,1,20.0,20.0,1,1,0,0,0,0,16.880341880341888,3.418803418803429,28.846153846153854,28.846153846153854,41.025641025641036,8.974358974358964,1,1,1,1,1,1,False,False,False,False,True,False,False,False,False
sh600716,2024-09-25,1,first_probe,2.395482447143865,26.023765554764786,1.105263157894737,2.807017543859658,6.484641638225264,6.484641638225264,-0.6825938566552892,85.33872715940889,0,0,0,0,,,0,0,0,0,0,0,29.896907216494828,11.683848797250862,29.896907216494828,15.120274914089338,32.302405498281786,25.42955326460481,1,1,1,0,1,1,True,True,False,False,True,False,False,True,False
sh600745,2025-11-10,1,first_probe,0.3647190956087749,22.641610540763978,0.5277777777777783,0.0,6.400000000000006,5.777777777777771,3.022222222222215,72.8373859870222,0,0,0,0,,,0,0,0,0,0,0,2.8472821397756753,-11.906816220880057,2.8472821397756753,-15.53062985332183,2.8472821397756753,-16.975841242450386,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh600798,2025-05-30,1,first_probe,0.26697455710980367,13.568312271345043,0.9583333333333343,-2.518891687657432,6.266318537859017,5.7441253263707415,-0.7751937984496138,75.90548955096982,1,1,1,1,6.0,6.0,1,2,0,0,1,0,19.27083333333335,10.677083333333348,34.375,18.75,34.375,7.552083333333326,1,1,1,1,1,1,False,False,False,False,True,False,False,False,False
sh600829,2025-03-11,1,first_probe,0.29642291857295083,21.701223426188147,0.6136363636363633,0.47505938242280443,5.200945626477527,4.018912529550822,2.009456264775422,71.11899494343687,0,0,0,0,,,0,0,0,0,0,0,0.9269988412514474,-7.41599073001159,0.9269988412514474,-17.84472769409039,0.9269988412514474,-15.990730011587495,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh600831,2025-11-10,1,first_probe,0.2617158275719063,26.00243581975389,0.5128205128205126,-3.992015968063878,8.108108108108114,3.1185031185031242,3.950103950103956,74.1154015111789,1,1,1,1,1.0,1.0,1,1,0,0,0,0,13.200000000000012,-6.999999999999995,13.200000000000012,-10.199999999999998,13.200000000000012,-15.199999999999992,0,0,0,1,0,0,False,False,True,False,True,False,False,False,False
sh600839,2025-02-14,1,first_probe,0.408580028181728,17.76433453097199,1.3855421686746991,0.1544401544401719,6.3993831919815,3.7779491133384857,-2.4672320740169673,77.22388811982674,0,0,0,0,,,0,0,0,0,0,0,3.5573122529644285,-10.909090909090914,3.5573122529644285,-9.802371541501975,3.5573122529644285,-22.21343873517787,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
sh600857,2024-11-13,1,first_probe,0.25416004758134425,32.50137252194492,1.2063492063492063,0.898587933247752,8.015267175572527,4.580152671755733,-1.653944020356235,80.91896157414456,0,1,0,0,15.0,31.0,1,1,0,0,0,0,-0.7761966364812523,-2.975420439844767,16.300129366106077,14.74773609314357,32.34152652005176,3.2341526520051733,1,0,1,0,0,1,False,False,False,False,True,False,False,False,False
sh600865,2024-12-06,1,first_probe,0.6604895486935389,22.908610347601716,0.9090909090909108,-0.4098360655737654,5.418719211822642,4.433497536945796,4.938271604938249,75.74493120658246,1,1,0,1,3.0,13.0,2,1,1,0,0,0,13.823529411764701,-7.745098039215681,26.470588235294134,-1.5686274509803977,26.470588235294134,-10.98039215686274,1,1,0,1,1,0,False,True,False,False,True,False,False,False,False
sh600892,2025-04-02,1,first_probe,4.9300758350358285,30.41441944206637,0.5333333333333327,0.0,9.740259740259738,9.740259740259738,4.545454545454541,80.58101031709509,0,0,0,0,,,0,0,0,0,0,0,-0.6211180124223614,-8.385093167701863,-0.6211180124223614,-18.012422360248447,13.35403726708073,13.35403726708073,0,0,0,0,0,0,True,True,True,False,True,False,False,True,True
sh600981,2024-09-25,1,first_probe,0.3882577340480077,33.11673656209116,1.0,2.0408163265306145,6.000000000000005,3.499999999999992,0.0,78.91845168783473,0,1,0,1,13.0,13.0,3,3,1,1,1,1,27.499999999999993,4.0000000000000036,59.00000000000001,36.5,59.00000000000001,35.00000000000001,1,1,1,1,1,1,False,False,False,False,True,False,False,False,False
sh601008,2025-06-24,1,first_probe,0.36162173014641386,19.69259988430901,0.8222222222222222,-5.124653739612195,6.569343065693434,4.817518248175179,1.167883211678844,75.13273068268289,0,0,0,0,,,0,0,0,0,0,0,0.43290043290042934,-4.040404040404033,0.43290043290042934,-10.678210678210664,0.43290043290042934,-13.564213564213556,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
sh601727,2024-11-11,1,first_probe,0.28757803980411956,16.27539573775275,1.0112359550561796,-9.918699186991875,8.032490974729246,3.1588447653429608,-0.09025270758122872,77.07691312223334,0,1,0,1,15.0,15.0,1,1,0,0,0,0,3.703703703703698,-18.06684733514001,3.703703703703698,-19.42186088527552,3.703703703703698,-35.14001806684733,0,0,0,1,0,0,False,False,False,False,True,False,False,False,False
sh601908,2024-11-15,1,first_probe,0.3084171450885316,53.055611585621094,0.7777777777777776,1.2539184952978122,8.359133126934992,6.19195046439629,1.8575851393188847,78.04682453326798,0,0,0,0,27.0,27.0,1,2,0,0,1,0,-1.2158054711246202,-4.255319148936176,6.990881458966558,0.3039513677811412,26.443768996960483,-20.972644376899694,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
