symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,probe_strength_score,hot_theme_best_rank,hot_theme_score,hot_theme_is_top10,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,trend20_probability,trend20_probability_sample_split,target_trend20,target_trend40,high_20d_pct,high_40d_pct
sh600165,2025-11-14,1.0,0.4280522184466016,0.7727272727272733,0.0,82.32687408735353,336.0,41.7,0.0,0,0,1,0.09259259259259259,valid,0,0,4.106280193236711,7.246376811594213
sh600178,2025-02-11,1.0,0.31421367860105126,0.8404255319148931,-1.0861132660977546,77.75241689271613,205.0,52.4,0.0,1,0,0,0.1388888888888889,train,0,0,0.7751937984496138,14.961240310077507
sh600200,2025-04-22,1.0,0.2764969705825365,0.5199999999999996,-7.889125799573559,68.67323976938077,,,,1,0,0,,,0,0,9.909909909909898,9.909909909909898
sh600241,2025-01-02,1.0,0.48039836392051494,0.4848484848484852,-13.32470892626132,77.26732669698855,28.0,71.6,0.0,0,0,1,0.5208333333333335,train,0,0,4.6875,11.64772727272727
sh600243,2025-08-22,1.0,0.2976251868170006,0.8636363636363629,-1.9565217391304346,69.19011238596278,158.0,64.1,0.0,0,0,1,0.08955223880597014,train,1,1,27.533039647577095,31.93832599118942
sh600289,2025-04-09,1.0,0.3775392972774062,1.111111111111112,-4.040404040404044,85.71377786079103,88.0,72.3,0.0,0,0,0,0.575,train,1,0,29.964539007092217,29.964539007092217
sh600289,2025-04-25,2.0,0.4701056238497887,0.8571428571428575,-4.966887417218535,85.26645671367017,125.0,64.3,0.0,1,0,0,0.575,train,0,1,5.181347150259064,35.75129533678756
sh600303,2025-04-21,1.0,0.4085997086749337,0.47058823529411764,-4.060913705583758,77.95520944965494,100.0,70.7,0.0,0,0,0,0.2,train,0,0,19.949494949494962,19.949494949494962
sh600310,2025-04-30,1.0,0.559467060849642,0.6086956521739144,-9.740259740259749,71.88016110554157,499.0,30.5,0.0,1,0,0,0.5208333333333335,train,0,0,6.103286384976525,6.103286384976525
sh600353,2025-04-08,1.0,0.518517666635413,1.0363636363636357,-9.736540664375726,79.39053295639044,300.0,46.2,0.0,1,0,0,0.5,train,0,1,19.59287531806615,44.529262086513974
sh600353,2025-09-02,2.0,0.2641828004633039,1.4562499999999998,1.3719512195121908,77.07360452906258,333.0,38.5,0.0,0,1,0,0.2,train,0,0,3.537981269510926,11.290322580645174
sh600355,2025-04-16,1.0,0.2726130591223572,0.5000000000000007,-1.552795031055909,81.33161434264808,,,,0,0,0,,,0,0,-0.9090909090909038,1.81818181818183
sh600360,2025-05-06,1.0,0.5634310980119681,0.40816326530612157,-5.007824726134579,77.51374672002169,43.0,80.7,0.0,0,0,0,0.4444444444444444,train,0,1,15.566037735849036,41.03773584905661
sh600381,2025-04-21,1.0,0.46203212039177494,0.7500000000000011,-5.063291139240511,83.39451750452636,45.0,78.4,0.0,0,0,0,0.0,train,0,1,7.8947368421052655,30.00000000000003
sh600396,2025-07-08,1.0,0.2695526034583104,1.4210526315789478,0.2597402597402487,74.9727533213973,551.0,31.1,0.0,0,0,0,0.288135593220339,train,0,0,8.994708994709,8.994708994709
sh600408,2025-10-30,1.0,0.3535815304506168,2.199999999999998,-3.0985915492957705,77.28133114045578,200.0,49.2,0.0,0,1,0,0.4,valid,1,1,115.625,115.625
sh600530,2025-01-06,1.0,0.28084907609034937,1.0,-9.931506849315074,89.90636432999773,171.0,56.9,0.0,0,0,0,0.0,train,0,0,2.281368821292773,2.281368821292773
sh600594,2025-08-25,1.0,0.8232931403111287,0.8333333333333338,0.22321428571427937,83.57944261585241,306.0,48.8,0.0,0,0,0,0.2,train,0,0,0.21413276231263545,0.21413276231263545
sh600629,2024-11-15,1.0,0.28236115960534913,1.3082706766917294,-3.6644165863066402,79.6470474424146,71.0,65.3,0.0,0,1,0,0.09259259259259259,train,0,0,0.0,3.9665970772442716
sh600629,2025-10-09,2.0,0.26700460512398333,1.2857142857142856,1.0805158591843833,78.08037136605363,84.0,77.0,0.0,0,1,1,0.288135593220339,valid,1,1,44.62897526501766,44.62897526501766
sh600629,2025-10-17,3.0,0.2892737488193289,0.8499999999999979,1.5037593984962294,72.03791099122937,73.0,61.4,0.0,0,0,0,0.0,valid,0,0,7.427821522309697,7.427821522309697
sh600653,2024-11-04,1.0,0.2625800983318153,0.9166666666666666,-10.080645161290324,85.26049071016615,394.0,45.6,0.0,0,1,0,0.575,train,1,1,28.000000000000004,32.00000000000001
sh600696,2025-03-19,1.0,0.2989982104044489,0.5897435897435891,-3.007518796992481,70.96117012587226,309.0,43.0,0.0,0,0,0,0.08955223880597014,train,0,0,4.841149773071085,4.841149773071085
sh600698,2024-09-24,1.0,0.3175806380898185,1.0625000000000016,2.844638949671774,78.64763388025541,230.0,61.2,0.0,0,1,0,0.2,train,1,1,28.846153846153854,41.025641025641036
sh600716,2024-09-25,1.0,2.395482447143865,1.105263157894737,2.807017543859658,85.33872715940889,35.0,79.3,0.0,1,0,1,0.4,train,1,1,29.896907216494828,32.302405498281786
sh600745,2025-11-10,1.0,0.3647190956087749,0.5277777777777783,0.0,72.8373859870222,155.0,64.7,0.0,0,0,0,0.09259259259259259,valid,0,0,2.8472821397756753,2.8472821397756753
sh600798,2025-05-30,1.0,0.26697455710980367,0.9583333333333343,-2.518891687657432,75.90548955096982,325.0,38.0,0.0,0,0,0,0.2,train,1,1,34.375,34.375
sh600829,2025-03-11,1.0,0.29642291857295083,0.6136363636363633,0.47505938242280443,71.11899494343687,416.0,38.3,0.0,1,0,0,0.2,train,0,0,0.9269988412514474,0.9269988412514474
sh600831,2025-11-10,1.0,0.2617158275719063,0.5128205128205126,-3.992015968063878,74.1154015111789,28.0,81.6,0.0,1,0,0,0.5954268841317825,valid,0,0,13.200000000000012,13.200000000000012
sh600839,2025-02-14,1.0,0.408580028181728,1.3855421686746991,0.1544401544401719,77.22388811982674,81.0,72.9,0.0,0,0,0,0.1388888888888889,train,0,0,3.5573122529644285,3.5573122529644285
sh600865,2024-12-06,1.0,0.6604895486935389,0.9090909090909108,-0.4098360655737654,75.74493120658246,48.0,78.9,0.0,0,0,0,0.288135593220339,train,1,0,26.470588235294134,26.470588235294134
sh600892,2025-04-02,1.0,4.9300758350358285,0.5333333333333327,0.0,80.58101031709509,92.0,63.4,0.0,0,0,0,0.08955223880597014,train,0,0,-0.6211180124223614,13.35403726708073
sh600981,2024-09-25,1.0,0.3882577340480077,1.0,2.0408163265306145,78.91845168783473,221.0,55.1,0.0,0,0,0,0.24444444444444444,train,1,1,59.00000000000001,59.00000000000001
sh601008,2025-06-24,1.0,0.36162173014641386,0.8222222222222222,-5.124653739612195,75.13273068268289,275.0,54.7,0.0,0,0,0,0.288135593220339,train,0,0,0.43290043290042934,0.43290043290042934
sh601727,2024-11-11,1.0,0.28757803980411956,1.0112359550561796,-9.918699186991875,77.07691312223334,219.0,61.2,0.0,0,0,0,0.08955223880597014,train,0,0,3.703703703703698,3.703703703703698
sh601908,2024-11-15,1.0,0.3084171450885316,0.7777777777777776,1.2539184952978122,78.04682453326798,136.0,56.1,0.0,0,0,0,0.09259259259259259,train,0,0,6.990881458966558,26.443768996960483
sh603001,2024-12-23,1.0,0.29934214513247,0.7073170731707316,-2.657342657342665,69.9768125275768,60.0,61.1,0.0,0,0,0,0.0,train,0,0,-10.028248587570621,-10.028248587570621
sh603007,2024-11-18,1.0,0.3207371397012569,1.0,-5.01152073732719,81.71672523685544,67.0,68.2,0.0,0,0,0,0.0,train,0,0,-4.97271073377804,-4.97271073377804
