symbol,trade_date,probe_index,sequence_label,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,days_to_up_15,days_to_up_20,days_to_up_30,days_to_down_8,days_to_down_15
sh600243,2025-08-22,1,首次试盘,first_probe,0.2976251868170006,13.892745850867971,0.8636363636363629,-1.9565217391304344,4.878048780487809,3.10421286031044,0.6651884700665134,1,1,1,0,0,3.0,16.0,25.0,,
sh600289,2025-04-09,1,首次试盘,first_probe,0.3775392972774062,33.10158149576791,1.111111111111112,-4.040404040404044,9.473684210526322,9.473684210526322,-1.0526315789473717,1,1,1,0,0,3.0,4.0,51.0,32.0,
sh600303,2025-04-21,1,首次试盘,first_probe,0.4085997086749337,23.88643129367034,0.4705882352941176,-4.060913705583758,8.994708994709,7.14285714285714,4.761904761904767,1,0,0,0,0,2.0,,,50.0,
sh600353,2025-04-08,1,首次试盘,first_probe,0.518517666635413,28.69955200075483,1.0363636363636357,-9.736540664375726,6.979695431472077,3.045685279187804,-0.25380710659898,1,1,1,0,0,17.0,25.0,31.0,1.0,
sh600360,2025-05-06,1,首次试盘,first_probe,0.5634310980119681,22.74777012096218,0.4081632653061215,-5.007824726134579,8.072487644151561,6.0955518945634335,4.777594728171342,1,1,1,0,0,20.0,21.0,32.0,,
sh600408,2025-10-30,1,首次试盘,first_probe,0.3535815304506168,19.61178035304691,2.199999999999998,-3.0985915492957705,5.813953488372103,2.9069767441860517,-6.976744186046502,1,1,1,0,0,3.0,4.0,5.0,,
sh600629,2025-10-09,2,重新试盘,retest_probe,0.2670046051239833,16.787794622006313,1.2857142857142856,1.0805158591843833,8.448275862068954,5.1724137931034475,-2.4137931034482696,1,1,1,0,0,4.0,5.0,5.0,1.0,14.0
sh600653,2024-11-04,1,首次试盘,first_probe,0.2625800983318153,18.489618031993505,0.9166666666666666,-10.080645161290324,10.762331838565032,8.520179372197312,0.8968609865470878,1,1,1,0,0,4.0,4.0,25.0,15.0,44.0
sh600698,2024-09-24,1,首次试盘,first_probe,0.3175806380898185,32.05493275530899,1.0625000000000016,2.844638949671774,6.80851063829786,4.680851063829783,-0.4255319148936287,1,1,1,0,0,5.0,19.0,21.0,,
sh600716,2024-09-25,1,首次试盘,first_probe,2.395482447143865,26.023765554764783,1.105263157894737,2.807017543859658,6.484641638225264,6.484641638225264,-0.6825938566552892,1,1,1,0,0,3.0,4.0,27.0,,
sh600798,2025-05-30,1,首次试盘,first_probe,0.2669745571098036,13.568312271345045,0.9583333333333344,-2.518891687657432,6.266318537859017,5.7441253263707415,-0.7751937984496138,1,1,1,0,0,7.0,11.0,16.0,,
sh600857,2024-11-13,1,首次试盘,first_probe,0.2541600475813442,32.50137252194492,1.2063492063492065,0.898587933247752,8.015267175572527,4.580152671755733,-1.653944020356235,1,1,1,0,0,20.0,21.0,35.0,3.0,
sh600865,2024-12-06,1,首次试盘,first_probe,0.6604895486935389,22.908610347601716,0.9090909090909108,-0.4098360655737654,5.418719211822642,4.433497536945796,4.938271604938249,1,1,0,0,0,15.0,17.0,,9.0,24.0
sh600981,2024-09-25,1,首次试盘,first_probe,0.3882577340480077,33.11673656209116,1.0,2.0408163265306145,6.000000000000005,3.499999999999992,0.0,1,1,1,0,0,3.0,4.0,15.0,,
sh603093,2025-06-30,1,首次试盘,first_probe,0.2617385256556476,13.698447449073724,1.2690058479532167,-1.978494623655913,7.503290917068894,4.651162790697683,-2.0184291355857864,1,1,0,0,0,9.0,9.0,,1.0,
sh603108,2025-04-28,1,首次试盘,first_probe,0.3018875486567545,36.682362903836605,0.5523809523809537,-6.198347107438018,6.607929515418509,3.838892385147896,2.9578351164254224,1,1,0,0,0,3.0,8.0,,,
sh603110,2024-11-20,1,首次试盘,first_probe,0.2768613360909095,19.078883560513468,0.7720588235294126,1.1302795954788891,8.000000000000007,4.823529411764715,1.8235294117646903,1,1,1,0,0,6.0,6.0,55.0,3.0,24.0
sh603122,2025-11-21,1,首次试盘,first_probe,0.4020558357781086,36.1087535842458,1.0,-8.326967150496555,10.271646859083194,5.432937181663844,-1.8333333333333424,1,1,1,0,0,11.0,11.0,20.0,1.0,2.0
sh603155,2025-06-25,1,首次试盘,first_probe,0.3021181625499681,33.83538027276227,0.6467889908256872,-3.3314187248707716,12.953060011883563,9.744503862150932,4.575163398692839,1,0,0,0,0,3.0,,,7.0,
sh603232,2025-10-31,1,首次试盘,first_probe,0.293794634822635,17.27849897889254,1.4473684210526334,-4.943557804593224,9.336609336609335,8.190008190008191,-4.176904176904195,1,1,0,0,0,5.0,12.0,,59.0,
sh603353,2025-06-06,1,首次试盘,first_probe,0.3948423211799471,33.85243371382927,0.7822580645161291,-0.6953223767383054,7.725856697819311,3.1152647975077885,3.882877148313169,1,0,0,0,0,6.0,,,,
sh603416,2025-04-07,1,首次试盘,first_probe,0.2704158178472006,133.4934387646252,1.0337423312883434,-9.807208717518868,6.0594795539033575,4.832713754646845,-0.2044609665427521,1,1,1,0,0,19.0,22.0,23.0,1.0,2.0
sh603500,2025-01-03,1,首次试盘,first_probe,0.3478821498317652,28.281210051872627,0.6355140186915889,-10.035419126328229,14.041994750656151,10.892388451443558,5.118110236220463,1,1,0,0,0,2.0,2.0,,6.0,6.0
sh605003,2025-08-21,1,首次试盘,first_probe,0.7500293364035349,23.407148302582065,0.6739130434782609,-1.9761218608480904,13.855421686747004,13.855421686747004,2.0159596808063895,1,1,0,0,0,3.0,3.0,,,
