symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,bar_high_ret_pct,amount_vs_day_median,same_day_pullback_ratio,same_day_later_high_pct,day_gap_pct,day_high_vs_prev_close_pct,day_return_pct,touch_limit_up,broken_limit_up,limit_state_label,probe_strength_score,fwd_1d_close_ret_pct,fwd_3d_close_ret_pct,fwd_5d_close_ret_pct,fwd_10d_high_ret_pct,fwd_20d_close_ret_pct,spark_hit,stable_hit,candidate_sources,top_theme_name,top_theme_rank,business_comment
sz002570,2026-06-03,14:30,09:35,launch_day,probe_to_launch,试盘后启动,3.2504780114722687,4.449096184533084,1.1764705882352957,4.074074074074074,5.675146771037176,9.980430528375738,-3.703703703703709,1,1,broken_up,59.70843800189433,,,,,,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002570,2026-06-01,10:30,10:30,probe_candidate,first_probe,首次试盘,6.8686868686868685,29.839431532708513,0.4411764705882365,0.0,0.6012024048096087,6.012024048096198,2.39043824701195,0,0,normal,85.31215253469504,-0.5837,,,,,0,0,,,,第一次明显急拉后没有顺势走成，当日偏试盘。
sz002570,2026-06-02,13:00,13:00,probe_candidate,continuous_probe,连续试盘,5.2208835341365445,22.969436388548637,0.5,0.0,-2.3346303501945553,1.945525291828809,1.7928286852589848,0,0,normal,83.87452127002429,1.7613,,,,,0,0,,,,前面已经有试盘，这次属于继续摸抛压。
sz000546,2026-05-13,10:00,10:00,launch_day,probe_to_launch,试盘后启动,7.2559366754617605,26.832478516226228,1.0,0.0,-0.6765899864682012,10.01353179972937,3.2697547683923744,1,1,broken_up,85.3745418605609,-6.9921,-11.8734,-17.942,-1.0554,,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002030,2026-05-11,13:10,13:10,launch_day,probe_to_launch,试盘后启动,7.038123167155419,33.9906554196901,0.0,0.0,3.6144578313253017,9.93975903614459,6.104651162790686,1,0,sealed_up,84.97879174731294,-5.7534,-13.2877,-9.0411,6.7123,,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz000889,2026-05-06,09:30,09:30,launch_day,probe_to_launch,试盘后启动,7.760532150776056,162.165889285877,0.0,0.0,2.036199095022617,9.954751131221728,7.760532150776056,1,0,sealed_up,84.44405551208663,10.0823,8.2305,14.6091,21.1934,-18.7243,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz000078,2026-04-09,09:35,09:35,launch_day,probe_to_launch,试盘后启动,6.9637883008356605,47.92475354651773,0.0,0.0,-1.1461318051575908,10.028653295128919,11.304347826086936,1,0,sealed_up,83.39517357822345,-1.8229,-7.5521,1.8229,4.9479,-39.0625,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002995,2026-03-27,09:35,09:35,launch_day,probe_to_launch,试盘后启动,6.435643564356441,301.2388135507903,0.0,0.0,-0.7906976744186167,9.999999999999986,10.876699484294416,1,0,sealed_up,83.3467858172384,-5.2008,2.4947,-7.611,7.3996,-8.3298,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz002806,2026-06-01,09:30,09:30,launch_day,probe_to_launch,试盘后启动,5.497925311203322,36.35893488371515,1.754716981132077,0.0,4.272579772850205,10.005408328826393,-4.149377593361003,1,1,broken_up,82.86187868055842,10.0108,,,,,0,0,,,,当日更像正式发动，不属于试一下就收手。
sz000617,2026-03-19,13:50,13:50,launch_day,probe_to_launch,试盘后启动,5.8300395256917215,27.768787489944437,0.0,0.0,1.848049281314168,9.958932238193018,7.963709677419373,1,0,sealed_up,82.58349462586995,-7.3763,0.8403,-4.3884,3.6415,-11.9514,0,0,,,,当日更像正式发动，不属于试一下就收手。
