symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,probe_index,days_since_prev_probe,bar_high_ret_pct,bar_close_ret_pct,amount_vs_day_median,same_day_pullback_ratio,same_day_later_high_pct,oib_ratio,cvd_ratio,day_gap_pct,day_high_vs_prev_close_pct,day_return_pct,touch_limit_up,broken_limit_up,touch_limit_up_count_5m,limit_state_label,probe_strength_score
sh600006,2026-03-04,14:25,14:25,non_probe,non_probe,,,,3.372434017595305,1.319648093841641,13.081310656488428,0.7826086956521743,0.0,-0.49940152734015814,0.25098446255816914,-0.7473841554559102,5.3811659192825045,3.4638554216867457,0,0,0,normal,58.10793559280156
sh600006,2026-05-15,13:00,13:00,non_probe,non_probe,,,,2.7737226277372296,0.5839416058394109,15.864733374326102,0.9473684210526281,0.0,0.0577992900464844,-0.009436739335755331,0.14992503748125774,5.547226386806603,2.6946107784431295,0,0,0,normal,58.229831569410706
sh600008,2026-03-25,10:05,10:05,non_probe,non_probe,,,,1.2499999999999956,1.2499999999999956,2.7550392976229188,-0.4999999999999889,1.5432098765431945,-0.22460221453141085,0.8624155462733776,0.0,4.444444444444451,3.4920634920634797,0,0,0,normal,22.087468599431702
sh600010,2026-03-02,09:40,09:40,non_probe,non_probe,,,,4.024767801857587,3.7151702786377694,11.643787249729456,0.3076923076923082,1.488095238095255,0.014439727078827477,0.23770077595155628,0.30864197530864335,5.246913580246915,2.1538461538461506,0,0,0,normal,60.69565127867232
sh600010,2026-03-04,10:00,10:00,non_probe,non_probe,,,,3.5031847133757843,2.547770700636942,14.2831266569667,1.4545454545454575,0.0,-0.3603036732555581,0.3398314704545059,-1.661129568106301,7.973421926910307,4.391891891891886,0,0,0,normal,64.3919614545155
sh600010,2026-04-01,11:15,11:15,non_probe,non_probe,,,,3.875968992248069,1.5503875968992276,13.236710734394594,0.5000000000000022,0.0,-0.4959018232176048,0.43779347169262345,1.5936254980079667,6.772908366533881,3.1372549019607954,0,0,0,normal,61.25972902853849
sh600010,2026-04-03,09:50,09:50,non_probe,non_probe,,,,1.9011406844106515,1.520912547528508,6.994064933077456,0.39999999999999825,2.6119402985074647,-0.14286600834344815,0.701262531604569,0.0,4.961832061068705,1.526717557251911,0,0,0,normal,40.39029362105177
sh600010,2026-04-07,13:20,13:20,non_probe,non_probe,,,,2.2058823529411686,2.2058823529411686,4.221652686590174,-0.1666666666666716,0.7194244604316502,0.08974731532560616,0.8599246995851653,0.0,5.263157894736836,4.8872180451127845,0,0,0,normal,39.246386360828566
sh600010,2026-04-29,09:30,09:30,non_probe,non_probe,,,,2.6923076923076827,1.9230769230769162,13.745591862525592,-1.2857142857142867,4.494382022471921,0.11908769531683663,0.26833018451790835,-5.109489051094895,1.8248175182481674,6.153846153846132,0,0,0,normal,43.694148169501304
sh600010,2026-05-06,09:50,09:50,non_probe,non_probe,,,,1.4705882352941124,1.1029411764705843,8.065294147346219,-1.5000000000000167,2.5362318840579823,0.12650610512575575,0.35125392275087386,0.3690036900369176,4.428044280442811,3.676470588235281,0,0,0,normal,30.549561421570647
sh600010,2026-06-03,09:35,09:35,non_probe,non_probe,,,,1.271186440677985,1.271186440677985,4.557889150703898,-0.9999999999999852,2.9288702928870203,0.23825662506786505,0.6085383539886537,-0.42194092827004814,3.797468354430378,2.5423728813559254,0,0,0,normal,28.755405015854713
sh600011,2026-03-02,09:30,09:30,non_probe,non_probe,,,,0.9708737864077666,0.832177531206657,4.95698224302948,-1.7142857142857089,3.0219780219780112,0.1186286191863515,0.05186341933336384,-0.4143646408839796,3.5911602209944826,2.6352288488210807,0,0,0,normal,18.16033850842153
sh600011,2026-03-25,09:35,09:35,non_probe,non_probe,,,,1.3661202185792254,1.3661202185792254,4.1495251871793375,-2.600000000000007,5.795148247978443,0.2374200189116411,0.04979973939402248,-0.3989361702127603,4.38829787234043,2.5367156208277564,0,0,0,normal,17.6336325824651
sh600011,2026-05-19,09:35,09:35,non_probe,non_probe,,,,1.5978695073235683,1.1984021304926706,4.095513413480214,-1.5833333333333353,2.490170380078638,-0.2661629567565465,0.3485587600532843,0.0,4.405874499332452,4.405874499332452,0,0,0,normal,18.330107482601
sh600011,2026-05-28,09:30,09:30,non_probe,non_probe,,,,3.3678756476684057,3.2383419689119064,6.422718682030444,-0.30769230769230715,4.010025062656641,-0.20760992627763,0.21452465938845094,0.12970168612191912,7.652399481193273,4.404145077720223,0,0,0,normal,39.11954865543796
sh600011,2026-05-29,13:20,13:30,launch_day,launch_without_probe,直接启动,,,2.2144522144522005,1.8648018648018683,2.143926776038587,-0.5263157894736837,1.1402508551881407,-0.11993811478198918,0.03684701008985314,0.2481389578163684,10.049627791563264,9.777227722772274,1,0,18,sealed_up,22.448214800477704
sh600011,2026-06-01,10:10,10:15,launch_day,launch_without_probe,直接启动,,,2.754237288135597,2.754237288135597,2.844100675308187,-0.23076923076923286,0.6185567010309256,0.054582323399627514,0.16637730325893368,1.5783540022547893,10.0338218714769,8.324084350721428,1,0,3,sealed_up,35.85749289626487
