name,pool,feature_count,train_auc,valid_auc,train_n,valid_n,valid_base_rate,model_name,high_n,high_avg_prob,high_hit_rate,high_extra_rate,high_5d_avg,high_10d_avg,high_5d_win,high_5d_low_-5,high_10d_high_5
limitup_base,limitup,17,0.6630008848438882,0.6033492822966507,752,93,0.40860215053763443,limitup_base,31,0.5697093930183935,0.5483870967741935,0.16129032258064516,6.876545991878074,7.561103427048403,0.6129032258064516,0.3870967741935484,0.8387096774193549
limitup_strengthened_v2,limitup,43,0.7417634918208225,0.7205741626794258,670,93,0.40860215053763443,limitup_strengthened_v2,31,0.6845931325412876,0.6129032258064516,0.25806451612903225,7.116418892554388,11.331870869038498,0.6774193548387096,0.3870967741935484,0.8387096774193549
trend_base,trend,21,0.7608889123864407,0.704225352112676,752,93,0.23655913978494625,trend_base,31,0.5298435614561174,0.45161290322580644,0.4838709677419355,10.341037488092606,13.911259617079386,0.8387096774193549,0.1935483870967742,0.9032258064516129
trend_strengthened_v3,trend,54,0.8204493038353123,0.7131882202304738,670,93,0.23655913978494625,trend_strengthened_v3,31,0.5846255041316115,0.3870967741935484,0.41935483870967744,8.35331257958463,11.283439893095721,0.7419354838709677,0.25806451612903225,0.967741935483871
