review_group,symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,hot_theme_best_rank,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,limitup_probability,target_limitup
success,sz002291,2025-01-09,2.0,0.3474370739441862,0.5121951219512193,-1.1437908496732097,68.0,0,1,1,0.9047619047619048,1
success,sz002205,2024-12-17,1.0,0.6230104188366594,0.7200000000000006,-0.583657587548625,147.0,1,0,0,0.9047619047619048,1
success,sz000608,2024-11-13,2.0,0.591255405542504,1.0,-5.128205128205132,548.0,0,1,0,0.9047619047619048,1
success,sz000670,2024-09-23,1.0,1.0249590240216537,0.4090909090909089,0.9111617312072884,91.0,0,1,0,0.9047619047619048,1
success,sz002693,2024-11-04,1.0,0.8849906434159562,1.0,-9.98810939357907,266.0,0,0,0,0.9047619047619048,1
success,sz001269,2025-03-25,1.0,0.35369072063714485,0.8445945945945944,-0.17021276595744483,157.0,0,1,0,0.9047619047619048,1
success,sz001269,2025-04-08,2.0,0.4258039770928464,1.0079999999999985,-9.941520467836263,369.0,0,1,0,0.9047619047619048,1
success,sz002692,2025-01-15,1.0,0.7078683293309679,0.5769230769230771,-3.9583333333333193,327.0,1,1,0,0.9047619047619048,1
success,sz000151,2024-09-06,1.0,0.463347359710016,0.9285714285714277,-0.11001100110010764,97.0,1,0,0,0.9047619047619048,1
success,sz000695,2024-11-15,1.0,0.49579180695932173,0.8461538461538459,-9.95184590690209,198.0,1,1,1,0.9047619047619048,1
success,sz002547,2024-09-20,1.0,1.0950131989636067,0.5555555555555545,0.0,75.0,1,0,0,0.9047619047619048,1
success,sz002667,2024-09-10,1.0,0.5934585509349213,1.4210526315789478,0.15384615384614886,357.0,1,0,0,0.9047619047619048,1
success,sz002552,2025-07-07,1.0,0.5579751900547496,0.786259541984732,-0.5471956224350261,312.0,1,0,1,0.9047619047619048,1
success,sz002253,2024-10-24,1.0,0.5001773630490326,1.088888888888889,2.1122112211221067,11.0,0,0,0,0.9047619047619048,1
success,sz002213,2025-10-23,1.0,0.25736403784998035,0.5490196078431367,0.0474608448030267,16.0,1,1,0,0.9047619047619048,1
success,sz002717,2024-11-04,1.0,0.9580103539507269,1.0,-9.999999999999998,86.0,0,1,0,0.9047619047619048,1
success,sz002194,2025-04-17,1.0,0.6893633511127215,0.8750000000000003,-0.583657587548625,159.0,1,0,0,0.9047619047619048,1
success,sz002181,2025-10-30,1.0,0.41507711115926055,1.2941176470588243,0.4106776180698102,101.0,1,1,0,0.9047619047619048,1
success,sz002562,2025-04-23,1.0,0.27317379915996637,0.6129032258064536,-0.23474178403755097,2.0,1,1,0,0.9047619047619048,1
