pool,bucket,sample_count,avg_probability,hit_rate,extra_rate,avg_high20_pct,avg_high40_pct,entry_1d_win_rate,entry_1d_avg_pct,entry_3d_win_rate,entry_3d_avg_pct,entry_5d_win_rate,entry_5d_avg_pct,entry_10d_win_rate,entry_10d_avg_pct,entry_5d_low_le_-5_rate,entry_10d_high_ge_5_rate,entry_t5s5_avg,entry_t5s5_win_rate,entry_t8s8_avg,entry_t8s8_win_rate
limitup,low,31,0.248394055621709,0.3870967741935484,0.12903225806451613,13.424398292376962,28.005933883924207,0.41935483870967744,0.0043154546860917995,0.3225806451612903,-1.1596988156000412,0.3548387096774194,-1.4215906602413617,0.3870967741935484,-0.23612399908381232,0.5161290322580645,0.5161290322580645,-0.3225806451612903,0.3870967741935484,0.25806451612903225,0.2903225806451613
limitup,mid,31,0.33960998382111024,0.2903225806451613,0.06451612903225806,16.333821613333818,23.748866458180157,0.3870967741935484,-0.20092456603082523,0.3548387096774194,-1.432528566814936,0.5161290322580645,-0.4944212222814322,0.6129032258064516,2.81379643586087,0.3870967741935484,0.7096774193548387,0.8064516129032258,0.5161290322580645,2.838709677419355,0.5483870967741935
limitup,high,31,0.5697093930183934,0.5483870967741935,0.16129032258064516,30.08563854356159,31.789028806832686,0.6129032258064516,2.1246132851074893,0.6451612903225806,4.453121251259145,0.6129032258064516,6.876545991878074,0.45161290322580644,7.561103427048403,0.3870967741935484,0.8387096774193549,2.4193548387096775,0.7419354838709677,2.064516129032258,0.5806451612903226
trend,low,31,0.09478818257033507,0.16129032258064516,0.22580645161290322,11.864597104641623,23.074848562454058,0.3548387096774194,-0.5920850464181865,0.25806451612903225,-1.6799412078699036,0.22580645161290322,-3.7361573539210537,0.3225806451612903,-2.926551737588673,0.6451612903225806,0.5806451612903226,-0.8064516129032258,0.3870967741935484,0.0,0.3548387096774194
trend,mid,31,0.18721975103675365,0.0967741935483871,0.16129032258064516,12.459879661518427,20.80848647260883,0.41935483870967744,0.11619578002482218,0.3225806451612903,-2.0326697794194537,0.41935483870967744,-1.6443460248162733,0.4838709677419355,-0.8459320156652507,0.45161290322580644,0.5806451612903226,0.4838709677419355,0.45161290322580644,1.5483870967741935,0.3870967741935484
trend,high,31,0.5298435614561174,0.45161290322580644,0.4838709677419355,35.519381683112314,39.660494113874165,0.6451612903225806,2.403893440156121,0.7419354838709677,5.573504856133523,0.8387096774193549,10.341037488092606,0.6451612903225806,13.911259617079386,0.1935483870967742,0.9032258064516129,3.225806451612903,0.8064516129032258,3.6129032258064515,0.6774193548387096
