symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,probe_strength_score,fwd_1d_close_ret_pct,fwd_1d_high_ret_pct,fwd_1d_low_ret_pct,fwd_3d_close_ret_pct,fwd_3d_high_ret_pct,fwd_3d_low_ret_pct,fwd_5d_close_ret_pct,fwd_5d_high_ret_pct,fwd_5d_low_ret_pct,fwd_10d_close_ret_pct,fwd_10d_high_ret_pct,fwd_10d_low_ret_pct,fwd_20d_close_ret_pct,fwd_20d_high_ret_pct,fwd_20d_low_ret_pct,fwd_10d_max_runup_pct,fwd_10d_max_drawdown_pct
sh603201,2026-06-01,09:35,10:15,launch_day,launch_without_probe,直接启动,50.11,0.1737,0.4632,-3.8796,,,,,,,,,,,,,,
sh603203,2026-04-08,09:40,14:10,launch_day,launch_without_probe,直接启动,39.24,4.9881,6.6033,-3.1354,5.0831,6.8646,-3.1354,2.3515,6.8646,-3.1354,11.639,15.2019,-3.1354,20.4276,22.2565,-3.1354,15.2019,-3.1354
sh603203,2026-04-17,09:30,11:15,launch_day,launch_without_probe,直接启动,47.46,-4.1865,0.5181,-5.7617,-2.5907,0.5181,-6.5285,-4.829,0.5181,-7.3575,-1.3264,2.1347,-7.3575,29.3679,42.9223,-7.3575,2.1347,-7.3575
sh603203,2026-05-12,14:20,14:25,launch_day,launch_without_probe,直接启动,47.09,9.9928,9.9928,-4.1831,17.9836,23.2749,-4.1831,5.6489,23.2749,-4.1831,23.1319,29.478,-4.1831,,,,29.478,-4.1831
sh603203,2026-05-13,09:30,10:20,launch_day,launch_without_probe,直接启动,58.5,5.8346,9.9951,-0.8614,-3.4617,12.0754,-3.4617,1.4464,12.0754,-9.6213,17.1624,23.1269,-9.6213,,,,23.1269,-9.6213
sh603203,2026-05-14,09:30,09:30,launch_day,launch_without_probe,直接启动,68.8,1.3514,5.8968,-6.941,-9.2445,5.8968,-14.6038,-9.1677,5.8968,-14.6038,15.172,19.6253,-14.6038,,,,19.6253,-14.6038
sh603203,2026-05-25,09:35,13:00,launch_day,launch_without_probe,直接启动,36.12,3.5011,8.8355,-2.3591,12.6972,17.0548,-2.3591,2.9902,17.0548,-5.4996,,,,,,,,
sh603203,2026-05-27,13:20,14:25,launch_day,launch_without_probe,直接启动,55.99,4.0366,8.0594,-5.6735,-4.9244,8.0594,-12.7618,-5.6735,8.0594,-12.7618,,,,,,,,
sh603205,2026-04-29,09:30,09:30,launch_day,launch_without_probe,直接启动,74.68,-2.2881,-1.2753,-4.8387,-3.0008,-0.3376,-4.8387,-1.2378,-0.3376,-4.8387,-4.5011,-0.3376,-5.6639,-8.7022,1.1628,-10.4276,-0.3376,-5.6639
sh603206,2026-04-03,10:05,10:05,launch_day,launch_without_probe,直接启动,64.17,-1.1721,-0.1851,-2.8378,-0.4318,0.802,-2.8378,-2.591,0.802,-3.3313,5.984,12.0296,-3.3313,7.0944,12.0296,-3.3313,12.0296,-3.3313
sh603206,2026-04-16,09:30,09:30,launch_day,launch_without_probe,直接启动,75.65,-1.2543,2.0525,-1.9384,-2.7366,2.0525,-4.618,-4.504,2.0525,-5.2452,-5.3592,2.0525,-7.1266,19.8974,19.8974,-7.1266,2.0525,-7.1266
sh603206,2026-05-18,09:50,09:55,launch_day,launch_without_probe,直接启动,60.55,9.9895,9.9895,0.9937,6.0669,20.9728,0.9937,5.2824,20.9728,-4.5502,-11.6632,20.9728,-13.7552,,,,20.9728,-13.7552
sh603206,2026-05-19,09:30,09:30,launch_day,launch_without_probe,直接启动,73.37,-4.66,9.9857,-5.1355,-9.4627,9.9857,-13.2192,-6.4194,9.9857,-13.2192,-22.5392,9.9857,-23.728,,,,9.9857,-23.728
sh603206,2026-05-20,09:30,09:30,launch_day,launch_without_probe,直接启动,86.67,1.1471,2.1945,-2.8928,0.399,2.6434,-8.9776,-7.5312,2.6434,-8.9776,-21.3965,2.6434,-22.2444,,,,2.6434,-22.2444
sh603211,2026-03-23,09:30,09:35,launch_day,launch_without_probe,直接启动,66.61,1.8563,4.3987,-4.6005,-1.9774,4.3987,-4.6005,1.7756,4.3987,-6.5779,-4.2776,5.2462,-6.5779,1.4528,13.64,-6.5779,5.2462,-6.5779
sh603211,2026-04-08,09:40,09:45,launch_day,launch_without_probe,直接启动,56.23,0.7666,2.1847,-1.1115,-0.8432,3.1046,-2.913,3.143,7.9341,-4.1395,-1.9164,7.9341,-6.1709,7.6274,11.1537,-12.7635,7.9341,-6.1709
sh603211,2026-04-15,10:25,10:25,launch_day,launch_without_probe,直接启动,61.5,-1.5608,1.0033,-3.7904,0.5203,4.4221,-4.4965,-4.9052,4.4221,-9.0301,-1.0777,4.4221,-15.4218,8.9558,18.4318,-15.4218,4.4221,-15.4218
sh603211,2026-04-27,10:00,13:05,launch_day,launch_without_probe,直接启动,24.24,-1.3386,2.6378,-1.9685,5.8268,7.0866,-3.3071,9.0945,14.1732,-3.3071,20.5118,25.4724,-3.3071,10.9449,28.3465,-3.3071,25.4724,-3.3071
sh603211,2026-05-12,09:35,09:40,launch_day,launch_without_probe,直接启动,66.98,-0.518,1.3273,-4.2085,-1.5215,3.1725,-4.2085,-7.2515,3.1725,-8.2875,-7.7371,5.5358,-9.3558,,,,5.5358,-9.3558
sh603212,2026-04-07,09:30,09:30,launch_day,launch_without_probe,直接启动,76.99,4.7735,4.7735,1.2136,3.6408,5.9061,1.2136,4.288,6.2298,1.2136,9.3851,12.945,1.2136,16.4239,20.3883,1.2136,12.945,1.2136
sh603212,2026-04-23,09:35,10:15,launch_day,launch_without_probe,直接启动,52.61,-2.6611,-0.5602,-3.1513,-8.6134,-0.5602,-9.6639,-4.0616,-0.5602,-10.4342,3.7115,5.3922,-10.4342,7.9832,13.0952,-10.4342,5.3922,-10.4342
sh603212,2026-06-02,10:00,10:20,launch_day,launch_without_probe,直接启动,52.64,1.8758,3.881,-2.5226,,,,,,,,,,,,,,
sh603215,2026-04-28,13:00,13:00,launch_day,launch_without_probe,直接启动,78.02,-9.991,-8.6409,-9.991,-17.4167,-8.6409,-19.937,-18.4518,-8.6409,-19.937,-19.667,-8.6409,-20.027,-29.1179,-8.6409,-29.613,-8.6409,-20.027
