prob_bucket,sample_count,avg_probability,realized_rate
"(-0.001, 0.0926]",21,0.0781,0.1429
"(0.0926, 0.176]",25,0.1525,0.16
"(0.176, 0.2]",14,0.2,0.0
"(0.2, 0.49]",14,0.314,0.4286
"(0.49, 1.0]",19,0.6589,0.4737
