model_name,pool,overlay_name,sample_count,hit_rate,extra_rate,entry_5d_avg_pct,entry_10d_avg_pct,entry_5d_win_rate,entry_5d_low_le_-5_rate,entry_10d_high_ge_5_rate
trend_base,trend,base_high_bucket,31,0.45161290322580644,0.4838709677419355,10.341037488092606,13.911259617079386,0.8387096774193549,0.1935483870967742,0.9032258064516129
trend_base,trend,confirm_d3_pos,10,0.7,0.7,22.252800942417547,16.987255152035175,0.8,0.3,0.9
trend_base,trend,d3_oib_high,13,0.6923076923076923,0.6923076923076923,18.348278933228258,18.861028638674295,0.8461538461538461,0.23076923076923078,0.9230769230769231
trend_base,trend,price_position_mid_band,10,0.6,0.6,14.696538085328058,22.5268814194454,0.8,0.1,1.0
trend_base,trend,amount_not_extreme,19,0.47368421052631576,0.5263157894736842,10.597524402189899,9.735340289263293,0.8421052631578947,0.2631578947368421,0.8947368421052632
limitup_strengthened_v2,limitup,base_high_bucket,31,0.6129032258064516,0.25806451612903225,7.116418892554388,11.331870869038498,0.6774193548387096,0.3870967741935484,0.8387096774193549
limitup_strengthened_v2,limitup,confirm_d3_pos,9,0.7777777777777778,0.4444444444444444,19.672879620016317,13.340869266938405,0.7777777777777778,0.3333333333333333,1.0
limitup_strengthened_v2,limitup,d3_super_high,13,0.8461538461538461,0.38461538461538464,16.61349538619206,22.007840516136056,0.8461538461538461,0.23076923076923078,1.0
limitup_strengthened_v2,limitup,d3_oib_high,13,0.6923076923076923,0.46153846153846156,13.840301455175128,12.241311410220494,0.6923076923076923,0.38461538461538464,0.9230769230769231
limitup_strengthened_v2,limitup,d1_oib_high,13,0.6153846153846154,0.23076923076923078,13.272439654416917,21.57165865644405,0.7692307692307693,0.15384615384615385,0.9230769230769231
