symbol,trade_date,event_role,probe_index,bar_high_ret_pct,amount_vs_day_median,same_day_pullback_ratio,oib_ratio,probe_strength_score,next_open_hold_1d_close_pct,next_open_hold_1d_high_pct,next_open_hold_1d_low_pct,next_open_hold_2d_close_pct,next_open_hold_2d_high_pct,next_open_hold_2d_low_pct,next_open_hold_3d_close_pct,next_open_hold_3d_high_pct,next_open_hold_3d_low_pct,next_open_hold_5d_close_pct,next_open_hold_5d_high_pct,next_open_hold_5d_low_pct,next_open_hold_10d_close_pct,next_open_hold_10d_high_pct,next_open_hold_10d_low_pct,strat_t5_s5_ret,strat_t5_s5_days,strat_t8_s5_ret,strat_t8_s5_days,strat_t8_s8_ret,strat_t8_s8_days,strat_t10_s5_ret,strat_t10_s5_days
sh600165,2025-11-14,first_probe,1,5.378973105134466,28.125936452933747,0.7727272727272733,0.4280522184466016,82.32687408735353,-0.7263922518159882,1.6949152542373058,-2.4213075060532607,3.874092009685226,4.358353510895885,-2.4213075060532607,-1.2106537530266248,4.358353510895885,-2.4213075060532607,-3.874092009685226,4.358353510895885,-6.0532687651331685,-4.1162227602905554,4.358353510895885,-8.47457627118644,-5.0,4,-5.0,4,-3.874092009685226,5,-5.0,4
sh600178,2025-02-11,first_probe,1,7.372549019607844,31.766198500105325,0.8404255319148931,0.31421367860105126,77.75241689271613,1.51878497202238,2.31814548361311,-0.9592326139088669,1.918465227817756,3.9168665067945696,-0.9592326139088669,-0.23980815347721673,3.9168665067945696,-1.4388489208633115,-5.195843325339733,3.9168665067945696,-5.275779376498802,-0.7194244604316502,3.9168665067945696,-5.915267785771383,-5.0,5,-5.0,5,-5.195843325339733,5,-5.0,5
sh600200,2025-04-22,first_probe,1,5.787037037037046,15.287659849006976,0.5199999999999996,0.2764969705825365,68.67323976938077,9.172259507829983,9.172259507829983,-0.22371364653243075,-1.7897091722595126,9.172259507829983,-1.7897091722595126,-11.633109619686788,9.172259507829983,-11.633109619686788,-28.411633109619682,9.172259507829983,-28.411633109619682,-37.80760626398211,9.172259507829983,-41.38702460850111,5.0,1,8.0,1,8.0,1,-5.0,3
sh600241,2025-01-02,first_probe,1,9.850746268656717,41.764453034268776,0.4848484848484852,0.48039836392051494,77.26732669698855,-4.491017964071853,5.389221556886237,-4.940119760479044,-6.287425149700598,5.389221556886237,-12.72455089820359,-1.6467065868263409,5.389221556886237,-12.72455089820359,6.586826347305386,6.586826347305386,-12.72455089820359,5.688622754491024,10.32934131736527,-12.72455089820359,5.0,1,-5.0,2,-8.0,2,-5.0,2
sh600243,2025-08-22,first_probe,1,4.878048780487809,13.892745850867973,0.8636363636363629,0.2976251868170006,69.19011238596278,3.6876355748373113,3.6876355748373113,0.0,8.893709327548782,8.893709327548782,0.0,3.4707158351409806,13.665943600867681,0.0,0.433839479392617,13.665943600867681,-1.7353579175705014,0.2169197396963085,13.665943600867681,-9.327548806941444,5.0,2,8.0,2,8.0,2,10.0,3
sh600289,2025-04-09,first_probe,1,9.473684210526322,33.10158149576791,1.111111111111112,0.3775392972774062,85.71377786079103,4.778761061946901,4.778761061946901,-4.2477876106194685,10.088495575221224,10.088495575221224,-4.2477876106194685,15.575221238938042,15.575221238938042,-4.2477876106194685,27.43362831858407,27.43362831858407,-4.2477876106194685,12.566371681415923,29.734513274336273,-4.2477876106194685,5.0,2,8.0,2,8.0,2,10.0,2
sh600289,2025-04-25,retest_probe,2,6.097560975609739,26.926462733695587,0.8571428571428575,0.4701056238497887,85.26645671367017,5.555555555555558,5.555555555555558,-0.17361111111110494,0.3472222222222321,5.555555555555558,-0.17361111111110494,0.868055555555558,5.555555555555558,-4.687499999999989,2.430555555555558,5.555555555555558,-4.687499999999989,0.694444444444442,5.555555555555558,-4.687499999999989,5.0,1,2.430555555555558,5,2.430555555555558,5,2.430555555555558,5
sh600303,2025-04-21,first_probe,1,8.994708994709,23.88643129367034,0.47058823529411764,0.4085997086749337,77.95520944965494,6.329113924050622,8.354430379746836,0.0,13.164556962025298,16.962025316455698,0.0,14.936708860759484,20.253164556962023,0.0,3.2911392405063244,20.253164556962023,0.0,7.594936708860756,20.253164556962023,-2.27848101265824,5.0,1,8.0,1,8.0,1,10.0,2
sh600310,2025-04-30,first_probe,1,5.515587529976029,17.342232514227877,0.6086956521739144,0.559467060849642,71.88016110554157,1.6431924882629234,2.5821596244131495,-1.8779342723004744,3.0516431924882514,6.103286384976525,-1.8779342723004744,3.7558685446009488,6.103286384976525,-1.8779342723004744,3.7558685446009488,6.103286384976525,-1.8779342723004744,3.2863849765258246,6.103286384976525,-1.8779342723004744,5.0,2,3.7558685446009488,5,3.7558685446009488,5,3.7558685446009488,5
sh600353,2025-04-08,first_probe,1,6.979695431472077,28.69955200075483,1.0363636363636357,0.518517666635413,79.39053295639044,6.318681318681318,8.516483516483508,-2.8846153846153855,7.692307692307687,12.5,-2.8846153846153855,10.71428571428572,13.598901098901095,-2.8846153846153855,13.461538461538458,19.23076923076923,-2.8846153846153855,14.423076923076916,19.23076923076923,-2.8846153846153855,5.0,1,8.0,1,8.0,1,10.0,2
sh600353,2025-09-02,retest_probe,2,8.020050125313283,14.351552898247784,1.4562499999999998,0.2641828004633039,77.07360452906258,-4.153846153846152,2.051282051282044,-4.61538461538461,-10.51282051282052,2.051282051282044,-12.769230769230766,-9.230769230769232,2.051282051282044,-12.769230769230766,-12.15384615384616,2.051282051282044,-14.051282051282044,-7.2820512820512935,2.051282051282044,-15.333333333333321,-5.0,2,-5.0,2,-8.0,2,-5.0,2
sh600355,2025-04-16,first_probe,1,10.191082802547768,19.426382525467325,0.5000000000000007,0.2726130591223572,81.33161434264808,0.0,2.1874999999999867,-1.562500000000011,-1.562500000000011,2.1874999999999867,-2.8125000000000067,-1.8750000000000044,2.1874999999999867,-3.4375000000000044,-3.749999999999998,2.1874999999999867,-4.687500000000011,-21.250000000000004,2.1874999999999867,-21.250000000000004,-3.749999999999998,5,-3.749999999999998,5,-3.749999999999998,5,-3.749999999999998,5
sh600360,2025-05-06,first_probe,1,8.072487644151561,22.74777012096218,0.40816326530612157,0.5634310980119681,77.51374672002169,3.7617554858934144,4.858934169279006,-0.7836990595611271,4.545454545454541,5.1724137931034475,-0.7836990595611271,2.1943573667711602,5.1724137931034475,-0.7836990595611271,0.9404388714733702,5.3291536050156685,-0.7836990595611271,1.4106583072100332,5.3291536050156685,-0.7836990595611271,5.0,2,0.9404388714733702,5,0.9404388714733702,5,0.9404388714733702,5
sh600381,2025-04-21,first_probe,1,5.3333333333333455,67.26521931019177,0.7500000000000011,0.46203212039177494,83.39451750452636,0.0,0.0,0.0,-4.986149584487531,0.0,-4.986149584487531,-9.69529085872577,0.0,-9.69529085872577,-18.282548476454284,0.0,-18.282548476454284,4.155124653739617,4.432132963988922,-18.282548476454284,-5.0,3,-5.0,3,-8.0,3,-5.0,3
sh600396,2025-07-08,first_probe,1,4.922279792746109,34.18491903004437,1.4210526315789478,0.2695526034583104,74.9727533213973,6.756756756756754,11.351351351351347,-0.2702702702702786,-1.8918918918918948,11.351351351351347,-2.1621621621621623,-1.8918918918918948,11.351351351351347,-5.135135135135149,5.135135135135127,11.351351351351347,-5.135135135135149,-1.3513513513513598,11.351351351351347,-5.135135135135149,5.0,1,8.0,1,8.0,1,10.0,1
sh600408,2025-10-30,first_probe,1,5.813953488372103,19.611780353046914,2.199999999999998,0.3535815304506168,77.28133114045578,0.0,4.5016077170418,-0.3215434083601254,9.967845659163999,9.967845659163999,-0.3215434083601254,20.900321543408353,20.900321543408353,-0.3215434083601254,33.762057877813525,44.37299035369777,-0.3215434083601254,82.9581993569132,82.9581993569132,-0.3215434083601254,5.0,2,8.0,2,8.0,2,10.0,3
sh600530,2025-01-06,first_probe,1,9.125475285171113,214.80791564760472,1.0,0.28084907609034937,89.90636432999773,0.0,0.0,0.0,-4.439746300211434,0.0,-8.245243128964075,-8.668076109936573,0.0,-11.416490486257924,-1.9027484143763318,2.325581395348819,-11.416490486257924,1.2684989429175397,13.742071881606744,-11.416490486257924,-5.0,2,-5.0,2,-8.0,2,-5.0,2
sh600594,2025-08-25,first_probe,1,6.493506493506485,23.880689774599986,0.8333333333333338,0.8232931403111287,83.57944261585241,-1.505376344086029,0.6451612903225712,-1.505376344086029,-4.301075268817211,0.6451612903225712,-4.301075268817211,-4.946236559139794,0.6451612903225712,-9.677419354838712,-4.301075268817211,0.6451612903225712,-9.677419354838712,-5.376344086021501,0.6451612903225712,-9.677419354838712,-5.0,3,-5.0,3,-8.0,3,-5.0,3
sh600629,2024-11-15,first_probe,1,13.313313313313312,19.027754457821327,1.3082706766917294,0.28236115960534913,79.6470474424146,-9.926854754440972,0.10449320794148065,-9.926854754440972,-15.36050156739812,0.10449320794148065,-18.913270637408573,-12.121212121212121,0.10449320794148065,-18.913270637408573,-17.45036572622779,0.10449320794148065,-18.913270637408573,-20.167189132706376,0.10449320794148065,-24.973876698014628,-5.0,1,-5.0,1,-8.0,1,-5.0,1
sh600629,2025-10-09,retest_probe,2,8.448275862068954,16.787794622006313,1.2857142857142856,0.26700460512398333,78.08037136605363,16.627450980392155,20.901960784313722,-0.07843137254901489,15.019607843137251,20.901960784313722,-0.07843137254901489,20.666666666666657,26.509803921568608,-0.07843137254901489,46.03921568627452,46.03921568627452,-0.07843137254901489,30.039215686274503,60.50980392156862,-0.07843137254901489,5.0,1,8.0,1,8.0,1,10.0,1
