model_name,pool,bucket,sample_count,avg_probability,hit_rate,extra_rate,entry_5d_avg_pct,entry_10d_avg_pct,entry_5d_win_rate,entry_5d_low_le_-5_rate,entry_10d_high_ge_5_rate
limitup_base,limitup,low,31,0.24839405562170902,0.3870967741935484,0.12903225806451613,-1.4215906602413617,-0.23612399908381232,0.3548387096774194,0.5161290322580645,0.5161290322580645
limitup_base,limitup,mid,31,0.33960998382111024,0.2903225806451613,0.06451612903225806,-0.4944212222814322,2.81379643586087,0.5161290322580645,0.3870967741935484,0.7096774193548387
limitup_base,limitup,high,31,0.5697093930183935,0.5483870967741935,0.16129032258064516,6.876545991878074,7.561103427048403,0.6129032258064516,0.3870967741935484,0.8387096774193549
limitup_strengthened_v2,limitup,low,31,0.1555049747772109,0.25806451612903225,0.06451612903225806,-1.0334108766498793,-2.191242206381971,0.3870967741935484,0.5483870967741935,0.45161290322580644
limitup_strengthened_v2,limitup,mid,31,0.3059985776719647,0.3548387096774194,0.03225806451612903,-1.1224739065492289,0.9981472011689339,0.41935483870967744,0.3548387096774194,0.7741935483870968
limitup_strengthened_v2,limitup,high,31,0.6845931325412876,0.6129032258064516,0.25806451612903225,7.116418892554388,11.331870869038498,0.6774193548387096,0.3870967741935484,0.8387096774193549
trend_base,trend,low,31,0.0947881825703351,0.16129032258064516,0.22580645161290322,-3.7361573539210537,-2.926551737588673,0.22580645161290322,0.6451612903225806,0.5806451612903226
trend_base,trend,mid,31,0.18721975103675365,0.0967741935483871,0.16129032258064516,-1.6443460248162733,-0.8459320156652507,0.41935483870967744,0.45161290322580644,0.5806451612903226
trend_base,trend,high,31,0.5298435614561174,0.45161290322580644,0.4838709677419355,10.341037488092606,13.911259617079386,0.8387096774193549,0.1935483870967742,0.9032258064516129
trend_strengthened_v3,trend,low,31,0.05152980128082524,0.12903225806451613,0.22580645161290322,-3.952402788788564,-3.4670309978663125,0.2903225806451613,0.6129032258064516,0.45161290322580644
trend_strengthened_v3,trend,mid,31,0.16149116016292472,0.1935483870967742,0.22580645161290322,0.5596243185592139,2.3223669685960533,0.45161290322580644,0.41935483870967744,0.6451612903225806
trend_strengthened_v3,trend,high,31,0.5846255041316115,0.3870967741935484,0.41935483870967744,8.35331257958463,11.283439893095721,0.7419354838709677,0.25806451612903225,0.967741935483871
