model_name,pool,feature_count,train_auc,test_auc,train_n,test_n,test_base_rate,high_n,high_avg_prob,high_hit_rate,high_extra_rate,high_5d_avg,high_10d_avg,high_5d_win,high_5d_low_-5,high_10d_high_5
limitup_base_q1_2026,limitup,17,0.663722510280708,0.5942249240121581,839,143,0.34265734265734266,48,0.5063829048571765,0.4791666666666667,0.08333333333333333,3.1279851733824398,2.5866344195346014,0.7291666666666666,0.3541666666666667,0.7708333333333334
limitup_strengthened_v2_q1_2026,limitup,43,0.7492497177155761,0.6499442586399108,758,62,0.3709677419354839,21,0.5842187700180898,0.6190476190476191,0.0,1.0258148080567107,4.229740711008548,0.5714285714285714,0.6666666666666666,0.5714285714285714
trend_base_q1_2026,trend,21,0.758456082924168,0.660426267281106,839,143,0.21678321678321677,48,0.5712907262872383,0.3541666666666667,0.2916666666666667,3.2898973150640565,3.325824987406508,0.6666666666666666,0.3541666666666667,0.6458333333333334
trend_strengthened_v3_q1_2026,trend,54,0.8072183775470971,0.7217261904761905,758,62,0.22580645161290322,21,0.7346397563788869,0.42857142857142855,0.23809523809523808,2.8120490840763117,2.532910503749753,0.7142857142857143,0.5714285714285714,0.7619047619047619
