symbol,trade_date,event_role,probe_index,sequence_label,bar_high_ret_pct,bar_close_ret_pct,amount_vs_day_median,same_day_pullback_ratio,same_day_later_high_pct,oib_ratio,cvd_ratio,day_gap_pct,day_high_vs_prev_close_pct,day_return_pct,touch_limit_up,broken_limit_up,touch_limit_up_count_5m,probe_strength_score,eligible_10d,high_10d_pct,low_10d_pct,close_10d_pct,eligible_20d,high_20d_pct,low_20d_pct,close_20d_pct,eligible_40d,high_40d_pct,low_40d_pct,close_40d_pct,eligible_60d,high_60d_pct,low_60d_pct,close_60d_pct,days_to_up_5,days_to_up_8,days_to_up_10,days_to_up_15,days_to_up_20,days_to_up_30,days_to_up_40,days_to_down_5,days_to_down_8,days_to_down_10,days_to_down_15,days_to_down_20,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,down8_before_up15_20d,oib_top20,strength_top20,second_or_third,second_third_oib20,second_third_strength20,second_third_oib20_pullback50,second_third_oib20_pullback35_80
sh600165,2025-11-14,first_probe,1,首次试盘,5.378973105134466,5.378973105134466,28.125936452933747,0.7727272727272733,0.0,0.4280522184466016,0.4601211865608055,0.0,5.378973105134466,1.2224938875305513,0,0,0.0,82.32687408735353,1,4.106280193236711,-8.695652173913038,-4.347826086956519,1,4.106280193236711,-28.019323671497574,-20.531400966183565,1,7.246376811594213,-28.019323671497574,-4.347826086956519,1,7.246376811594213,-28.019323671497574,-6.521739130434778,30.0,,,,,,,4.0,9.0,18.0,18.0,18.0,0,0,0,0,1,1,False,False,False,False,False,False,False
sh600178,2025-02-11,first_probe,1,首次试盘,7.372549019607844,6.117647058823517,31.766198500105325,0.8404255319148931,0.0,0.31421367860105126,-0.09705601271807576,-1.0861132660977546,6.2063615205585565,1.17647058823529,0,0,0.0,77.75241689271613,1,0.7751937984496138,-8.759689922480629,-3.7209302325581395,1,0.7751937984496138,-9.302325581395355,-5.038759689922479,1,14.961240310077507,-31.162790697674414,-21.472868217054263,1,14.961240310077507,-31.162790697674414,-7.131782945736431,27.0,27.0,27.0,,,,,5.0,5.0,32.0,38.0,38.0,0,0,0,0,0,1,False,False,False,False,False,False,False
sh600200,2025-04-22,first_probe,1,首次试盘,5.787037037037046,3.47222222222221,15.287659849006976,0.5199999999999996,0.0,0.2764969705825365,-0.18320484681153476,-7.889125799573559,-2.558635394456288,2.77777777777779,0,0,0.0,68.67323976938077,1,9.909909909909898,-40.990990990990994,-37.38738738738739,1,9.909909909909898,-49.09909909909911,-39.86486486486487,1,9.909909909909898,-49.77477477477478,-47.52252252252253,1,9.909909909909898,-61.711711711711715,-61.711711711711715,1.0,1.0,,,,,,3.0,3.0,3.0,4.0,5.0,0,0,0,0,0,1,False,False,False,False,False,False,False
sh600241,2025-01-02,first_probe,1,首次试盘,9.850746268656717,5.373134328358198,41.764453034268776,0.4848484848484852,0.0,0.48039836392051494,-0.5549300123647253,-13.32470892626132,-4.786545924967656,5.074626865671639,0,0,0.0,77.26732669698855,1,4.6875,-17.1875,0.28409090909089496,1,4.6875,-17.1875,-1.278409090909094,1,11.64772727272727,-17.1875,3.5511363636363535,1,17.04545454545454,-17.1875,-11.221590909090907,30.0,33.0,33.0,47.0,,,,1.0,1.0,2.0,2.0,,0,0,0,0,1,1,False,False,False,False,False,False,False
sh600243,2025-08-22,first_probe,1,首次试盘,4.878048780487809,3.10421286031044,13.892745850867973,0.8636363636363629,0.0,0.2976251868170006,-0.0777521816079033,-1.9565217391304346,2.826086956521756,0.6651884700665134,0,0,0.0,69.19011238596278,1,15.41850220264318,-7.929515418502209,1.7621145374449254,1,27.533039647577095,-7.929515418502209,21.365638766519822,1,31.93832599118942,-7.929515418502209,19.383259911894267,1,31.93832599118942,-7.929515418502209,16.960352422907476,1.0,2.0,2.0,3.0,16.0,25.0,,7.0,,,,,1,1,1,0,0,0,False,False,False,False,False,False,False
sh600289,2025-04-09,first_probe,1,首次试盘,9.473684210526322,9.473684210526322,33.10158149576791,1.111111111111112,0.0,0.3775392972774062,0.22232882281583993,-4.040404040404044,5.050505050505039,-1.0526315789473717,0,0,0.0,85.71377786079103,1,29.964539007092217,-4.07801418439716,12.765957446808528,1,29.964539007092217,-4.07801418439716,0.0,1,29.964539007092217,-14.00709219858156,-1.0638297872340385,1,39.36170212765959,-14.00709219858156,24.822695035460995,2.0,2.0,2.0,3.0,4.0,51.0,,32.0,32.0,33.0,,,1,1,1,0,0,0,False,True,False,False,False,False,False
sh600289,2025-04-25,retest_probe,2,重新试盘,6.097560975609739,5.7491289198606355,26.926462733695587,0.8571428571428575,0.0,0.4701056238497887,0.5154131140487052,-4.966887417218535,0.8278145695364225,0.8710801393728262,0,0,0.0,85.26645671367017,1,5.0086355785837755,-5.181347150259064,0.17271157167528806,1,5.181347150259064,-11.571675302245254,-11.571675302245254,1,35.75129533678756,-16.23488773747842,25.38860103626943,1,35.75129533678756,-16.23488773747842,13.471502590673579,1.0,34.0,34.0,37.0,38.0,40.0,,3.0,20.0,20.0,21.0,,0,1,1,0,0,1,False,True,True,False,True,False,False
sh600303,2025-04-21,first_probe,1,首次试盘,8.994708994709,7.14285714285714,23.88643129367034,0.47058823529411764,0.0,0.4085997086749337,0.1038894311630368,-4.060913705583758,4.5685279187817285,4.761904761904767,0,0,0.0,77.95520944965494,1,19.949494949494962,-2.5252525252525304,7.3232323232323315,1,19.949494949494962,-2.5252525252525304,2.525252525252508,1,19.949494949494962,-6.818181818181824,-5.303030303030298,1,19.949494949494962,-12.121212121212121,-9.343434343434343,1.0,1.0,2.0,2.0,,,,40.0,50.0,57.0,,,1,0,0,0,0,0,False,False,False,False,False,False,False
sh600310,2025-04-30,first_probe,1,首次试盘,5.515587529976029,4.556354916067162,17.342232514227877,0.6086956521739144,0.0,0.559467060849642,-0.21210623043738222,-9.740259740259749,-4.761904761904756,2.1582733812949506,0,0,0.0,71.88016110554157,1,6.103286384976525,-1.8779342723004744,3.2863849765258246,1,6.103286384976525,-2.5821596244131273,-0.9389671361502372,1,6.103286384976525,-7.276995305164313,-3.0516431924882625,1,6.103286384976525,-7.276995305164313,-2.8169014084507116,2.0,,,,,,,29.0,,,,,0,0,0,0,0,0,False,False,False,False,False,False,False
sh600353,2025-04-08,first_probe,1,首次试盘,6.979695431472077,3.045685279187804,28.69955200075483,1.0363636363636357,0.0,0.518517666635413,-0.29282127731057794,-9.736540664375726,-3.436426116838498,-0.25380710659898,0,0,0.0,79.39053295639044,1,10.432569974554706,-10.050890585241735,5.9796437659032975,1,19.59287531806615,-10.050890585241735,15.64885496183206,1,44.529262086513974,-10.050890585241735,37.913486005089055,1,89.56743002544529,-10.050890585241735,69.84732824427479,3.0,4.0,4.0,17.0,25.0,31.0,33.0,1.0,1.0,1.0,,,1,1,1,0,0,1,False,False,False,False,False,False,False
