feature,positive_mean,failed_mean,diff_mean,positive_median,failed_median,diff_median,effect_size_rough
launch3_cancel_sell_ratio,600757.222867,0.207274,600757.015593,0.004805,0.26304,-0.258235,0.2094
launch3_oib_ratio,600757.112752,0.04721,600757.065542,0.00623,0.00775,-0.00152,0.2094
launch3_sell_pressure_avg,-610557.492869,0.961715,-610558.454584,1.170775,0.64433,0.526445,-0.2094
launch3_support_spread_avg,610558.442726,0.068784,610558.373942,-0.00334,0.00543,-0.00877,0.2094
pre20_positive_l2_bar_ratio_avg,0.450629,0.474416,-0.023788,0.4371,0.4707,-0.0336,-0.209
pre20_super_positive_day_ratio,0.35195,0.401454,-0.049504,0.3333,0.4,-0.0667,-0.2059
pre_peak5_super_net_ratio,0.008691,0.015581,-0.00689,0.00585,0.01133,-0.00548,-0.1962
post_peak5_super_positive_day_ratio,0.366417,0.309418,0.056999,0.3333,0.3333,0.0,0.1925
launch3_amount_sum,4301646879.472612,5629054107.083767,-1327407227.611155,2747345620.975,3275452374.35,-528106753.375,-0.1895
launch3_amount_avg,1075411719.867985,1407263526.770781,-331851806.902796,686836405.245,818863093.59,-132026688.345,-0.1895
pre5_super_positive_day_ratio,0.373177,0.425161,-0.051984,0.4,0.4,0.0,-0.1881
support_spread_at_anchor,0.027029,0.123012,-0.095983,-0.01268,-0.0275,0.01482,-0.1856
post_peak5_order_event_count_sum,711350.776119,587272.12098,124078.655139,550208.0,399301.0,150907.0,0.1854
launch3_main_positive_day_ratio,0.520522,0.474349,0.046173,0.5,0.5,0.0,0.1817
pre5_order_event_count_sum,324155.6875,397311.43871,-73155.75121,231538.5,259001.0,-27462.5,-0.18
launch3_super_positive_day_ratio,0.507463,0.464778,0.042685,0.5,0.5,0.0,0.1799
post_peak5_super_price_divergence,0.059597,0.072864,-0.013267,0.036325,0.06716,-0.030835,-0.175
pre_peak5_add_sell_ratio,1.097216,1.143872,-0.046656,1.20239,1.12136,0.08103,-0.1742
pre5_max_drawdown_pct,-4.928984,-4.238823,-0.690162,-4.485,-3.12,-1.365,-0.1699
pre5_amount_sum,3269095342.081016,4259516016.602936,-990420674.52192,1831325570.435,2198432579.935,-367107009.5,-0.1661
pre20_active_buy_strength_avg,-1.96119,-0.837977,-1.123213,-2.8284,-1.35625,-1.47215,-0.1641
post_peak5_oib_ratio,0.047861,0.010298,0.037563,-0.0103,-0.00764,-0.00266,0.1599
pre5_main_net_ratio,-0.010446,0.00175,-0.012196,-0.013185,-0.00427,-0.008915,-0.1581
pullback_main_price_divergence,0.066628,0.047663,0.018964,0.04161,0.0294,0.01221,0.158
post_peak5_support_spread_avg,0.034361,-0.017073,0.051434,-0.01443,-0.00825,-0.00618,0.1537
pre_peak5_cancel_sell_ratio,0.16741,0.195233,-0.027823,0.001955,0.25764,-0.255685,-0.1455
pre20_max_daily_super_outflow_ratio,-0.063553,-0.075786,0.012233,-0.07122,-0.07267,0.00145,0.1422
pullback_support_spread_avg,0.234018,0.150233,0.083785,0.01497,-0.01128,0.02625,0.1417
pullback_oib_ratio,0.233148,0.150112,0.083037,0.015865,-0.01047,0.026335,0.1403
pre20_main_net_ratio,-0.015156,-0.005712,-0.009444,-0.022375,-0.007885,-0.01449,-0.1384
post_peak5_super_net_ratio,-0.009717,-0.015991,0.006274,-0.022835,-0.01994,-0.002895,0.1364
pre_peak5_oib_ratio,0.112525,0.080589,0.031936,0.061605,0.02153,0.040075,0.1352
pullback_order_event_count_sum,162815.567164,186292.039816,-23476.472652,109263.5,127090.0,-17826.5,-0.1319
post_peak5_add_sell_ratio,1.154556,1.190804,-0.036248,1.19426,1.14379,0.05047,-0.131
pullback_pct,-9.626119,-9.87928,0.253161,-9.345,-9.48,0.135,0.1301
post_peak5_cancel_sell_ratio,0.191283,0.219448,-0.028165,0.00302,0.29722,-0.2942,-0.1293
pullback_buy_support_avg,1.194417,1.097081,0.097337,1.268645,0.69377,0.574875,0.1277
pullback_cancel_buy_ratio,0.396747,0.337817,0.05893,0.2156,0.28489,-0.06929,0.1251
pre20_main_positive_day_ratio,0.366573,0.398073,-0.0315,0.3333,0.4,-0.0667,-0.1248
launch3_positive_l2_bar_ratio_avg,0.51708,0.503782,0.013298,0.5157,0.5051,0.0106,0.1221
pullback_super_price_divergence,0.0679,0.054354,0.013546,0.03414,0.02962,0.00452,0.1168
pre20_days,9.71875,10.482258,-0.763508,12.0,10.0,2.0,-0.1144
pre5_max_daily_super_outflow_ratio,-0.04564,-0.054592,0.008951,-0.053395,-0.05065,-0.002745,0.1141
pre5_amount_avg,863390217.907344,1011612633.349677,-148222415.442334,498320982.69,544791918.62,-46470935.93,-0.1136
pre_peak5_main_positive_day_ratio,0.475125,0.499925,-0.0248,0.5,0.5,0.0,-0.1127
pre20_max_drawdown_pct,-9.530078,-8.697323,-0.832756,-9.105,-6.945,-2.16,-0.1123
