discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence
2026-03-02,sh601963,56.04,59.97,153278289.01,127966703.62599997,116640002.905,1.1977982136507677,1.3141142420481662,0.9142857142857143,-5.14,0.05543,0.07075,-7.55,0.06914
2026-03-02,sh603039,66.27,66.27,350962995.12,399971181.27699995,413720089.5500001,0.8774707067630971,0.848310256100301,0.37142857142857144,-32.23,0.31137,0.29313,-7.1,0.08658
2026-03-02,sh603040,60.9,60.9,197005321.4,284115759.43549997,226088378.0,0.6933980775702947,0.8713642122727777,0.34285714285714286,-14.7,0.14378,0.12344,-4.87,0.07892
2026-03-02,sh603119,59.99,59.99,840931230.5400001,1140823563.4180002,1040562741.885,0.7371264562773421,0.8081504331172156,0.17142857142857143,-14.76,0.1274,0.09099,-5.96,0.00956
2026-03-02,sh603171,85.0,85.0,198455766.84,351282232.9455,314180546.185,0.564946781327223,0.6316615374496887,0.0,-21.78,0.20568,0.19664,-12.76,0.11834
2026-03-02,sh603199,51.81,51.81,100417476.0,131159600.38749997,107018822.5,0.7656128541359156,0.9383160238003927,0.34285714285714286,-5.26,0.05919,0.04369,-6.04,0.07531
2026-03-02,sh603216,75.92,75.92,154444429.0,263486369.91500002,247291980.325,0.5861571854734776,0.6245428129008616,0.14285714285714285,-23.76,0.19772,0.1508,-11.36,0.09636
2026-03-02,sh603284,52.2,52.2,251249992.32999998,9974103637.746668,457105146.9699999,0.025190232772311753,0.549654699789433,0.0,-11.81,0.14827,0.12247,-3.15,0.04333
2026-03-02,sh603355,59.24,65.7,210520587.57,102958092.174,85543592.155,2.0447211396868012,2.4609743671805244,0.8285714285714286,-14.62,0.12234,0.12765,-0.51,-0.01212
2026-03-02,sh603365,57.94,63.78,67903514.0,40560099.0815,33476657.314999998,1.6741456637854144,2.0283839381291586,0.9142857142857143,-5.99,0.07475,0.06681,-4.18,0.06897
2026-03-02,sh603429,53.53,53.53,79835248.06,121764776.2455,108528725.61,0.6556514167860629,0.7356139824850562,0.2,-10.37,0.10389,0.10575,-6.88,0.0401
2026-03-02,sh603516,52.69,52.69,890201185.6800001,1145555204.225,1175117816.29,0.7770914770381983,0.7575420722413019,0.2571428571428571,-17.81,0.13232,0.11218,5.01,-0.04127
2026-03-02,sh603598,61.74,61.74,546046074.0,1345911669.5195,1148724869.0349998,0.4057072141999796,0.47534974537350494,0.17142857142857143,-7.47,0.09265,0.07044,-16.7,0.14833
