liquidity_mode,candidate_rows,passed_rows,filtered_rows,trade_rows,full_trade_count,full_win_rate,full_avg_return_pct,full_avg_gross_return_pct,full_median_return_pct,full_max_return_pct,full_min_return_pct,full_avg_holding_days,full_total_return_pct_signal_sum,mature_trade_count,mature_win_rate,mature_avg_return_pct,mature_avg_gross_return_pct,mature_median_return_pct,mature_max_return_pct,mature_min_return_pct,mature_avg_holding_days,mature_total_return_pct_signal_sum,ge30_strong_count,ge30_candidate_symbol_hit_count,ge30_trade_symbol_hit_count,ge30_candidate_symbol_hit_rate_pct,ge30_trade_symbol_hit_rate_pct,ge50_strong_count,ge50_candidate_symbol_hit_count,ge50_trade_symbol_hit_count,ge50_candidate_symbol_hit_rate_pct,ge50_trade_symbol_hit_rate_pct,top50_candidate_symbol_hit_count,top50_trade_symbol_hit_count
current_abs_250m,370,306,64,57,57,66.67,6.75,7.29,5.29,62.3,-12.13,8.58,384.84,35,88.57,10.76,11.31,8.21,62.3,-12.13,11.51,376.45,674,84,15,12.46,2.23,222,32,6,14.41,2.7,9,2
abs_100m,370,309,61,58,58,68.97,7.36,7.9,4.26,62.3,-12.13,8.59,426.82,41,85.37,10.66,11.21,5.75,62.3,-12.13,10.51,437.02,674,77,16,11.42,2.37,222,28,6,12.61,2.7,8,2
hybrid_100m_rel,370,311,59,62,62,66.13,6.0,6.53,3.23,62.3,-12.13,8.68,372.1,42,85.71,9.43,9.98,5.73,62.3,-12.13,10.88,395.97,674,79,17,11.72,2.52,222,29,6,13.06,2.7,9,2
hybrid_80m_rel_or_abs,370,310,60,61,61,67.21,6.26,6.79,3.23,62.3,-12.13,8.77,381.77,42,85.71,9.43,9.98,5.73,62.3,-12.13,10.88,395.97,674,78,16,11.57,2.37,222,28,6,12.61,2.7,9,2
hybrid_60m_strong_rel,370,327,43,49,49,46.94,0.65,1.15,-1.82,62.3,-12.44,8.02,31.72,36,50.0,1.44,1.95,-0.32,62.3,-12.44,9.39,51.87,674,65,13,9.64,1.93,222,17,2,7.66,0.9,4,0
