discovery_date,symbol,rank,setup_score,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason
2026-03-06,sz000880,4,90.91,-9.92,0.09474,0.08637,-15.83,0.11994,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-06,sz000426,5,88.82,-16.86,0.14379,0.1397,-7.32,0.05371,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-06,sz001330,6,88.25,-17.29,0.17417,0.1335,-12.46,0.11533,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-06,sz002943,7,88.22,-20.46,0.20298,0.18485,-16.38,0.1482,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-06,sh600610,8,86.63,-20.43,0.1961,0.16988,-13.22,0.10787,2026-03-13,2026-03-17,,no_pullback_confirm,4.93,-1.67,0.15118,0.13504,1.52349,,,,,,True,9.0,3.0,0.60916,0.40837,1.4917,
2026-03-06,sh603920,9,85.96,-9.62,0.08025,0.06709,-16.43,0.1059,2026-03-09,2026-03-11,,no_pullback_confirm,4.92,0.0,0.03968,0.03121,0.86464,,,,,,True,5.0,3.0,0.3967,0.35393,1.1208,
2026-03-09,sz002716,1,94.7,-13.24,0.1125,0.08619,-14.39,0.1024,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-09,sz000603,2,94.26,-13.22,0.1205,0.10793,-15.75,0.15246,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-09,sz000506,3,92.35,-13.46,0.1253,0.10225,-10.48,0.1108,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-09,sh601212,4,88.85,-18.29,0.1647,0.13724,-14.61,0.12168,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-09,sh601615,6,85.68,-15.21,0.13636,0.10985,-7.54,0.04461,2026-03-11,2026-03-13,,no_pullback_confirm,5.18,0.0,0.04854,0.09361,0.80239,,,,,,True,7.0,3.0,0.36501,0.40259,0.9067,
2026-03-09,sh600916,7,84.92,-19.0,0.1777,0.12924,-13.64,0.15373,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-09,sh600531,8,83.49,-17.83,0.13063,0.11924,-14.64,0.11232,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-09,sz001330,10,82.17,-22.57,0.22825,0.18574,-6.68,0.06588,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sh600115,1,94.4,-15.41,0.13845,0.11965,-10.56,0.08862,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sh603225,2,93.16,-14.84,0.12959,0.1352,-15.18,0.14687,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sz002222,3,86.39,-12.0,0.12024,0.1077,-8.96,0.05841,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sh601021,4,84.66,-14.82,0.1442,0.15735,-7.42,0.08349,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sz002558,5,84.6,-20.49,0.19802,0.1882,-4.58,0.02647,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sz002938,6,84.23,-20.05,0.1782,0.17657,-5.9,0.03088,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sh601111,7,83.83,-13.29,0.10948,0.09474,-7.7,0.08409,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sz001270,8,81.68,-27.06,0.23279,0.18799,-11.32,0.03619,2026-03-17,2026-03-19,2026-03-26,pullback_absorption_confirm,6.79,0.0,0.0412,0.02593,1.61634,0.01249,0.0393,0.03087,-16.87,22.0,True,11.0,3.0,0.00052,0.00059,0.8777,
2026-03-10,sh603119,9,77.49,-20.54,0.16389,0.12317,-4.08,-0.06234,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-10,sh601336,10,77.22,-11.04,0.09705,0.09473,-6.83,0.06277,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-11,sz002512,1,92.13,-27.5,0.27746,0.25774,-18.57,0.5702,2026-03-11,2026-03-13,2026-03-16,pullback_absorption_confirm,5.56,0.0,-0.00164,0.04762,1.44278,0.06115,0.19953,0.58161,-6.5,12.0,True,6.0,3.0,8e-05,0.0,0.0,
2026-03-11,sh600595,2,83.84,-10.57,0.08978,0.10195,-9.78,0.08875,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-11,sh601111,3,78.16,-18.07,0.15607,0.14271,-5.26,0.05477,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-11,sh600115,4,77.69,-22.61,0.20993,0.18703,-7.07,0.06048,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-11,sz000301,5,75.46,-7.4,0.08459,0.07098,-14.22,0.11782,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-11,sz001979,6,71.82,-13.8,0.13211,0.1269,-4.0,0.03927,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-11,sh600346,8,70.46,-10.13,0.06088,0.0542,-6.27,0.06151,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-11,sh603920,9,70.33,-18.08,0.16213,0.15086,1.6,-0.00501,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-11,sh603737,10,70.27,-15.07,0.13427,0.14042,-4.76,0.03559,2026-03-12,2026-03-16,2026-03-18,pullback_absorption_confirm,4.46,0.0,0.02004,0.02867,0.91286,-0.00342,0.01927,-0.05196,-4.29,44.31,True,8.0,3.0,0.48236,0.47351,1.0187,
2026-03-12,sh603061,1,91.99,-17.9,0.14376,0.1294,-8.89,0.08911,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-12,sh600115,3,85.22,-25.27,0.22777,0.20189,-6.48,0.05229,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-12,sh603992,4,75.84,-29.54,0.25729,0.23153,-6.64,0.06286,2026-03-13,2026-03-17,2026-03-18,pullback_absorption_confirm,4.03,-5.69,0.05826,0.08996,1.42499,0.02406,0.16161,0.19614,-4.74,36.0,True,9.0,3.0,0.55344,0.51805,1.0683,
2026-03-12,sh601111,5,72.74,-18.76,0.16694,0.14033,-3.66,0.03611,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-12,sh601015,6,72.38,-7.48,0.0889,0.07442,-7.66,0.04572,2026-03-17,2026-03-19,2026-03-20,pullback_absorption_confirm,5.76,-3.91,0.14028,0.11488,1.60454,0.01087,0.04743,-0.0214,-5.0,33.34,True,11.0,3.0,0.59097,0.42233,1.3993,
2026-03-12,sh600346,7,72.21,-8.52,0.04178,0.03768,-13.32,0.12646,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-12,sh601021,8,71.79,-18.03,0.17217,0.18891,-2.01,0.03269,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-12,sh603121,9,71.36,-9.51,0.11739,0.14885,-23.68,0.20927,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-12,sh603885,10,69.87,-20.97,0.20396,0.18993,-3.49,0.03999,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sz002517,1,97.51,-15.77,0.16629,0.14972,-13.83,0.11972,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sh600391,2,91.97,-17.0,0.14785,0.11984,-12.68,0.14043,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sh600115,3,91.05,-25.56,0.23106,0.20661,-8.04,0.07919,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sz002165,4,87.47,-11.85,0.11913,0.08863,-5.0,0.09049,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sh605499,5,81.6,-17.74,0.17655,0.17287,-3.68,0.04127,2026-03-13,2026-03-17,2026-03-18,pullback_absorption_confirm,4.59,-0.56,0.02275,0.07377,1.11988,-0.01221,-0.03444,0.05788,-4.35,56.66,True,9.0,3.0,0.53732,0.48127,1.1165,
2026-03-13,sh603121,6,79.99,-11.09,0.13,0.16032,-23.86,0.19527,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sz002931,7,78.1,-29.27,0.24053,0.20383,-8.01,0.04965,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sz002928,8,77.39,-20.52,0.19867,0.19049,-5.53,0.06429,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sh601021,9,77.13,-17.94,0.17221,0.1892,-3.91,0.05544,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-13,sh601888,10,77.04,-20.12,0.16982,0.13739,-3.72,-0.02363,,,,no_launch,,,,,,,,,,,,,,,,,
