run_date,symbol,name,market_cap_yi,bear_profit_yi,bear_pe,base_profit_yi,base_pe,bull_profit_yi,bull_pe,super_bull_profit_yi,super_bull_pe,required_profit_for_upgrade_yi,upgrade_pe_at_required_profit,required_condition
2026-05-07,sz300274,阳光电源,2913.48,64.15,45.42,91.64,31.79,119.13,24.46,146.62,19.87,119.13,24.46,订单、毛利率、现金流同时验证，不只靠AI电力叙事
2026-05-07,sz002837,英维克,967.37,0.7,1381.96,1.0,967.37,1.3,744.13,1.6,604.61,1.3,744.13,订单、毛利率、现金流同时验证，不只靠AI电力叙事
2026-05-07,sz002335,科华数据,329.19,2.18,150.73,3.12,105.51,4.06,81.16,4.99,65.94,4.06,81.16,订单、毛利率、现金流同时验证，不只靠AI电力叙事
2026-05-07,sh600406,国电南瑞,2111.55,20.19,104.59,28.84,73.22,37.49,56.32,46.14,45.76,37.49,56.32,订单、毛利率、现金流同时验证，不只靠AI电力叙事
2026-05-07,sh600089,特变电工,1406.19,50.82,27.67,72.6,19.37,94.38,14.9,116.16,12.11,94.38,14.9,订单、毛利率、现金流同时验证，不只靠AI电力叙事
2026-05-07,sh601179,中国西电,895.49,9.72,92.17,13.88,64.52,18.04,49.63,22.21,40.32,18.04,49.63,订单、毛利率、现金流同时验证，不只靠AI电力叙事
2026-05-07,sz000400,许继电气,264.84,3.11,85.21,4.44,59.65,5.77,45.88,7.1,37.28,5.77,45.88,订单、毛利率、现金流同时验证，不只靠AI电力叙事
