policy,n,avg_mfe_22d_pct,median_mfe_22d_pct,hit10_rate,hit15_rate,hit20_rate,avg_close_22d_pct,median_close_22d_pct,close_loss_rate,close_loss5_rate,avg_mae_22d_pct,worst_mae_22d_pct,stop5_rate,stop8_rate,pitfall_rate,full22_rate,coverage_rate,blocked_hit15_count,blocked_hit20_count
baseline_all_buyable,186,23.5971,17.6948,68.8172,58.0645,46.7742,6.0159,0.1298,50.0,36.0215,-11.1984,-43.9855,70.9677,56.9892,58.0645,100.0,100.0,,
pause_defense_allowed,137,23.0119,18.2344,67.8832,58.3942,47.4453,4.2756,-1.1917,52.5547,40.146,-11.2728,-43.9855,70.8029,56.9343,58.3942,100.0,73.6559,,
pause_defense_blocked,49,25.2332,17.0984,71.4286,57.1429,44.898,10.8816,3.8177,42.8571,24.4898,-10.9906,-30.6991,71.4286,57.1429,57.1429,100.0,26.3441,28,22
pause_active_decline_allowed,160,22.8172,17.1684,66.875,57.5,46.25,4.7585,-0.6929,52.5,37.5,-11.2482,-43.9855,70.0,56.25,57.5,100.0,86.0215,,
pause_active_decline_blocked,26,28.3962,20.0571,80.7692,61.5385,50.0,13.7538,5.2234,34.6154,26.9231,-10.8919,-30.6991,76.9231,61.5385,61.5385,100.0,13.9785,16,13
