source_id,business_source_name,metric,metric_label,window,horizon,threshold_low,threshold_high,low_day_n,high_day_n,low_candidate_n,high_candidate_n,low_avg_mfe,high_avg_mfe,mfe_lift_high_minus_low,low_avg_close,high_avg_close,close_lift_high_minus_low,low_pitfall_rate,high_pitfall_rate,pitfall_reduction_low_minus_high,supports_good_market_hypothesis,confidence
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,22,27.4639,51.9334,4,3,6,3,4.6603,14.6858,10.0255,-13.7438,-8.5544,5.1894,87.5,100.0,-12.5,0,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,5,27.4639,51.9334,8,13,24,35,6.3345,10.4269,4.0924,-3.6236,5.7234,9.347,54.1667,18.9103,35.2564,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,10,27.4639,51.9334,8,13,24,35,7.0886,17.5175,10.4289,-6.1403,6.3983,12.5386,62.5,25.641,36.859,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,22,27.4639,51.9334,8,13,24,35,7.336,25.2734,17.9374,-6.3803,8.4381,14.8184,62.5,39.1026,23.3974,1,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,5,27.4639,51.9334,1,4,1,5,9.6382,10.0983,0.4601,1.1276,-0.8829,-2.0105,0.0,25.0,-25.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,10,27.4639,51.9334,1,4,1,5,9.6382,18.7309,9.0927,-0.3334,7.3014,7.6348,0.0,25.0,-25.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,22,27.4639,51.9334,1,4,1,5,9.6382,39.2144,29.5762,-0.451,8.2542,8.7052,0.0,75.0,-75.0,0,low_sample
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,5,26.005,49.0726,23,23,94,94,7.1392,9.9535,2.8143,-3.5095,2.8625,6.372,58.2246,28.4576,29.767,1,directional
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,10,26.005,49.0726,23,23,94,94,9.4443,14.5692,5.1249,-5.1402,2.6925,7.8327,68.5507,41.2422,27.3085,1,directional
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,22,26.005,49.0726,23,23,94,94,16.9283,21.882,4.9537,1.1194,3.4643,2.3449,70.7246,64.6894,6.0352,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,5,26.005,49.0726,23,23,62,67,7.4464,10.286,2.8396,-3.5703,2.9784,6.5487,59.4203,25.3623,34.058,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,10,26.005,49.0726,23,23,62,67,9.5733,15.0211,5.4478,-5.348,3.4329,8.7809,72.4638,40.5797,31.8841,1,directional
spark_opportunity_selector,星火机会模型,all_up_ratio_5d,全市场上涨占比,5,22,26.005,49.0726,23,23,62,67,17.6478,21.9956,4.3478,1.9186,3.9408,2.0222,74.6377,60.8696,13.7681,1,directional
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,5,26.005,49.0726,4,2,5,2,3.5688,4.7849,1.2161,-3.9215,-5.1452,-1.2237,62.5,50.0,12.5,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,10,26.005,49.0726,4,2,5,2,7.0227,5.6116,-1.4111,-4.7048,-4.3907,0.3141,62.5,100.0,-37.5,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_5d,全市场上涨占比,5,22,26.005,49.0726,4,2,5,2,7.0227,17.716,10.6933,-10.2855,7.2492,17.5347,62.5,100.0,-37.5,0,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_5d,全市场上涨占比,5,5,26.005,49.0726,9,11,26,18,5.9076,10.3226,4.415,-1.4209,3.8266,5.2475,44.4444,30.303,14.1414,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_5d,全市场上涨占比,5,10,26.005,49.0726,9,11,26,18,7.2593,16.5416,9.2823,-3.2511,1.9485,5.1996,44.4444,36.3636,8.0808,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_up_ratio_5d,全市场上涨占比,5,22,26.005,49.0726,9,11,26,18,10.4381,23.8892,13.4511,-1.13,3.4503,4.5803,44.4444,56.0606,-11.6162,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_5d,全市场上涨占比,5,5,26.005,49.0726,1,6,1,7,9.6382,7.0298,-2.6084,1.1276,0.3536,-0.774,0.0,25.0,-25.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_5d,全市场上涨占比,5,10,26.005,49.0726,1,6,1,7,9.6382,12.2263,2.5881,-0.3334,4.9531,5.2865,0.0,33.3333,-33.3333,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_5d,全市场上涨占比,5,22,26.005,49.0726,1,6,1,7,9.6382,33.0605,23.4223,-0.451,11.9915,12.4425,0.0,83.3333,-83.3333,0,low_sample
ALL,全部来源,all_up_ratio_10d,全市场上涨占比,10,5,23.6883,48.3516,23,23,125,93,7.7709,10.0581,2.2872,-2.358,2.5189,4.8769,51.1184,30.6315,20.4869,1,directional
