policy,n,avg_mfe_22d_pct,median_mfe_22d_pct,hit10_rate,hit15_rate,hit20_rate,avg_close_22d_pct,median_close_22d_pct,close_loss_rate,close_loss5_rate,avg_mae_22d_pct,worst_mae_22d_pct,stop5_rate,stop8_rate,pitfall_rate,full22_rate,coverage_rate,blocked_hit15_count,blocked_hit20_count
baseline_all_buyable,288,18.6194,11.8508,55.2083,44.4444,35.0694,1.8907,-2.1336,57.2917,42.0139,-11.7769,-43.9855,73.2639,59.375,61.4583,64.5833,100.0,,
pause_defense_allowed,161,22.0353,16.6096,63.9752,55.2795,44.7205,3.5563,-1.1917,53.4161,39.7516,-11.5194,-43.9855,70.8075,56.5217,57.764,85.0932,55.9028,,
pause_defense_blocked,127,14.2891,8.4259,44.0945,30.7087,22.8346,-0.2208,-3.194,62.2047,44.8819,-12.1033,-39.0408,76.378,62.9921,66.1417,38.5827,44.0972,39,29
pause_active_decline_allowed,224,19.511,13.1449,57.5893,47.3214,37.5,2.5276,-1.1843,55.3571,38.8393,-11.4181,-43.9855,70.0893,55.8036,58.0357,71.4286,77.7778,,
pause_active_decline_blocked,64,15.499,9.032,46.875,34.375,26.5625,-0.3384,-6.1106,64.0625,53.125,-13.0327,-30.6991,84.375,71.875,73.4375,40.625,22.2222,22,17
