sample,strong_count,trade_hit_count,stable_trade_hit_count,combined_trade_hit_count,new_trade_hit_vs_stable
涨幅>=30%,674,52,15,67,52
涨幅>=50%,222,25,6,31,25
Top50,50,7,2,9,7
