model_id,filter_id,filter_description,signal_start,signal_end,days,picks,day1_no_red_rate,day2_still_loss_rate,deep_pain_rate,day1_green_rate,day1_positive_close_rate,day1_avg_mfe_pct,day1_median_mfe_pct,day1_avg_close_return_pct,day2_avg_close_return_pct,day2_median_close_return_pct,hit2_rate,hit3_rate,hit5_rate,hit7_rate,hit10_rate,avg_filter_universe,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate
blitz_1d_fast_feedback,all_market,全市场直接选股,2026-05-06,2026-05-28,17,17,0.0,0.4706,0.6471,1.0,0.5882,6.1875,5.2239,1.9113,2.5298,1.868,0.9412,0.8235,0.5882,0.4118,0.0588,2285.0,1.0,1.0,0.8824,0.8824
blitz_1d_fast_feedback,hot_theme_member,只保留热门板块成员,2026-05-06,2026-05-28,17,17,0.0,0.4706,0.6471,1.0,0.5882,6.1875,5.2239,1.9113,2.5298,1.868,0.9412,0.8235,0.5882,0.4118,0.0588,2273.71,1.0,1.0,0.8824,0.8824
blitz_1d_fast_feedback,today_strong_or_accel,只保留 今日最强 + 主线再加速,2026-05-06,2026-05-28,17,17,0.0588,0.3529,0.5882,0.9412,0.5882,5.0781,4.8643,1.2764,2.0054,1.985,0.8824,0.7647,0.4118,0.2941,0.0,87.18,1.0,0.8824,0.7647,1.0
blitz_1d_fast_feedback,exclude_fading,排除 退潮观察,2026-05-06,2026-05-28,17,17,0.0,0.5294,0.6471,1.0,0.5882,5.4828,5.0916,1.3185,0.7626,-1.2645,0.9412,0.8235,0.5294,0.2941,0.0,1920.41,1.0,0.9412,0.7059,0.8824
blitz_1d_fast_feedback,top10_themes_only,只在热点 Top10 板块内选,2026-05-06,2026-05-28,17,17,0.0588,0.4706,0.6471,0.9412,0.5294,4.8574,4.9441,0.7189,0.2929,0.9912,0.8824,0.7647,0.4706,0.1765,0.0,117.65,1.0,0.9412,0.8235,1.0
blitz_1d_fast_feedback,exclude_climax_and_fading_proxy,排除明显高潮 / 明显退潮,2026-05-06,2026-05-28,17,17,0.0,0.5882,0.7059,1.0,0.5882,5.5727,5.2239,1.5701,0.0001,-1.4925,0.8824,0.7647,0.5882,0.3529,0.0,1874.76,1.0,0.9412,0.7059,0.8824
blitz_1d_fast_feedback,new_or_accel_or_mainline,只保留 首次新热 + 主线再加速 + 持续主线,2026-05-06,2026-05-28,17,17,0.0,0.5294,0.8235,1.0,0.3529,4.8193,4.7574,-0.092,-0.1771,-1.4925,0.8824,0.7647,0.2941,0.2353,0.0,190.88,1.0,1.0,0.7647,0.8824
blitz_1d_fast_feedback,top15_themes_only,只在热点 Top15 板块内选,2026-05-06,2026-05-28,17,17,0.0,0.5294,0.8235,1.0,0.3529,4.5743,4.7574,-0.2008,-0.3438,-1.4925,0.8824,0.7059,0.2941,0.1765,0.0,174.47,1.0,1.0,0.7647,0.8824
blitz_1d_fast_feedback,strong_and_persistent,只在热点强度 + 持续性都达标的板块内选,2026-05-06,2026-05-28,17,17,0.0,0.5294,0.8235,1.0,0.3529,4.5743,4.7574,-0.2008,-0.3438,-1.4925,0.8824,0.7059,0.2941,0.1765,0.0,173.41,1.0,1.0,0.7647,0.8824
