symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sz002554,2026-03-03,69.6,16.79,15.92,11.48,-19.53,10.09,1433595065.64,3.2174992123398054,10.085836909871237,2.101975889303688,0.7489263066838803,0.0135,0.00586,0.04032,0.01885,0.5,0.4,0.2,60.09,68.73,70.09,100.0,12,趋势中继原型,2026-03-03,2026-03-05,回踩均线承接,2026-03-05,-2.55,1.602,0.03357,0.01226,0.09358,0.00718,-0.08721,1.22575,-10.72,-13.06,0.00048,1.46871,2.685,回踩均线承接
sz002432,2026-03-03,69.08,11.03,15.55,9.56,-15.56,3.42,3079445528.0400004,4.026821546914308,3.4200286708990335,0.8060727992743253,0.026387939806073124,0.04304,0.01996,0.07745,0.03838,0.35,0.45,0.2,52.35,78.57,63.49,100.0,14,趋势中继原型,2026-03-03,2026-03-09,回踩均线承接,2026-03-09,2.59,1.872,0.03914,0.07485,0.00223,0.00182,0.03007,7.4854,-3.71,-9.05,0.0008,1.32473,1.888,回踩均线承接
sh600644,2026-03-03,68.37,15.82,14.78,10.05,-17.14,-0.53,1235543005.8500001,2.8585547382245755,3.2786885245901676,1.9114107504297735,-0.06719265314677259,0.02603,0.02755,0.04112,0.04563,0.5,0.5,0.2,57.82,82.86,48.1,100.0,16,趋势中继原型,2026-03-03,2026-03-09,回踩均线承接,2026-03-09,2.64,1.665,0.03959,0.05483,-0.00056,0.00761,-0.163,5.48264,-2.79,-10.72,0.37875,1.12593,2.02,回踩均线承接
sh600681,2026-03-04,72.53,12.0,12.8,12.0,-15.34,-1.47,773000677.0000001,4.06588080097584,-1.4705882352941013,5.774269752677078,0.1663174572355512,0.06127,0.0276,0.10322,0.0747,0.7,0.65,0.4,51.14,100.0,55.37,83.39,3,趋势中继原型,2026-03-04,2026-03-05,回踩均线承接,2026-03-05,-2.99,2.055,0.03243,0.04494,0.45564,0.47498,0.12371,4.49415,-4.41,-8.4,0.49312,0.96945,2.748,回踩均线承接
sh600860,2026-03-05,75.86,23.52,11.73,4.28,-13.62,5.45,1368807467.4900005,3.2808865850791995,6.796769851951545,9.54649654195832,0.07350921697885571,0.03265,0.03214,0.0431,0.05047,0.4,0.4,0.6,65.0,74.29,81.44,100.0,2,趋势中继原型,2026-03-05,2026-03-10,回踩均线承接,2026-03-10,1.99,1.328,-0.00729,0.0412,-0.09212,-0.15951,-0.10045,4.11966,-3.88,-12.18,0.38946,0.9279,2.35,回踩均线承接
sh603826,2026-03-05,70.25,26.14,11.68,3.01,-14.51,2.42,554223903.57,2.0744198209676235,3.7211493170042242,12.151246118437065,-0.01077882081866155,0.03634,0.03018,0.01876,0.02214,0.5,0.4,0.6,68.32,78.64,61.95,67.38,5,趋势中继原型,2026-03-05,2026-03-10,回踩均线承接,2026-03-10,2.35,0.923,0.04694,0.10085,0.09596,0.29362,-0.05137,10.08524,-0.29,-13.26,0.35959,1.02023,1.664,回踩均线承接
sh603057,2026-03-05,69.25,18.59,13.02,-0.15,-20.86,-0.98,252055071.42000002,1.6583021075242423,3.9192041000904343,20.588960066400077,0.006686977454984255,0.01977,0.05275,0.04833,0.0951,0.45,0.7,0.6,59.81,100.0,51.69,33.88,6,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,-1.1,1.284,0.06012,0.09136,0.16704,0.33452,-0.01908,9.13637,-3.43,-8.56,0.52285,1.0431,1.436,回踩均线承接
sh600149,2026-03-05,69.06,31.76,15.59,13.52,-15.06,-1.43,660370053.77,2.8040557305718554,-1.4347202295552308,0.17561145805740708,0.01750320027992336,0.01739,0.01389,0.02206,0.03252,0.55,0.45,0.6,79.04,73.65,48.23,75.15,7,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,3.78,1.811,0.00301,0.03214,0.08444,0.16883,-0.01391,3.21449,-6.92,-13.58,0.45138,1.0111,2.5,回踩均线承接
sz002357,2026-03-05,64.84,31.26,10.54,2.43,-14.27,-2.72,489160819.99999994,1.6558359991520004,0.31172069825435855,6.0908340941942285,0.06405425624644234,-1e-05,0.03466,-0.00208,0.01813,0.4,0.65,0.6,72.54,64.78,61.15,51.15,10,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,0.5,0.772,0.01894,0.062,0.40768,0.44147,-0.15386,6.19986,-2.24,-5.83,0.00016,1.54684,1.314,回踩均线承接
sz000767,2026-03-05,62.97,19.54,-0.28,-0.55,-14.81,-0.52,1205324859.02,1.5017713086441067,6.094182825484773,4.183492642058198,-0.08202230373011776,0.03201,0.02172,0.0357,0.01097,0.5,0.45,0.6,49.16,71.24,59.81,83.39,13,趋势中继原型,2026-03-05,2026-03-11,回踩均线承接,2026-03-11,2.36,0.963,0.04064,0.02983,-0.02858,-0.08159,0.01959,2.98292,-3.7,-10.12,0.00014,1.52752,0.938,回踩均线承接
sz002028,2026-03-05,61.8,20.98,2.93,-1.07,-11.92,-0.51,2752156584.84,1.312518517559297,2.583485259460172,10.439900808431076,-0.11086939452165612,-0.0004,0.02491,-0.00594,0.03601,0.45,0.7,0.6,53.88,69.03,55.07,77.08,16,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,1.22,1.137,0.06239,0.10028,0.0994,0.32124,-0.06483,10.02837,-1.17,-6.0,0.00074,1.49713,1.218,回踩均线承接
