sample,strong_count,trade_hit_count,stable_trade_hit_count,combined_trade_hit_count,new_trade_hit_vs_stable
涨幅>=30%,674,14,15,29,14
涨幅>=50%,222,8,6,14,8
Top50,50,0,2,2,0
