profile,variant_id,period,trade_date,rank,symbol,name,final_score,model_score,entry_date,exit_date,entry_buyable,entry_gap_pct,entry_open,day1_max_runup_pct,day1_close_return_pct,day2_close_return_pct,min_drawdown_pct,day1_no_red,day2_still_loss,deep_pain,low_pain_good
offensive,lpn_016_same_day_full,final_2026,2026-01-05,1,sz003017,sz003017,12.564131420036162,12.564131420036162,2026-01-06,2026-01-07,1,0.0,32.85,0.0609,-4.414,-5.4186,-5.6317,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-05,2,sz002151,sz002151,12.291691613901264,12.291691613901264,2026-01-06,2026-01-07,1,0.04,49.99,9.962,9.962,15.4231,-0.02,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-05,3,sh601089,sh601089,12.219741016182365,12.219741016182365,2026-01-06,2026-01-07,1,2.2348,26.99,3.8903,2.89,4.3349,-2.2601,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-06,1,sh603012,sh603012,11.97901436651662,11.97901436651662,2026-01-07,2026-01-08,1,-1.5083,6.53,7.9632,4.1348,4.7473,-1.072,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-06,2,sh603903,sh603903,11.901247191785519,11.901247191785519,2026-01-07,2026-01-08,1,-2.9347,13.23,1.4361,-4.1572,1.8896,-5.2154,0,0,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-06,3,sz001223,sz001223,11.884458256712728,11.884458256712728,2026-01-07,2026-01-08,1,0.7163,53.43,1.8903,0.1497,0.8984,-2.5267,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-07,1,sz002383,sz002383,12.870684172125506,12.870684172125506,2026-01-08,2026-01-09,1,-1.7705,13.87,6.3446,4.3259,4.5422,-2.5234,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-07,2,sz002766,sz002766,12.804009249258938,12.804009249258938,2026-01-08,2026-01-09,1,0.9887,7.15,3.2168,0.6993,-5.7343,-6.4336,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-07,3,sz002413,sz002413,12.715826667939524,12.715826667939524,2026-01-08,2026-01-09,1,-1.8552,16.4,8.1707,7.8659,11.5854,0.0,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-08,1,sh600266,sh600266,13.20627507657518,13.20627507657518,2026-01-09,2026-01-12,1,5.6296,7.13,2.3843,-4.3478,0.2805,-9.5372,0,0,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-08,2,sh600721,sh600721,12.95323926869134,12.95323926869134,2026-01-09,2026-01-12,1,-3.4274,9.58,2.4008,0.1044,-0.8351,-2.714,0,1,0,0
offensive,lpn_016_same_day_full,final_2026,2026-01-08,3,sh605298,sh605298,12.82706649332164,12.82706649332164,2026-01-09,2026-01-12,1,-1.3593,43.54,3.3532,0.3215,3.8126,-2.5953,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-09,1,sz001208,sz001208,12.835426388985312,12.835426388985312,2026-01-12,2026-01-13,1,0.8966,29.26,9.0226,6.1176,-4.4771,-4.4771,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-09,2,sh600869,sh600869,12.547124191413722,12.547124191413722,2026-01-12,2026-01-13,1,2.6515,10.84,1.845,0.4613,-1.9373,-4.059,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-09,3,sh600337,sh600337,12.257090265831962,12.257090265831962,2026-01-12,2026-01-13,1,-4.1667,3.68,4.3478,1.6304,-7.337,-8.4239,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-12,1,sh605255,sh605255,13.253405287686883,13.253405287686883,2026-01-13,2026-01-14,1,-9.999,176.6,0.0,0.0,10.0,-9.966,1,0,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-12,2,sz002774,sz002774,12.701038958977952,12.701038958977952,2026-01-13,2026-01-14,1,-7.1882,13.17,0.4556,-3.0372,-11.0858,-12.7563,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-12,3,sz002431,sz002431,12.31368290258923,12.31368290258923,2026-01-13,2026-01-14,1,-1.0417,2.85,0.0,-6.3158,-8.4211,-9.1228,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-13,1,sz002519,sz002519,14.852779038502002,14.852779038502002,2026-01-14,2026-01-15,1,-0.1919,10.4,10.1923,10.1923,-0.8654,-0.8654,0,1,0,0
offensive,lpn_016_same_day_full,final_2026,2026-01-13,2,sh600855,sh600855,14.218969382288725,14.218969382288725,2026-01-14,2026-01-15,1,-9.9811,23.81,6.2579,0.0,-4.1579,-6.2159,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-13,3,sh603698,sh603698,14.06146170645613,14.06146170645613,2026-01-14,2026-01-15,1,-8.1497,40.01,5.2987,-2.0245,-4.3989,-6.2734,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-14,1,sh600340,sh600340,16.02279923928686,16.02279923928686,2026-01-15,2026-01-16,1,-10.2041,1.76,0.0,0.0,-10.2273,-10.2273,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-14,2,sh600537,sh600537,15.47590800415529,15.47590800415529,2026-01-15,2026-01-16,1,-9.8837,3.1,0.0,0.0,-10.0,-10.0,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-14,3,sh600776,sh600776,14.436823727440169,14.436823727440169,2026-01-15,2026-01-16,1,-10.0,23.49,0.0,0.0,-10.0043,-10.0043,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-15,1,sz002465,sz002465,16.76721885068408,16.76721885068408,2026-01-16,2026-01-19,1,-10.0167,21.56,0.0,0.0,-10.0186,-10.0186,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-15,2,sh600776,sh600776,16.055120232582702,16.055120232582702,2026-01-16,2026-01-19,1,-10.0043,21.14,0.0,0.0,-9.9811,-9.9811,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-15,3,sh600498,sh600498,15.667662090172556,15.667662090172556,2026-01-16,2026-01-19,1,-9.9837,38.77,5.8035,0.6448,1.3928,-1.2639,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-16,1,sh603000,sh603000,19.20171181621418,19.20171181621418,2026-01-19,2026-01-20,1,-9.982,24.98,0.0,0.0,-5.8847,-7.2858,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-16,2,sz002465,sz002465,17.52503848977931,17.52503848977931,2026-01-19,2026-01-20,1,-10.0186,19.4,0.0,0.0,-6.701,-10.0,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-16,3,sz000681,sz000681,17.516442469789993,17.516442469789993,2026-01-19,2026-01-20,1,-10.0,28.44,2.391,0.0,-5.7665,-6.8214,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-19,1,sz002465,sz002465,19.193252965372444,19.193252965372444,2026-01-20,2026-01-21,1,-4.1237,18.6,4.2473,-2.6882,-4.8387,-6.8817,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-19,2,sz002115,sz002115,18.44522611818688,18.44522611818688,2026-01-20,2026-01-21,1,-6.4435,14.81,2.8359,-3.7812,-9.318,-10.0608,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-19,3,sz000592,sz000592,17.977374211486833,17.977374211486833,2026-01-20,2026-01-21,1,-5.8459,10.63,11.9473,0.0,-8.937,-9.9718,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-20,1,sh600785,sh600785,15.773991303936143,15.773991303936143,2026-01-21,2026-01-22,1,1.9816,22.13,6.1907,1.4008,-0.1356,-5.061,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-20,2,sh601096,sh601096,15.282014711042509,15.282014711042509,2026-01-21,2026-01-22,1,0.0,5.47,0.7313,-5.4845,-6.7642,-7.8611,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-20,3,sz002112,sz002112,15.272040950857887,15.272040950857887,2026-01-21,2026-01-22,1,-4.1485,21.95,4.328,-4.0547,-0.7745,-4.8292,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-21,1,sz002131,sz002131,18.35037139313187,18.35037139313187,2026-01-22,2026-01-23,1,-10.0427,8.42,0.0,0.0,-0.2375,-9.7387,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-21,2,sz002358,sz002358,15.468942797608765,15.468942797608765,2026-01-22,2026-01-23,1,-1.0582,7.48,3.2086,-3.0749,-0.1337,-6.4171,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-21,3,sh603926,sh603926,15.336738349323042,15.336738349323042,2026-01-22,2026-01-23,1,-8.6369,22.32,19.5341,16.5323,9.0054,-0.1344,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-22,1,sz002131,sz002131,18.44919939976441,18.44919939976441,2026-01-23,2026-01-26,1,-9.7387,7.6,18.0263,10.5263,5.2632,0.0,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-22,2,sh601616,sh601616,16.346585453277154,16.346585453277154,2026-01-23,2026-01-26,1,-2.4055,5.68,7.0423,2.4648,-6.162,-6.6901,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-22,3,sz002077,sz002077,14.369822534807904,14.369822534807904,2026-01-23,2026-01-26,1,0.7054,18.56,2.4246,1.5086,-7.0582,-8.0819,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-23,1,sz002201,sz002201,14.99510927700131,14.99510927700131,2026-01-26,2026-01-27,1,3.6486,15.34,6.1278,6.1278,-2.0209,-4.4329,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-23,2,sz002498,sz002498,14.19027690134462,14.19027690134462,2026-01-26,2026-01-27,1,1.0101,6.0,8.8333,2.8333,-5.6667,-7.5,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-23,3,sh601106,sh601106,13.97340538902183,13.97340538902183,2026-01-26,2026-01-27,1,2.2147,6.0,2.8333,-5.8333,-7.5,-9.8333,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-26,1,sh603078,sh603078,15.46133291327819,15.46133291327819,2026-01-27,2026-01-28,1,-0.6803,29.2,1.9863,-0.5822,-7.5342,-9.1438,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-26,2,sh600986,sh600986,15.134481538101507,15.134481538101507,2026-01-27,2026-01-28,1,6.9382,14.18,2.1862,-7.5458,-11.6361,-11.9887,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-26,3,sz002943,sz002943,15.022034449036308,15.022034449036308,2026-01-27,2026-01-28,1,-2.1429,68.5,12.4088,12.4088,12.9197,-0.2774,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-27,1,sh603516,sh603516,18.01760452721521,18.01760452721521,2026-01-28,2026-01-29,1,-9.9978,161.68,0.0,0.0,-4.1254,-9.2776,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-27,2,sh600986,sh600986,14.949434063561958,14.949434063561958,2026-01-28,2026-01-29,1,2.9748,13.5,1.4815,-7.1852,2.0741,-9.4074,0,0,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-27,3,sz002342,sz002342,14.402094396818214,14.402094396818214,2026-01-28,2026-01-29,1,-0.9841,13.08,11.0856,11.0856,8.104,-4.4343,0,0,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-28,1,sz002218,sz002218,16.68513950992056,16.68513950992056,2026-01-29,2026-01-30,1,-0.2899,6.88,3.0523,-4.6512,-14.2442,-14.2442,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-28,2,sh603516,sh603516,16.382645517127216,16.382645517127216,2026-01-29,2026-01-30,1,-9.2776,146.68,13.0352,5.679,12.967,0.0,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-01-28,3,sz002995,sz002995,15.157530829562207,15.157530829562207,2026-01-29,2026-01-30,1,5.4348,30.07,4.3232,4.3232,14.7655,-3.0263,0,0,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-29,1,sz003042,sz003042,15.724013281909057,15.724013281909057,2026-01-30,2026-02-02,1,-3.8041,22.0,0.9091,-6.4545,-15.8182,-15.8182,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-29,2,sz000506,sz000506,15.013100130189342,15.013100130189342,2026-01-30,2026-02-02,1,-9.993,25.67,0.0,0.0,-10.0117,-10.0117,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-29,3,sz000751,sz000751,14.988785921094866,14.988785921094866,2026-01-30,2026-02-02,1,-9.9476,6.88,1.4535,0.0,-10.0291,-10.0291,0,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-30,1,sh601212,sh601212,19.932679363007257,19.932679363007257,2026-02-02,2026-02-03,1,-10.0219,12.3,0.0,0.0,-10.0,-10.0,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-30,2,sz001337,sz001337,19.692202670255753,19.692202670255753,2026-02-02,2026-02-03,1,-10.003,59.56,0.0,0.0,-5.8764,-10.0067,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-01-30,3,sh600531,sh600531,19.255414983702742,19.255414983702742,2026-02-02,2026-02-03,1,-9.9955,20.08,0.0,0.0,-10.01,-10.01,1,1,1,0
offensive,lpn_016_same_day_full,final_2026,2026-02-02,1,sh601212,sh601212,14.714528992001283,14.714528992001283,2026-02-03,2026-02-04,1,-10.0,11.07,0.0,0.0,2.6197,-6.9557,1,0,1,0
offensive,lpn_016_same_day_full,final_2026,2026-02-02,2,sz002952,sz002952,14.308985486564705,14.308985486564705,2026-02-03,2026-02-04,1,-4.8446,23.57,3.0972,2.6305,3.8608,-2.4183,0,0,0,1
offensive,lpn_016_same_day_full,final_2026,2026-02-02,3,sz002455,sz002455,14.184373253610902,14.184373253610902,2026-02-03,2026-02-04,1,4.4824,9.79,5.3115,5.3115,10.1124,-3.8815,0,0,1,0
offensive,lpn_016_same_day_full,final_2026,2026-02-03,1,sh601212,sh601212,20.026567737049316,20.026567737049316,2026-02-04,2026-02-05,1,-6.8654,10.31,16.3919,10.1843,-0.8729,-0.8729,0,1,0,0
