variant_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate,stable_month_score,offensive_month_score
lpn_008_fast_flow,internal_2025,2025-10,17,17,0.0588,0.7647,0.8824,0.9412,0.2941,3.7506,1.99,-3.1283,-5.2969,-6.4417,0.4706,0.4118,0.2941,0.1765,0.0588,17,51,0.0392,0.6863,0.8039,0.9608,0.3725,5.109,4.3441,-0.6782,-2.5543,-5.4658,0.6275,0.5294,0.4118,0.2941,0.1373,1.0,0.8235,0.7647,0.7647,32.16,28.7482
lpn_008_fast_flow,internal_2025,2025-11,20,20,0.05,0.55,0.8,0.95,0.45,4.0034,2.5874,-1.3315,-0.9499,-1.6614,0.6,0.45,0.35,0.2,0.1,20,60,0.0667,0.6333,0.7833,0.9333,0.4833,5.4482,4.665,0.0446,-1.7926,-3.0608,0.7,0.5667,0.4833,0.35,0.1667,1.0,0.9,0.85,0.8,43.0485,39.1662
lpn_008_fast_flow,internal_2025,2025-12,23,23,0.1304,0.4783,0.7826,0.8696,0.5652,5.8802,6.0717,2.0018,0.9473,0.6337,0.6957,0.6522,0.5217,0.4348,0.2174,23,69,0.0725,0.4638,0.7536,0.9275,0.5797,6.6297,5.8236,2.5821,1.2513,0.6337,0.7826,0.6957,0.5507,0.4348,0.2319,1.0,0.913,0.8261,0.913,48.2114,50.5909
lpn_008_fast_flow,final_2026,2026-01,20,20,0.35,0.7,0.75,0.65,0.75,4.2496,2.4111,1.2761,-1.0259,-3.0623,0.5,0.45,0.35,0.25,0.1,20,60,0.1833,0.6833,0.75,0.8167,0.7167,4.9674,3.4016,1.6939,-1.5364,-2.7904,0.65,0.55,0.4333,0.2667,0.1333,0.95,0.8,0.75,0.6,33.6263,33.8182
lpn_008_fast_flow,final_2026,2026-02,14,14,0.0714,0.5,0.6429,0.9286,0.7143,6.3715,5.7651,3.5151,2.2958,-1.2994,0.7143,0.7143,0.5,0.4286,0.1429,14,42,0.0952,0.5,0.5238,0.9048,0.7857,6.7927,5.8081,3.5505,2.1181,0.2317,0.7857,0.7381,0.5714,0.4286,0.2381,1.0,0.9286,0.9286,1.0,53.8663,55.6527
lpn_008_fast_flow,final_2026,2026-03,22,22,0.0909,0.6364,0.9545,0.9091,0.4545,4.1126,2.5924,-1.2508,-0.883,-2.6795,0.5909,0.4545,0.4091,0.1818,0.0909,22,66,0.0758,0.6364,0.8485,0.9242,0.3485,3.9703,2.4485,-1.1954,-1.2241,-1.4548,0.5303,0.4091,0.3182,0.197,0.1061,1.0,0.7273,0.6364,0.6818,37.5905,36.7063
lpn_008_fast_flow,final_2026,2026-04,8,8,0.0,0.75,0.75,1.0,0.375,4.3265,4.1976,-1.7948,-4.0596,-6.8538,0.625,0.5,0.5,0.25,0.0,8,24,0.0,0.5833,0.75,1.0,0.4167,5.2201,4.7873,-0.2292,-1.2542,-3.1422,0.75,0.6667,0.4583,0.2917,0.0833,1.0,0.875,0.75,0.75,38.6729,37.4162
lpn_009_hybrid_anti_overfit,internal_2025,2025-10,17,17,0.0,0.7647,0.8235,1.0,0.2941,4.6274,2.0091,-1.7287,-3.407,-6.6911,0.5294,0.4118,0.3529,0.1765,0.1176,17,51,0.0,0.6667,0.7647,1.0,0.3725,5.1936,4.0909,-0.2427,-2.9948,-5.4658,0.6471,0.5882,0.4118,0.2941,0.098,1.0,0.8824,0.8235,0.7647,37.2091,34.7121
lpn_009_hybrid_anti_overfit,internal_2025,2025-11,20,20,0.05,0.4,0.65,0.95,0.65,5.3172,4.5692,1.7586,3.8935,3.739,0.75,0.6,0.35,0.35,0.2,20,60,0.0333,0.5667,0.7,0.9667,0.55,4.8644,4.3754,0.6414,0.8418,-1.4875,0.6333,0.5333,0.4167,0.3,0.1333,1.0,0.9,0.75,0.8,55.9213,53.6432
lpn_009_hybrid_anti_overfit,internal_2025,2025-12,23,23,0.1304,0.5652,0.8261,0.8696,0.5652,5.3339,3.9932,2.087,1.5149,-1.5721,0.6522,0.5652,0.4348,0.3478,0.1739,23,69,0.087,0.5362,0.8261,0.913,0.5217,5.4432,4.3118,0.9641,1.2846,-1.0065,0.7681,0.6377,0.4493,0.3043,0.1739,1.0,0.913,0.7826,0.8261,44.7851,46.2019
