variant_id,period,month,top1_days,top1_picks,top1_avg_close_return_pct,top1_median_close_return_pct,top1_avg_mfe_pct,top1_median_mfe_pct,top1_positive_close_rate,top1_hit2_rate,top1_hit3_rate,top1_loss3_rate,top3_pick_days,top3_pick_picks,top3_pick_avg_close_return_pct,top3_pick_median_close_return_pct,top3_pick_avg_mfe_pct,top3_pick_median_mfe_pct,top3_pick_positive_close_rate,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_loss3_rate,top3_any_hit2_rate,top3_any_hit3_rate,top3_any_positive_close_rate,month_selector_score
blitz_008_rank_market,internal_2025,2025-11,20,20,0.1211,-0.0001,1.1753,1.2071,0.5,0.25,0.1,0.0,20,60,-0.1414,-0.0949,0.8873,0.9004,0.4833,0.1833,0.1,0.0167,0.5,0.3,0.75,0.9705
blitz_008_rank_market,internal_2025,2025-12,23,23,0.4156,0.6217,1.2151,1.209,0.5217,0.3043,0.087,0.0435,23,69,0.0369,-0.1056,0.8221,0.6964,0.4348,0.1449,0.0435,0.0145,0.3913,0.1304,0.913,1.1165
blitz_008_rank_market,final_2026,2026-01,20,20,-1.6045,-1.8209,-0.0828,-0.1843,0.2,0.05,0.0,0.0,20,60,-0.6374,-0.5318,0.4047,0.3166,0.3333,0.0667,0.0167,0.0,0.2,0.05,0.6,-0.5473
blitz_008_rank_market,final_2026,2026-02,14,14,-0.3491,-0.3021,0.5125,0.5126,0.3571,0.1429,0.0,0.0,14,42,-0.3143,-0.3114,0.3824,0.2882,0.3095,0.0714,0.0,0.0,0.1429,0.0,0.5,0.2969
blitz_008_rank_market,final_2026,2026-03,22,22,0.7171,0.9997,1.5908,1.5496,0.6818,0.3182,0.1818,0.0,22,66,-0.0616,0.0,0.974,0.9509,0.4848,0.2424,0.1212,0.0152,0.5909,0.3636,0.7727,1.6221
blitz_008_rank_market,final_2026,2026-04,8,8,-0.3441,-0.752,0.3844,0.0488,0.25,0.125,0.0,0.0,8,24,-0.1906,-0.5227,0.5945,0.2128,0.375,0.2083,0.0417,0.0,0.5,0.125,0.75,0.2154
blitz_009_rank_orderbook,internal_2025,2025-10,17,17,-0.866,-0.939,1.3377,0.9756,0.4706,0.4118,0.2353,0.0588,17,51,0.215,0.1992,2.1858,0.996,0.5098,0.4706,0.2941,0.0196,0.8235,0.7647,0.8824,0.8788
blitz_009_rank_orderbook,internal_2025,2025-11,20,20,0.2677,0.3369,2.2517,1.9277,0.55,0.45,0.3,0.1,20,60,-0.0848,0.0411,2.2496,1.389,0.5,0.4167,0.3167,0.1,0.7,0.65,0.85,1.5989
blitz_009_rank_orderbook,internal_2025,2025-12,23,23,0.9622,0.4851,3.6945,1.8963,0.6087,0.4783,0.3478,0.0,23,69,1.1315,0.4851,3.3367,1.8015,0.5797,0.4493,0.3913,0.029,0.8261,0.7826,0.8696,2.1246
blitz_009_rank_orderbook,final_2026,2026-01,20,20,-0.4227,0.5527,1.8548,1.8726,0.6,0.45,0.15,0.1,20,60,0.0874,-0.3488,2.29,1.4811,0.4833,0.4,0.2833,0.1167,0.75,0.6,0.8,1.1086
blitz_009_rank_orderbook,final_2026,2026-02,14,14,-1.4537,-0.2755,1.4679,2.3928,0.4286,0.5714,0.1429,0.0714,14,42,-0.2533,0.0625,2.8481,2.49,0.5,0.6429,0.4048,0.0476,1.0,0.8571,0.8571,0.5875
blitz_009_rank_orderbook,final_2026,2026-03,22,22,-1.6449,-1.9316,1.8231,2.0341,0.4091,0.5,0.3636,0.0909,22,66,-0.9826,-0.904,1.7058,0.9164,0.4394,0.4394,0.3182,0.0758,0.7727,0.6818,0.7273,0.6275
blitz_009_rank_orderbook,final_2026,2026-04,8,8,6.8058,4.4706,7.2591,5.1252,0.875,0.875,0.75,0.0,8,24,2.4533,1.107,3.9441,2.8001,0.625,0.5417,0.5,0.0,0.875,0.875,1.0,6.1404
blitz_010_rank_heat,internal_2025,2025-10,17,17,2.2319,2.0788,3.9607,2.4109,0.6471,0.6471,0.4118,0.0,17,51,0.9033,0.0868,2.5241,1.2195,0.5098,0.3725,0.2745,0.0,0.7647,0.5882,0.8235,2.9514
blitz_010_rank_heat,internal_2025,2025-11,20,20,1.35,0.7392,2.9156,1.2982,0.6,0.45,0.3,0.1,20,60,1.7638,0.8078,3.1846,1.5333,0.6167,0.45,0.3167,0.0333,0.65,0.5,0.95,2.145
blitz_010_rank_heat,internal_2025,2025-12,23,23,0.8998,1.5314,2.5011,2.3858,0.5652,0.5652,0.3043,0.0435,23,69,0.445,0.2729,1.896,1.4763,0.5217,0.4203,0.2174,0.0145,0.7391,0.4783,0.7826,1.9759
blitz_010_rank_heat,final_2026,2026-01,20,20,-0.5349,-0.3204,2.9124,2.0469,0.45,0.55,0.4,0.1,20,60,1.0757,0.2541,3.9,2.249,0.55,0.55,0.4333,0.05,0.9,0.7,0.85,1.3126
blitz_010_rank_heat,final_2026,2026-02,14,14,0.218,0.0057,2.0699,1.7806,0.5,0.4286,0.2143,0.0,14,42,-0.2143,-0.5362,1.623,0.9847,0.4048,0.381,0.2381,0.0,0.6429,0.4286,0.6429,1.3376
blitz_010_rank_heat,final_2026,2026-03,22,22,0.0861,0.5627,2.058,1.5543,0.5909,0.4545,0.2727,0.0455,22,66,-0.2836,-0.6427,1.7866,0.9216,0.4697,0.3636,0.2727,0.0455,0.6364,0.5,0.7727,1.4748
blitz_010_rank_heat,final_2026,2026-04,8,8,-0.4321,-0.5037,2.2858,1.6537,0.375,0.5,0.375,0.125,8,24,0.1661,-0.2473,1.9126,1.4195,0.4167,0.4583,0.2917,0.0417,0.875,0.5,0.875,1.1589
blitz_011_rank_anti_overfit,internal_2025,2025-10,17,17,-3.3658,-1.2726,0.952,0.5702,0.4118,0.2353,0.2353,0.2353,17,51,-1.9431,-0.8801,2.1113,1.7668,0.4902,0.4706,0.4314,0.1961,0.8824,0.8824,0.8824,-0.5358
blitz_011_rank_anti_overfit,internal_2025,2025-11,20,20,2.1564,1.2256,4.4,3.5111,0.6,0.65,0.6,0.05,20,60,0.9171,0.4504,3.3162,2.6056,0.55,0.55,0.4333,0.0833,0.8,0.65,0.8,3.1132
blitz_011_rank_anti_overfit,internal_2025,2025-12,23,23,2.32,2.6991,6.2911,5.2421,0.6087,0.6957,0.6522,0.087,23,69,1.0248,0.5076,5.0565,4.0879,0.5362,0.6377,0.6087,0.1014,0.8696,0.8696,0.9565,3.3688
blitz_011_rank_anti_overfit,final_2026,2026-01,20,20,-1.537,-1.2529,2.1494,1.3129,0.35,0.45,0.45,0.2,20,60,-0.2944,-0.3337,3.0795,2.1288,0.4333,0.5167,0.45,0.15,0.85,0.75,0.75,0.7065
blitz_011_rank_anti_overfit,final_2026,2026-02,14,14,0.6032,0.5672,4.7677,3.717,0.5,0.5714,0.5714,0.1429,14,42,0.1796,-0.4211,3.4432,2.2924,0.4524,0.5238,0.4524,0.119,0.8571,0.7857,0.7857,2.1801
blitz_011_rank_anti_overfit,final_2026,2026-03,22,22,-2.3304,-1.0215,1.2483,1.6374,0.3636,0.4545,0.3636,0.1364,22,66,-1.1238,-1.2673,2.0603,1.2791,0.3788,0.4242,0.3636,0.0606,0.6818,0.6818,0.6364,0.2029
blitz_011_rank_anti_overfit,final_2026,2026-04,8,8,0.5893,0.9822,2.2235,1.3356,0.5,0.5,0.375,0.0,8,24,1.0971,-0.1728,3.2203,1.7787,0.5,0.5,0.4167,0.0,0.75,0.625,0.75,1.8322
