variant_id,period,trade_date,rank,symbol,name,final_score,model_score,entry_date,exit_date,entry_buyable,entry_gap_pct,entry_open,close_return_pct,max_runup_pct,max_drawdown_pct,hit_2pct,hit_3pct,loss_3pct,positive_close
blitz_005_raw_full,final_2026,2026-01-05,1,sh600826,sh600826,6.223555230507716,6.223555230507716,2026-01-06,2026-01-07,1,1.3805,11.75,0.3404,1.8723,-0.2553,0,0,0,1
blitz_005_raw_full,final_2026,2026-01-05,2,sz002757,sz002757,6.172420123982342,6.172420123982342,2026-01-06,2026-01-07,1,9.9907,23.56,-8.2767,4.4143,-8.2767,1,1,1,0
blitz_005_raw_full,final_2026,2026-01-05,3,sz001270,sz001270,6.167227593401464,6.167227593401464,2026-01-06,2026-01-07,1,3.7403,99.85,6.2694,6.2694,6.2694,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-06,1,sz000516,sz000516,5.895454766563003,5.895454766563003,2026-01-07,2026-01-08,1,1.9268,5.29,-3.7807,-1.1342,-6.9943,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-06,2,sz002757,sz002757,5.852965626064449,5.852965626064449,2026-01-07,2026-01-08,1,-4.2445,22.56,5.3635,5.3635,-3.5018,1,1,1,1
blitz_005_raw_full,final_2026,2026-01-06,3,sz002501,sz002501,5.74129329158444,5.74129329158444,2026-01-07,2026-01-08,1,1.4184,2.86,-2.4476,0.3497,-4.8951,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-07,1,sz002413,sz002413,5.85739814236237,5.85739814236237,2026-01-08,2026-01-09,1,-1.8552,16.4,11.5854,11.6463,2.6829,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-07,2,sz000620,sz000620,5.772187331973894,5.772187331973894,2026-01-08,2026-01-09,1,0.0,3.33,-1.8018,2.7027,-3.6036,1,0,1,0
blitz_005_raw_full,final_2026,2026-01-07,3,sz001400,sz001400,5.757257911108564,5.757257911108564,2026-01-08,2026-01-09,1,0.0639,93.93,20.9305,20.9305,6.6752,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-08,1,sz002173,sz002173,6.806194435254633,6.806194435254633,2026-01-09,2026-01-12,1,4.7952,33.0,12.0909,15.4545,3.0303,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-08,2,sz002250,sz002250,6.695460068721413,6.695460068721413,2026-01-09,2026-01-12,1,0.6188,16.26,8.7946,11.0701,3.6285,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-08,3,sh600935,sh600935,6.5747355956582805,6.5747355956582805,2026-01-09,2026-01-12,1,-0.3636,2.74,-0.7299,3.6496,-3.6496,1,1,1,0
blitz_005_raw_full,final_2026,2026-01-09,1,sh600783,sh600783,5.856905909681571,5.856905909681571,2026-01-12,2026-01-13,1,10.0031,35.85,10.0139,10.0139,-9.205,1,1,1,1
blitz_005_raw_full,final_2026,2026-01-09,2,sh601106,sh601106,5.748081735958309,5.748081735958309,2026-01-12,2026-01-13,1,5.3604,5.7,5.2632,12.807,-3.8596,1,1,1,1
blitz_005_raw_full,final_2026,2026-01-09,3,sz001373,sz001373,5.5896072042369385,5.5896072042369385,2026-01-12,2026-01-13,1,1.5081,39.04,-5.0461,-1.46,-5.6352,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-12,1,sz002316,sz002316,6.861415408161776,6.861415408161776,2026-01-13,2026-01-14,1,-4.6178,5.99,-10.5175,-6.6778,-14.8581,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-12,2,sh603703,sh603703,6.723324599064151,6.723324599064151,2026-01-13,2026-01-14,1,0.582,19.01,-6.6807,1.0521,-9.2583,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-12,3,sz002774,sz002774,6.362202210658706,6.362202210658706,2026-01-13,2026-01-14,1,-7.1882,13.17,-11.0858,-7.0615,-12.7563,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-13,1,sz002519,sz002519,7.66613362969922,7.66613362969922,2026-01-14,2026-01-15,1,-0.1919,10.4,-0.8654,2.7885,-0.8654,1,0,0,0
blitz_005_raw_full,final_2026,2026-01-13,2,sh601992,sh601992,7.203193325723425,7.203193325723425,2026-01-14,2026-01-15,1,9.8592,2.34,-9.8291,1.7094,-9.8291,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-13,3,sz002400,sz002400,7.0627310492951265,7.0627310492951265,2026-01-14,2026-01-15,1,-0.4781,12.49,2.482,11.289,-0.4804,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-14,1,sz002446,sz002446,8.503314428788995,8.503314428788995,2026-01-15,2026-01-16,1,-7.7961,12.3,7.3171,18.4553,7.3171,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-14,2,sz002519,sz002519,7.999160714271965,7.999160714271965,2026-01-15,2026-01-16,1,-9.1623,10.41,-10.8549,-10.8549,-10.8549,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-14,3,sh601992,sh601992,7.8864755251690095,7.8864755251690095,2026-01-15,2026-01-16,1,-3.8462,2.25,-15.5556,-9.7778,-15.5556,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-15,1,sz002446,sz002446,7.331085125562932,7.331085125562932,2026-01-16,2026-01-19,1,-2.5903,14.29,-16.8649,-13.5759,-16.8649,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-15,2,sh600410,sh600410,6.977866832679417,6.977866832679417,2026-01-16,2026-01-19,1,-2.0066,23.93,-15.0439,-11.5754,-17.3005,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-15,3,sz002400,sz002400,6.912475653171098,6.912475653171098,2026-01-16,2026-01-19,1,-3.0469,12.41,-14.585,-9.589,-14.7462,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-16,1,sz002112,sz002112,8.367225042314521,8.367225042314521,2026-01-19,2026-01-20,1,-10.015,17.97,27.4346,34.5019,13.2999,1,1,0,1
blitz_005_raw_full,final_2026,2026-01-16,2,sh603056,sh603056,7.951015689661019,7.951015689661019,2026-01-19,2026-01-20,1,0.803,18.83,0.1062,0.2124,0.0531,0,0,0,1
blitz_005_raw_full,final_2026,2026-01-16,3,sz002796,sz002796,7.844597654819458,7.844597654819458,2026-01-19,2026-01-20,1,2.4166,44.5,-2.0,0.8539,-6.382,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-19,1,sz001255,sz001255,9.040237126235517,9.040237126235517,2026-01-20,2026-01-21,1,-2.9986,48.2,-16.4938,-12.3444,-16.4938,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-19,2,sh600785,sh600785,8.42456003809043,8.42456003809043,2026-01-20,2026-01-21,1,-0.0966,20.68,8.5106,13.6364,2.4178,1,1,0,1
