model_id,target,feature_count,policy_id,policy_description,holdout_signal_days,holdout_top1_hit10_rate,holdout_top1_hit15_rate,holdout_top1_hit20_rate,holdout_top1_avg_mfe_22d_pct,holdout_top1_median_mfe_22d_pct,holdout_top1_buyable_rate,holdout_top3_pick_hit15_rate,holdout_top3_any_hit15_rate,holdout_return_pct,holdout_max_drawdown_pct,holdout_worst_month_return_pct,holdout_trades,holdout_top1_positive_pnl_share,observation_signal_days,final_status,decision_reasons,final_score
highhit_001_hit10_all,hit10,96,highhit_two_slot_tp15_stop8,双仓风险预算，单票 50%，15% 止盈，8% 硬止损，最多 22 日,64,0.5625,0.4219,0.3125,17.1174,12.0341,1.0,0.3594,0.7188,48.0373,-13.6455,0.0,19,0.1058,27,watch_only,[],109.0031
highhit_002_hit15_all,hit15,96,highhit_full_tp10_stop8,单仓满仓，10% 止盈，8% 硬止损，最多 22 日,64,0.5781,0.4062,0.2344,15.3197,12.678,1.0,0.3542,0.7188,-13.6204,-28.258,-14.4622,14,0.1802,27,research_only,"['holdout_account_return_not_positive', 'holdout_drawdown_below_threshold', 'holdout_worst_month_below_threshold']",54.6049
