symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,entry_signal_date,entry_date,gross_entry_price,entry_price,exit_signal_date,exit_date,gross_exit_price,exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_amount,final_cum_super_peak_amount,final_cum_super_ratio,final_super_peak_drawdown_pct,final_super_decline_streak,future_days_available,is_mature_trade
sh600681,2026-03-04,72.53,12.0,12.8,12.0,-15.34,-1.47,773000677.0000001,4.06588080097584,-1.4705882352941013,5.774269752677078,0.1663174572355512,0.06127,0.0276,0.10322,0.0747,0.7,0.65,0.4,51.14,100.0,55.37,83.39,3,趋势中继原型,2026-03-04,2026-03-05,4.53,4.5413,2026-03-25,2026-03-26,4.75,4.7381,4.86,4.33,12.58,-6.4,15,cum_super_peak_dd_20pct_3d,-146995767.8,32207418.82,-0.02542,556.4,3,34,True
sz002380,2026-03-05,78.2,16.28,6.52,7.05,-16.12,1.53,810228776.06,3.267386932940932,6.969253294289901,10.798359355422473,0.890966147426171,0.0251,0.04617,0.0357,0.0627,0.55,0.8,0.6,51.04,100.0,77.11,86.11,1,趋势中继原型,2026-03-05,2026-03-06,36.55,36.6414,2026-03-13,2026-03-16,37.5,37.4062,2.6,2.09,17.65,-1.23,6,cum_super_peak_dd_20pct_3d,-943054.22,72800780.0,-0.00023,101.3,3,33,True
sh600860,2026-03-05,75.86,23.52,11.73,4.28,-13.62,5.45,1368807467.4900005,3.2808865850791995,6.796769851951545,9.54649654195832,0.07350921697885571,0.03265,0.03214,0.0431,0.05047,0.4,0.4,0.6,65.0,74.29,81.44,100.0,2,趋势中继原型,2026-03-05,2026-03-06,16.13,16.1703,2026-03-17,2026-03-18,13.88,13.8453,-13.95,-14.38,2.79,-11.84,8,hard_stop_8pct,-108390947.4,0.0,-0.02009,0.0,1,33,True
sz002536,2026-03-05,73.57,27.61,16.43,9.93,-20.7,2.83,3088760219.949999,1.971623489423193,5.082339579784212,1.195332135901353,0.003942586589061214,0.02748,0.03894,0.04553,0.06011,0.45,0.45,0.6,74.45,78.57,55.3,99.05,3,趋势中继原型,2026-03-05,2026-03-06,36.2,36.2905,2026-03-13,2026-03-16,36.78,36.6881,1.6,1.1,15.11,-9.34,6,cum_super_peak_dd_20pct_3d,94805674.82,281672973.83,0.00758,66.34,3,33,True
sz002531,2026-03-05,72.23,38.27,7.13,-0.1,-13.49,-2.98,508773130.01,0.8068936927101034,0.5785920925747368,7.1089770403733965,-0.15186397355237946,0.05421,0.04768,0.05474,0.05461,0.85,0.7,0.6,78.02,100.0,45.58,24.29,4,趋势中继原型,2026-03-05,2026-03-06,10.39,10.416,2026-03-20,2026-03-23,11.07,11.0423,6.54,6.01,28.97,-2.79,11,cum_super_peak_dd_20pct_3d,144344113.3,288887073.9,0.01257,50.03,3,33,True
sh603826,2026-03-05,70.25,26.14,11.68,3.01,-14.51,2.42,554223903.57,2.0744198209676235,3.7211493170042242,12.151246118437065,-0.01077882081866155,0.03634,0.03018,0.01876,0.02214,0.5,0.4,0.6,68.32,78.64,61.95,67.38,5,趋势中继原型,2026-03-05,2026-03-06,21.92,21.9748,2026-03-17,2026-03-18,23.5,23.4413,7.21,6.67,20.26,-0.55,8,cum_super_peak_dd_20pct_3d,22547231.33,63905712.33,0.00853,64.72,3,33,True
sz002913,2026-03-06,80.39,22.19,14.21,-1.25,-20.75,5.36,1023563205.1599998,3.4295794446968624,10.002070822116371,9.662496121530666,0.7687290912601763,0.02363,0.03811,0.03121,0.04898,0.45,0.7,0.8,65.5,96.68,67.58,100.0,1,趋势中继原型,2026-03-06,2026-03-09,52.0,52.13,2026-03-10,2026-03-11,52.8,52.668,1.54,1.03,4.81,-1.52,2,violent_super_outflow,-24590850.46,34369462.54,-0.01286,171.55,1,32,True
sz002380,2026-03-06,77.85,24.8,15.78,12.43,-19.67,1.73,889003813.9399999,3.1406542606864907,4.62633451957295,6.831933423414895,-0.041264561641662256,0.03068,0.0583,0.04051,0.07122,0.6,0.8,0.8,70.26,100.0,50.35,91.88,2,趋势中继原型,2026-03-06,2026-03-09,36.7,36.7918,2026-03-13,2026-03-16,37.5,37.4062,2.18,1.67,17.17,-1.63,5,cum_super_peak_dd_20pct_3d,-43638251.22,30105583.0,-0.01338,244.95,3,32,True
sh603826,2026-03-06,73.81,34.43,19.67,6.43,-20.88,2.88,510526677.20000005,1.7690859144981916,8.537693006357848,6.708783601249962,-0.1284511797888081,0.03857,0.04199,0.02805,0.05117,0.55,0.45,0.8,86.12,87.14,47.31,56.49,3,趋势中继原型,2026-03-06,2026-03-09,23.89,23.9497,2026-03-17,2026-03-18,23.5,23.4413,-1.63,-2.12,10.34,-4.27,7,cum_super_peak_dd_20pct_3d,13426146.33,54784627.33,0.0063,75.49,3,32,True
sz002531,2026-03-06,73.72,32.53,10.25,3.06,-13.49,-0.74,579661481.6999999,0.9414783122494119,2.301054650047951,3.873726683399184,-0.08527074004475788,0.05582,0.04752,0.05539,0.05086,0.85,0.7,0.8,75.26,100.0,50.96,33.96,4,趋势中继原型,2026-03-06,2026-03-09,10.48,10.5062,2026-03-20,2026-03-23,11.07,11.0423,5.63,5.1,27.86,-3.63,10,cum_super_peak_dd_20pct_3d,121171009.54,265713970.14,0.01112,54.4,3,32,True
sh600590,2026-03-06,73.69,31.93,14.03,-3.1,-21.53,1.57,431605470.15,0.3737069301995753,9.99320190346702,38.674402213203734,1.2831153552283125,0.04409,0.03543,0.00421,0.00339,0.55,0.6,0.8,77.87,91.43,65.96,18.41,5,趋势中继原型,2026-03-06,2026-03-09,15.77,15.8094,2026-03-13,2026-03-16,14.6,14.5635,-7.42,-7.88,9.07,-9.45,5,hard_stop_8pct,-127179641.49,59552145.14,-0.01704,313.56,3,32,True
