symbol,runup_pct,runup_start_date,runup_end_date,runup_start_price,runup_end_price,drawdown_pct,drawdown_start_date,drawdown_end_date,drawdown_start_price,drawdown_end_price,period_return_pct,amount_avg,name,strategy_candidate_count,candidate_dates,has_pullback_confirm_candidate,v1_3_trade_count,v1_3_best_return,v1_3_entry_dates,v1_4_balanced_trade_count,v1_4_balanced_best_return,v1_4_quality_trade_count,v1_4_quality_best_return,balanced_filter_reasons,nearest_date,setup_score_at_anchor,candidate_ok_at_anchor,anchor_pre20_return_pct,anchor_pre20_super_price_divergence,anchor_pre20_main_price_divergence,anchor_pre5_return_pct,anchor_pre5_super_price_divergence,anchor_total_amount,anchor_launch_start,anchor_launch_end,anchor_pullback_confirm_date,anchor_pullback_reason,anchor_launch3_return_pct,anchor_launch3_max_drawdown_pct,anchor_launch3_super_net_ratio,anchor_launch3_main_net_ratio,anchor_pullback_super_net_ratio,anchor_pullback_main_net_ratio,anchor_pullback_support_spread_avg,anchor_confirm_distribution_score,primary_miss_reason_at_anchor
sh600396,237.5,2026-03-04,2026-04-24,3.2,10.8,-31.3,2026-03-27,2026-04-13,9.49,6.52,178.79,1509162312.25,华电辽能,0,,False,0,,,0,,0,,,2026-03-04,0.0,False,7.54,-0.10377,-0.11417,1.86,-0.08381,116483823.0,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,10.91,0.0,0.21552,0.19617,-0.01925,0.02329,0.03993,29.03,成交额<2.5亿;setup_score<50;资金价格背离不足
sh603538,193.77,2026-03-04,2026-04-24,20.22,59.4,-16.32,2026-03-31,2026-04-01,43.99,36.81,160.66,1652257971.54,美诺华,0,,False,0,,,0,,0,,,2026-03-04,10.57,False,-3.81,0.02966,-0.00366,-2.65,0.01989,108080249.52000001,2026-03-05,2026-03-09,,no_pullback_confirm,9.72,0.0,0.01152,0.0168,,,,,成交额<2.5亿;setup_score<50
sh600726,171.21,2026-03-04,2026-03-27,2.64,7.16,-38.41,2026-03-27,2026-04-21,7.16,4.41,114.02,1536138740.41,华电能源,2,"2026-04-21,2026-04-23",False,0,,,0,,0,,2026-04-21:v1_3_ladder_pull_filter|2026-04-23:v1_3_ladder_pull_filter,2026-03-04,2.7,False,6.69,-0.04899,-0.05233,2.65,-0.01803,169911373.54000002,2026-03-05,2026-03-09,2026-03-10,pullback_absorption_confirm,6.18,0.0,-0.00114,0.02227,0.32392,0.28183,0.52002,30.14,成交额<2.5亿;setup_score<50;资金价格背离不足
sz002580,168.05,2026-03-18,2026-04-20,12.55,33.64,-23.81,2026-04-20,2026-04-23,33.64,25.63,109.85,1390606652.13,圣阳股份,0,,False,0,,,0,,0,,,2026-03-18,24.33,False,-1.21,0.01098,0.00432,-4.65,0.03625,201565423.68,2026-03-18,2026-03-20,2026-03-25,pullback_absorption_confirm,8.94,0.0,0.03664,0.05944,0.13025,0.10265,0.57314,25.12,成交额<2.5亿;setup_score<50
sz002980,167.62,2026-03-05,2026-04-21,31.47,84.22,-15.32,2026-03-17,2026-03-23,40.28,34.11,158.21,883399351.94,华盛昌,0,,False,0,,,0,,0,,,2026-03-05,2.15,False,55.98,-0.5293,-0.5592,29.16,-0.25628,885019911.0200002,2026-03-09,2026-03-11,2026-03-16,pullback_absorption_confirm,6.04,0.0,0.00756,0.00839,0.00486,-0.02184,0.5737,15.48,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足
sz000890,149.08,2026-03-02,2026-04-07,7.07,17.61,-35.43,2026-04-07,2026-04-15,17.61,11.37,92.65,1132691776.66,法尔胜,2,"2026-04-15,2026-04-20",True,1,-0.56,2026-04-23,1,-0.56,1,-0.56,,2026-03-02,11.59,False,43.71,-0.39256,-0.40423,41.59,-0.37437,983923455.75,2026-03-02,2026-03-04,2026-03-11,pullback_absorption_confirm,5.22,-4.39,0.05653,0.04601,0.06426,0.02051,0.08039,12.31,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足
sh603778,144.79,2026-03-02,2026-04-09,14.0,34.27,-29.68,2026-04-09,2026-04-17,34.27,24.1,88.16,2680609713.76,国晟科技,1,2026-03-03,False,0,,,0,,0,,,2026-03-02,63.42,True,-19.29,0.17036,0.13133,-3.04,0.0326,788213638.76,2026-03-02,2026-03-04,2026-03-06,pullback_absorption_confirm,12.2,0.0,0.05801,0.04311,0.13356,0.10095,0.13001,36.0,锚点附近链路可通过
sz003018,143.6,2026-03-23,2026-04-24,23.81,58.0,-21.96,2026-03-16,2026-03-23,30.51,23.81,119.46,477290504.73,金富科技,0,,False,0,,,0,,0,,,2026-03-23,24.65,False,7.14,-0.0334,-0.03602,-5.01,0.05843,213872376.0,2026-03-24,2026-03-26,2026-03-27,pullback_absorption_confirm,12.88,0.0,0.13147,0.09905,0.04535,0.0871,0.07466,22.0,成交额<2.5亿;setup_score<50
sz001309,140.06,2026-03-03,2026-04-23,227.0,544.93,-18.16,2026-03-18,2026-03-24,374.0,306.1,98.69,6527117528.85,德明利,1,2026-03-04,True,0,,,0,,0,,2026-03-04:v1_3_ladder_pull_filter,2026-03-03,55.73,True,-11.39,0.09857,0.10385,-3.69,0.01082,2404191330.29,2026-03-03,2026-03-05,2026-03-06,pullback_absorption_confirm,11.99,0.0,0.05166,0.02345,0.11877,0.06987,0.04416,12.0,锚点附近链路可通过
sz002384,133.33,2026-03-02,2026-04-24,84.0,196.0,-17.98,2026-03-16,2026-03-27,120.5,98.83,106.42,10309347282.7,东山精密,0,,False,0,,,0,,0,,,2026-03-02,15.0,False,17.02,-0.13002,-0.12964,18.28,-0.1577,7804819318.9,2026-03-02,2026-03-04,2026-03-06,pullback_absorption_confirm,4.36,0.0,0.03967,0.05392,0.00522,0.00083,0.08167,12.0,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足
