threshold,strong_count,candidate_hit_count,trade_hit_count,stable_trade_hit_count,combined_trade_hit_count,new_trade_hit_vs_stable
30,674,36,35,15,50,35
50,222,23,22,6,28,22
top50,50,5,5,2,7,5
