symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,entry_signal_date,entry_date,gross_entry_price,exit_signal_date,exit_date,gross_exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_amount,final_cum_main_amount,final_cum_super_ratio,final_cum_main_ratio,final_super_peak_drawdown_pct,final_super_decline_streak,rule,future_days_available,is_mature_trade
sz002531,2026-03-03,82.39,32.48,7.87,1.86,-14.98,-2.18,990740617.49,1.6471774558827486,4.55927051671734,6.644632327357307,0.0183100226030485,0.04932,0.04089,0.04083,0.02857,0.75,0.65,0.2,72.73,100.0,67.25,87.56,1,趋势中继原型,2026-03-03,2026-03-04,10.17,2026-03-20,2026-03-23,11.07,8.85,8.31,31.76,-0.69,13,cum_super_peak_dd_20pct_3d,227839792.3,195998709.5,0.01822,0.01567,38.82,3,no_early,35,True
sh601898,2026-03-03,75.63,26.72,15.25,10.41,-17.32,4.85,2518312400.4500003,2.74133454745961,5.740181268882161,2.801783363628445,-0.0459372193772812,0.01683,0.03956,0.0031,0.04294,0.55,0.7,0.2,72.26,84.1,58.09,100.0,2,趋势中继原型,2026-03-03,2026-03-04,17.0,2026-03-19,2026-03-20,17.67,3.94,3.42,16.29,-5.18,12,cum_super_peak_dd_20pct_3d,46575625.39,-268447716.32,0.00279,-0.0161,81.63,3,no_early,35,True
sh601015,2026-03-03,75.56,31.55,5.51,5.51,-18.68,4.21,1159557440.6799998,1.5687058205305635,10.058027079303676,11.125907354304417,-0.0068752817931336,0.03974,0.02626,0.01984,0.01416,0.65,0.5,0.2,69.77,88.07,60.97,85.62,3,趋势中继原型,2026-03-03,2026-03-04,5.84,2026-03-05,2026-03-06,4.9,-16.1,-16.51,0.51,-15.75,2,hard_stop_8pct,-123982975.09,-183128584.13,-0.05596,-0.08265,0.0,1,no_early,35,True
sh605366,2026-03-03,74.09,34.75,13.64,12.96,-17.08,3.85,859184761.5199999,3.155048155454617,4.947368421052634,3.2791043698398,-0.0669565517645188,0.01941,0.03029,0.02357,0.03146,0.6,0.55,0.2,81.14,78.33,53.46,89.7,4,趋势中继原型,2026-03-03,2026-03-04,9.75,2026-04-01,2026-04-02,11.32,16.1,15.52,23.08,-10.15,21,cum_super_peak_dd_20pct_3d,-20692408.99,152745438.97,-0.00198,0.01458,190.57,3,no_early,35,True
sh600583,2026-03-03,73.47,23.33,21.63,6.16,-18.28,9.96,3273711412.1599994,3.1994366061034993,9.962168978562437,-11.286865086443406,0.1383591872751986,0.0143,0.0189,0.02488,0.02935,0.5,0.65,0.2,72.14,81.92,52.65,100.0,5,趋势中继原型,2026-03-03,2026-03-04,8.36,2026-03-06,2026-03-09,8.11,-2.99,-3.47,1.91,-11.48,3,hard_stop_8pct,-187305041.77,-104315717.54,-0.02917,-0.01624,0.0,0,no_early,35,True
sh600989,2026-03-03,73.42,16.31,13.4,10.82,-13.56,8.32,8861485300.020002,4.0680700775032825,8.320668693009114,2.3037644085415323,0.0415951150276316,0.00397,0.03108,0.00844,0.04093,0.5,0.75,0.2,57.22,76.76,77.57,100.0,6,趋势中继原型,2026-03-03,2026-03-04,27.77,2026-03-26,2026-03-27,29.82,7.38,6.85,31.4,-9.04,17,cum_super_peak_dd_20pct_3d,1020300793.06,16499333.55,0.00923,0.00015,38.84,3,no_early,35,True
sz000968,2026-03-03,72.79,20.51,22.54,9.24,-19.24,10.04,872590991.68,2.314973368751636,10.042283298097242,-2.1835825296930693,2.610641755977932,0.00921,-0.01039,0.04062,0.04428,0.55,0.35,0.2,68.51,87.14,50.68,90.68,7,趋势中继原型,2026-03-03,2026-03-04,10.58,2026-03-10,2026-03-11,9.21,-12.95,-13.38,7.75,-13.8,5,hard_stop_8pct,-6988585.38,-34942968.82,-0.00117,-0.00587,110.37,1,no_early,35,True
sz000554,2026-03-03,71.83,29.74,22.03,13.07,-21.81,10.04,198437336.35,0.4490906069240693,10.040567951318469,4.53276055073394,3.613963271181553,0.00514,0.00258,0.0325,0.05226,0.4,0.6,0.2,80.38,89.24,65.4,1.35,8,趋势中继原型,2026-03-03,2026-03-04,11.93,2026-03-05,2026-03-06,10.56,-11.48,-11.93,0.08,-12.66,2,hard_stop_8pct,-72740845.52,-38020934.13,-0.02266,-0.01184,0.0,1,no_early,35,True
sz000822,2026-03-03,70.79,19.24,7.6,4.83,-14.07,-0.14,1035377088.02,2.428925276340987,4.322766570605174,4.072714517049995,-0.0692777644878837,0.03471,0.03265,0.00211,0.0071,0.55,0.5,0.2,55.81,84.83,57.43,100.0,9,趋势中继原型,2026-03-03,2026-03-04,6.75,2026-03-19,2026-03-20,5.97,-11.56,-12.0,7.7,-11.7,12,hard_stop_8pct,-49617540.33,-96416448.77,-0.00806,-0.01566,0.0,2,no_early,35,True
sh601866,2026-03-03,70.5,11.32,10.07,8.06,-14.43,6.56,2438739365.54,4.715938165901852,10.169491525423725,13.658921721068864,0.1220123103700806,0.02478,0.01583,0.03948,0.03982,0.4,0.4,0.2,47.83,74.29,80.59,100.0,10,趋势中继原型,2026-03-03,2026-03-04,3.14,2026-03-05,2026-03-06,2.8,-10.83,-11.27,0.0,-12.42,2,hard_stop_8pct,-297741687.22,-329159307.81,-0.10695,-0.11823,0.0,1,no_early,35,True
