signal_date,symbol,entry_date,exit_signal_date,net_return_pct,exit_reason,cum_l2_super_net_ratio_entry_to_exit_signal,cum_l2_main_net_ratio_entry_to_exit_signal,cum_l2_super_net_entry_to_exit_signal,cum_l2_main_net_entry_to_exit_signal,neg_super_day_ratio,neg_main_day_ratio,holding_observed_days
2026-03-11,sz002733,2026-03-16,2026-03-19,-9.51,stop_loss_8pct,0.00632,-0.00633,29655700.78,-29697636.86,0.5,0.5,4
2026-03-11,sz000626,2026-03-17,2026-03-17,-3.83,panic_distribution,-0.04844,-0.16875,-11244474.0,-39173777.0,1.0,1.0,1
2026-03-11,sh603588,2026-03-13,2026-03-18,-11.82,stop_loss_8pct,-0.04898,-0.07607,-313959345.75,-487642178.52,0.75,1.0,4
2026-03-11,sz001301,2026-03-16,2026-03-19,-11.8,stop_loss_8pct,-0.00519,-0.04782,-11824209.55,-108897283.99,0.5,0.75,4
2026-03-11,sh600299,2026-03-16,2026-03-17,-9.67,stop_loss_8pct,-0.08358,-0.10431,-125438276.28,-156544535.95,1.0,1.0,2
2026-03-11,sh603158,2026-03-13,2026-03-23,-11.16,stop_loss_8pct,-0.00538,-0.02357,-18994553.7,-83143385.69,0.5714,0.5714,7
2026-03-12,sz000048,2026-03-19,2026-03-23,-10.59,stop_loss_8pct,-0.02274,0.00331,-30688564.34,4467869.5,0.6667,0.3333,3
2026-03-12,sh603693,2026-03-18,2026-04-01,-8.63,distribution_confirmed_2d,-0.0171,-0.03739,-157240145.55,-343813902.72,0.9091,0.9091,11
2026-03-12,sh601016,2026-03-18,2026-03-27,9.09,distribution_confirmed_2d,-0.02732,-0.0507,-970817946.1,-1801820744.22,0.5,0.625,8
2026-03-12,sh600726,2026-03-16,2026-04-24,34.21,window_end,-0.00298,-0.02016,-153305795.65,-1038586574.75,0.5926,0.6667,27
2026-03-12,sz000600,2026-03-26,2026-03-31,-8.94,stop_loss_8pct,-0.00782,-0.01781,-20778788.42,-47339802.77,0.5,0.75,4
2026-03-13,sh600307,2026-03-18,2026-03-23,-7.95,stop_loss_8pct,-0.01044,-0.03387,-52209050.65,-169414398.78,0.75,0.75,4
2026-03-13,sh600746,2026-03-19,2026-03-23,-10.54,stop_loss_8pct,-0.00165,0.03178,-1684663.0,32513326.64,0.6667,0.3333,3
2026-03-13,sz000912,2026-03-18,2026-03-18,-2.77,panic_distribution,-0.0809,-0.12624,-80735638.52,-125982437.34,1.0,1.0,1
2026-03-13,sz002382,2026-03-17,2026-03-20,-0.63,distribution_confirmed_2d,-0.0148,-0.05454,-37630736.22,-138651269.46,0.75,1.0,4
2026-03-13,sh601218,2026-03-20,2026-03-20,-12.52,stop_loss_8pct,-0.15609,-0.22718,-353637452.31,-514691926.66,1.0,1.0,1
2026-03-13,sz000048,2026-03-19,2026-03-23,-10.59,stop_loss_8pct,-0.02274,0.00331,-30688564.34,4467869.5,0.6667,0.3333,3
2026-03-13,sh603949,2026-03-19,2026-03-20,-14.22,stop_loss_8pct,-0.01214,0.05205,-5102937.58,21878099.42,0.5,0.5,2
2026-03-16,sz002831,2026-03-19,2026-03-23,-11.84,stop_loss_8pct,-0.02477,-0.03059,-46485198.71,-57408642.97,0.6667,1.0,3
2026-03-16,sz002294,2026-03-30,2026-04-20,-9.71,stop_loss_8pct,-0.01215,-0.03093,-143952736.25,-366589981.66,0.7857,0.7143,14
2026-03-16,sz001309,2026-03-25,2026-04-01,6.2,panic_distribution,-0.00706,0.00232,-310339835.14,101985570.63,0.5,0.3333,6
2026-03-17,sz002730,2026-03-26,2026-03-26,-13.2,stop_loss_8pct,-0.0279,-0.05465,-37761447.4,-73971513.08,1.0,1.0,1
2026-03-17,sh603693,2026-03-24,2026-03-30,-8.54,stop_loss_8pct,-0.01313,-0.02758,-59605948.16,-125216764.72,1.0,1.0,5
2026-03-18,sh603387,2026-03-30,2026-04-07,3.48,panic_distribution,-0.00509,-0.03071,-17858651.11,-107772654.76,0.8333,0.6667,6
2026-03-18,sh603817,2026-03-20,2026-03-26,-15.22,stop_loss_8pct,-0.02551,0.09078,-80342995.73,285962898.22,1.0,0.2,5
2026-03-18,sz002730,2026-03-26,2026-03-26,-13.2,stop_loss_8pct,-0.0279,-0.05465,-37761447.4,-73971513.08,1.0,1.0,1
2026-03-18,sh603052,2026-03-26,2026-04-07,-4.75,panic_distribution,0.0011,-0.00675,4873131.47,-29807730.0,0.625,0.75,8
2026-03-18,sh600643,2026-04-02,2026-04-02,2.17,panic_distribution,-0.09706,-0.11104,-47206724.46,-54009748.68,1.0,1.0,1
2026-03-19,sh603366,2026-03-23,2026-03-26,-6.45,distribution_confirmed_2d,-0.04298,-0.0708,-136399043.94,-224675784.4,1.0,1.0,4
2026-03-19,sh600186,2026-03-25,2026-04-10,5.69,distribution_confirmed_2d,0.01768,-0.00572,329072937.97,-106442483.73,0.5,0.5833,12
2026-03-19,sh600815,2026-03-23,2026-04-24,9.99,window_end,-0.01512,-0.01278,-196695742.79,-166255413.44,0.5,0.5,22
2026-03-19,sz001258,2026-03-24,2026-03-30,-10.43,stop_loss_8pct,-0.03985,-0.06606,-237064632.55,-393024742.62,1.0,1.0,5
2026-03-19,sz002902,2026-03-26,2026-04-07,4.44,distribution_confirmed_2d,0.00955,-0.01307,106303547.88,-145426080.49,0.75,0.75,8
2026-03-19,sz000048,2026-03-27,2026-04-02,-10.14,distribution_confirmed_2d,-0.05986,-0.06277,-155856818.21,-163446435.79,0.6,0.6,5
2026-03-19,sh603817,2026-03-23,2026-03-27,-8.82,stop_loss_8pct,-0.02132,0.07802,-56707129.0,207500862.21,1.0,0.2,5
2026-03-19,sz000539,2026-03-25,2026-03-30,-11.71,stop_loss_8pct,-0.00611,-0.03943,-44345070.33,-286425676.31,0.75,0.75,4
2026-03-20,sh603538,2026-03-25,2026-03-31,29.19,panic_distribution,-0.0076,-0.0222,-47393765.82,-138523295.16,0.4,0.4,5
2026-03-20,sh605299,2026-03-25,2026-04-24,29.35,window_end,0.03357,0.01636,678244687.52,330515461.17,0.45,0.5,20
2026-03-20,sh600815,2026-03-24,2026-04-03,-10.81,stop_loss_8pct,-0.01403,-0.01597,-90873910.59,-103442603.29,0.7778,0.6667,9
2026-03-20,sz002256,2026-03-25,2026-03-26,-10.7,panic_distribution,-0.03972,-0.08683,-139686031.33,-305367160.38,1.0,1.0,2
2026-03-20,sh605050,2026-03-25,2026-04-03,-12.29,stop_loss_8pct,0.0088,0.00172,20292361.0,3970204.88,0.625,0.5,8
2026-03-20,sz000856,2026-03-24,2026-03-27,-0.5,distribution_confirmed_2d,-0.05258,-0.1087,-102226874.42,-211348689.63,0.75,1.0,4
2026-03-20,sz002730,2026-03-26,2026-03-26,-13.2,stop_loss_8pct,-0.0279,-0.05465,-37761447.4,-73971513.08,1.0,1.0,1
2026-03-23,sh603529,2026-03-25,2026-04-07,-7.12,distribution_confirmed_2d,-0.02843,-0.03832,-192979590.09,-260153137.43,0.8889,0.7778,9
2026-03-23,sh600815,2026-03-25,2026-04-03,-11.5,stop_loss_8pct,-0.01957,-0.02651,-114857028.59,-155536246.63,0.875,0.75,8
2026-03-23,sh600032,2026-03-26,2026-03-27,-10.78,stop_loss_8pct,-0.08288,-0.0967,-355518438.3,-414778862.02,1.0,1.0,2
2026-03-23,sh603016,2026-03-25,2026-04-02,27.98,panic_distribution,0.00552,-0.00123,15855587.0,-3528047.55,0.5714,0.5714,7
2026-03-23,sh603803,2026-04-02,2026-04-24,3.97,panic_distribution,0.00283,-0.01677,42655986.07,-253035245.71,0.7143,0.7143,14
2026-03-24,sh605299,2026-03-26,2026-03-26,-11.33,stop_loss_8pct,0.02281,-0.0758,30114298.63,-100060131.07,0.0,1.0,1
2026-03-24,sh600815,2026-03-26,2026-03-26,-12.42,stop_loss_8pct,-0.06803,-0.11762,-91441482.96,-158093846.87,1.0,1.0,1
2026-03-24,sh600982,2026-03-30,2026-03-31,-17.18,stop_loss_8pct,-0.08404,-0.1388,-176774151.12,-291969682.56,1.0,1.0,2
2026-03-24,sh603538,2026-03-26,2026-03-31,20.8,panic_distribution,-0.04243,-0.04943,-226746619.89,-264169145.67,0.5,0.5,4
2026-03-24,sh603115,2026-03-30,2026-04-03,-1.72,distribution_confirmed_2d,-0.0253,-0.0515,-83773373.9,-170512814.69,0.8,0.8,5
2026-03-25,sh600815,2026-04-09,2026-04-24,-0.24,window_end,-0.03565,-0.03085,-192990509.9,-166971342.75,0.4,0.4,10
2026-03-25,sz002580,2026-04-01,2026-04-03,-16.43,stop_loss_8pct,0.00289,-0.06394,20106364.97,-444428527.04,0.6667,0.6667,3
2026-03-25,sz002869,2026-03-31,2026-04-09,-11.91,stop_loss_8pct,0.00279,-0.00204,6297030.85,-4614693.89,0.4286,0.5714,7
2026-03-25,sz002730,2026-04-01,2026-04-08,4.89,panic_distribution,0.00342,-0.00735,19480376.12,-41812931.79,0.6,0.4,5
2026-03-25,sz002893,2026-04-07,2026-04-08,-11.93,stop_loss_8pct,-0.01409,0.04626,-11723310.0,38486713.0,0.5,0.0,2
2026-03-25,sh605299,2026-03-30,2026-04-24,11.01,window_end,0.0328,0.01928,573023327.92,336732883.64,0.5294,0.5294,17
2026-03-26,sz000927,2026-04-01,2026-04-09,-5.91,stop_loss_8pct,0.01893,0.01133,91807857.14,54949968.25,0.5,0.3333,6
2026-03-26,sh601908,2026-04-01,2026-04-03,-12.04,stop_loss_8pct,-0.05473,-0.06663,-219371083.76,-267068513.67,1.0,1.0,3
2026-03-26,sz002705,2026-03-31,2026-04-24,24.21,window_end,0.01936,0.02937,158513313.27,240486935.09,0.5,0.5,16
