route_id,route_description,internal_a_top1_days,internal_a_top1_picks,internal_a_top1_day1_no_red_rate,internal_a_top1_day2_still_loss_rate,internal_a_top1_deep_pain_rate,internal_a_top1_day1_green_rate,internal_a_top1_day1_positive_close_rate,internal_a_top1_day1_avg_mfe_pct,internal_a_top1_day1_median_mfe_pct,internal_a_top1_day1_avg_close_return_pct,internal_a_top1_day2_avg_close_return_pct,internal_a_top1_day2_median_close_return_pct,internal_a_top1_hit2_rate,internal_a_top1_hit3_rate,internal_a_top1_hit5_rate,internal_a_top1_hit7_rate,internal_a_top1_hit10_rate,internal_a_top1_avg_filter_universe,internal_b_top1_days,internal_b_top1_picks,internal_b_top1_day1_no_red_rate,internal_b_top1_day2_still_loss_rate,internal_b_top1_deep_pain_rate,internal_b_top1_day1_green_rate,internal_b_top1_day1_positive_close_rate,internal_b_top1_day1_avg_mfe_pct,internal_b_top1_day1_median_mfe_pct,internal_b_top1_day1_avg_close_return_pct,internal_b_top1_day2_avg_close_return_pct,internal_b_top1_day2_median_close_return_pct,internal_b_top1_hit2_rate,internal_b_top1_hit3_rate,internal_b_top1_hit5_rate,internal_b_top1_hit7_rate,internal_b_top1_hit10_rate,internal_b_top1_avg_filter_universe,final_2026_top1_days,final_2026_top1_picks,final_2026_top1_day1_no_red_rate,final_2026_top1_day2_still_loss_rate,final_2026_top1_deep_pain_rate,final_2026_top1_day1_green_rate,final_2026_top1_day1_positive_close_rate,final_2026_top1_day1_avg_mfe_pct,final_2026_top1_day1_median_mfe_pct,final_2026_top1_day1_avg_close_return_pct,final_2026_top1_day2_avg_close_return_pct,final_2026_top1_day2_median_close_return_pct,final_2026_top1_hit2_rate,final_2026_top1_hit3_rate,final_2026_top1_hit5_rate,final_2026_top1_hit7_rate,final_2026_top1_hit10_rate,final_2026_top1_avg_filter_universe
trend_forming_top20,趋势形成过程 Top20 板块后再选,37,37,0.1081,0.7027,0.7838,0.8919,0.4595,4.2459,3.9922,-0.7401,-2.5482,-4.0385,0.6486,0.5405,0.3514,0.1892,0.0811,90.68,23,23,0.0435,0.4783,0.8261,0.9565,0.4348,5.2855,3.4843,-0.1405,-0.8435,0.6356,0.8261,0.6522,0.4783,0.2174,0.087,87.74,64,64,0.0625,0.4531,0.5938,0.9375,0.5781,4.659,3.8227,1.3558,1.5651,2.861,0.7188,0.625,0.3594,0.2656,0.0781,88.02
formal_new_or_accel_or_mainline,正式热点上榜后再选,37,37,0.1081,0.5135,0.6486,0.8919,0.7027,5.6815,5.8416,1.3652,1.0861,-0.8858,0.7027,0.6486,0.5676,0.3243,0.1622,167.86,23,23,0.087,0.4783,0.8696,0.913,0.5652,5.812,5.8389,1.3807,0.7357,0.6711,0.7391,0.6957,0.5652,0.2609,0.1304,180.61,64,64,0.0938,0.4844,0.5938,0.9062,0.625,5.1619,4.6795,1.725,0.9855,0.3609,0.75,0.6406,0.4688,0.3125,0.1094,169.08
trend_forming_top10,趋势形成过程 Top10 板块后再选,37,37,0.1081,0.7027,0.8108,0.8919,0.4324,3.9618,3.9922,-0.8442,-1.7683,-2.3096,0.5946,0.5135,0.3243,0.1622,0.0541,52.92,23,23,0.0435,0.5217,0.8261,0.9565,0.3478,4.6685,3.4843,-1.3179,0.0408,-0.2792,0.7391,0.5652,0.4348,0.2609,0.0435,51.04,64,64,0.0938,0.5,0.6875,0.9062,0.5156,3.9455,3.0026,0.1302,0.32,0.7171,0.6406,0.5,0.2812,0.1875,0.0625,56.86
all_market,全市场直接选股,37,37,0.0811,0.3514,0.5135,0.9189,0.6757,6.5904,5.8416,2.8351,5.0814,5.467,0.7838,0.7568,0.5946,0.4324,0.1892,2234.95,23,23,0.0,0.4783,0.7826,1.0,0.5217,6.7316,6.269,1.422,0.5455,1.2744,0.9565,0.8261,0.5652,0.4348,0.1739,2048.13,64,64,0.0938,0.5156,0.6094,0.9062,0.5625,5.8595,4.4248,1.0097,-0.0199,-0.4595,0.7656,0.6719,0.4688,0.3281,0.1719,2312.61
