symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type,entry_date,gross_entry_price,entry_price,exit_signal_date,exit_date,gross_exit_price,exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_amount,final_cum_super_peak_amount,final_cum_super_ratio,final_super_peak_drawdown_pct,final_super_decline_streak,future_days_available,is_mature_trade
sh600860,2026-03-05,75.86,23.52,11.73,4.28,-13.62,5.45,1368807467.4900005,3.2808865850791995,6.796769851951545,9.54649654195832,0.07350921697885571,0.03265,0.03214,0.0431,0.05047,0.4,0.4,0.6,65.0,74.29,81.44,100.0,2,趋势中继原型,2026-03-05,2026-03-10,回踩均线承接,2026-03-10,1.99,1.328,-0.00729,0.0412,-0.09212,-0.15951,-0.10045,4.11966,-3.88,-12.18,0.38946,0.9279,2.35,回踩均线承接,2026-03-11,15.85,15.8896,2026-03-17,2026-03-18,13.88,13.8453,-12.43,-12.87,1.14,-10.28,5,hard_stop_8pct,-46313498.13,9050408.74,-0.01558,611.73,1,30,True
sh603826,2026-03-05,70.25,26.14,11.68,3.01,-14.51,2.42,554223903.57,2.0744198209676235,3.7211493170042242,12.151246118437065,-0.01077882081866155,0.03634,0.03018,0.01876,0.02214,0.5,0.4,0.6,68.32,78.64,61.95,67.38,5,趋势中继原型,2026-03-05,2026-03-10,回踩均线承接,2026-03-10,2.35,0.923,0.04694,0.10085,0.09596,0.29362,-0.05137,10.08524,-0.29,-13.26,0.35959,1.02023,1.664,回踩均线承接,2026-03-11,23.81,23.8695,2026-03-17,2026-03-18,23.5,23.4413,-1.3,-1.79,10.71,-2.14,5,cum_super_peak_dd_20pct_3d,-5215707.07,36142773.93,-0.00348,114.43,3,30,True
sh603057,2026-03-05,69.25,18.59,13.02,-0.15,-20.86,-0.98,252055071.42000002,1.6583021075242423,3.9192041000904343,20.588960066400077,0.006686977454984255,0.01977,0.05275,0.04833,0.0951,0.45,0.7,0.6,59.81,100.0,51.69,33.88,6,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,-1.1,1.284,0.06012,0.09136,0.16704,0.33452,-0.01908,9.13637,-3.43,-8.56,0.52285,1.0431,1.436,回踩均线承接,2026-03-09,33.76,33.8444,2026-03-13,2026-03-16,30.07,29.9948,-10.93,-11.37,1.51,-10.34,5,hard_stop_8pct,-21666859.79,0.0,-0.03033,0.0,0,32,True
sh600149,2026-03-05,69.06,31.76,15.59,13.52,-15.06,-1.43,660370053.77,2.8040557305718554,-1.4347202295552308,0.17561145805740708,0.01750320027992336,0.01739,0.01389,0.02206,0.03252,0.55,0.45,0.6,79.04,73.65,48.23,75.15,7,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,3.78,1.811,0.00301,0.03214,0.08444,0.16883,-0.01391,3.21449,-6.92,-13.58,0.45138,1.0111,2.5,回踩均线承接,2026-03-09,6.87,6.8872,2026-03-13,2026-03-16,6.29,6.2743,-8.44,-8.9,3.64,-12.37,5,hard_stop_8pct,-35212480.0,0.0,-0.02314,0.0,4,32,True
sz002357,2026-03-05,64.84,31.26,10.54,2.43,-14.27,-2.72,489160819.99999994,1.6558359991520004,0.31172069825435855,6.0908340941942285,0.06405425624644234,-1e-05,0.03466,-0.00208,0.01813,0.4,0.65,0.6,72.54,64.78,61.15,51.15,10,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,0.5,0.772,0.01894,0.062,0.40768,0.44147,-0.15386,6.19986,-2.24,-5.83,0.00016,1.54684,1.314,回踩均线承接,2026-03-09,15.96,15.9999,2026-03-19,2026-03-20,14.46,14.4239,-9.4,-9.85,1.63,-10.34,9,hard_stop_8pct,-45930554.4,0.0,-0.02904,0.0,4,27,True
sz002913,2026-03-06,80.39,22.19,14.21,-1.25,-20.75,5.36,1023563205.1599998,3.4295794446968624,10.002070822116371,9.662496121530666,0.7687290912601763,0.02363,0.03811,0.03121,0.04898,0.45,0.7,0.8,65.5,96.68,67.58,100.0,1,趋势中继原型,2026-03-06,2026-03-11,回踩均线承接,2026-03-11,0.19,1.814,0.00983,0.04455,-0.02361,0.10539,-0.04351,4.45459,-3.28,-13.17,0.00174,1.52756,2.929,回踩均线承接,2026-03-12,52.43,52.5611,2026-03-13,2026-03-16,47.7,47.5808,-9.02,-9.48,0.53,-10.45,2,hard_stop_8pct,-67430519.34,0.0,-0.05532,0.0,0,29,True
sh600468,2026-03-06,71.92,19.08,17.28,9.9,-15.67,2.11,1580979449.5800002,4.285151308831532,2.1052631578947434,-9.942022265485907,0.0058609631152771735,0.06944,0.04918,0.101,0.07938,0.65,0.35,0.8,64.25,95.71,36.59,100.0,6,趋势中继原型,2026-03-06,2026-03-13,回踩均线承接,2026-03-13,3.13,1.85,0.04272,0.03256,-0.01418,-0.07108,-0.1635,3.25646,-4.92,-10.7,0.33677,1.13467,1.818,回踩均线承接,2026-03-16,8.87,8.8922,2026-03-17,2026-03-18,8.17,8.1496,-7.89,-8.35,0.45,-8.23,2,hard_stop_8pct,-67242460.4,0.0,-0.05634,0.0,1,27,True
sz002937,2026-03-06,66.33,15.1,8.07,6.77,-15.27,0.25,247025019.45,0.9672929293569381,3.4795215657847045,9.436518212568451,0.069319163654457,0.0157,0.00751,0.03731,0.03208,0.65,0.45,0.8,50.91,93.16,69.64,10.48,9,趋势中继原型,2026-03-06,2026-03-09,回踩均线承接,2026-03-09,-2.8,1.172,0.04448,0.05343,0.08188,0.10762,0.17124,5.34261,-3.88,-7.66,2e-05,1.46576,1.015,回踩均线承接,2026-03-10,28.1,28.1702,2026-03-17,2026-03-18,25.43,25.3664,-9.5,-9.95,6.76,-10.36,6,hard_stop_8pct,-86542852.45,0.0,-0.05565,0.0,3,31,True
sz002384,2026-03-10,82.5,27.55,24.5,3.54,-20.96,9.49,9450955292.660002,1.5149757500614383,9.995928338762216,4.327317040930495,0.4579495504027349,0.03602,0.03195,0.02544,0.03156,0.75,0.7,1.0,77.56,97.33,67.13,83.83,1,趋势中继原型,2026-03-10,2026-03-12,回踩均线承接,2026-03-12,4.29,1.237,0.06352,0.02302,0.07308,-0.00204,0.06147,2.30172,-2.1,-9.36,0.00272,1.2991,1.452,回踩均线承接,2026-03-13,111.11,111.3878,2026-03-19,2026-03-20,117.07,116.7773,5.36,4.84,8.45,-8.35,5,cum_super_peak_dd_20pct_3d,-1499048341.74,163495478.19,-0.02672,1016.87,3,28,True
sz002730,2026-03-10,78.58,20.79,15.14,10.43,-14.55,3.91,1104549423.99,4.075286063688939,3.9123630672926346,4.827088527863179,-0.007430190339834386,0.03548,0.05284,0.03873,0.06486,0.55,0.65,1.0,64.53,95.71,62.88,100.0,2,趋势中继原型,2026-03-10,2026-03-13,回踩均线承接,2026-03-13,-1.29,1.136,-0.00518,0.01457,-0.02371,-0.00419,-0.07211,1.45724,-5.42,-8.82,9e-05,1.50534,2.693,回踩均线承接,2026-03-16,18.99,19.0375,2026-03-23,2026-03-24,22.78,22.7231,19.96,19.36,25.75,-0.05,6,cum_super_peak_dd_20pct_3d,205509.64,32745215.0,5e-05,99.37,3,27,True
sz002733,2026-03-10,69.27,17.43,18.08,5.5,-21.95,-2.92,1457662556.3500004,3.2552477127770407,4.283290924512295,12.069050289013411,0.5021365346262292,0.02652,0.0246,0.03749,0.0393,0.2,0.4,1.0,61.11,74.29,59.74,100.0,4,趋势中继原型,2026-03-10,2026-03-16,回踩均线承接,2026-03-16,3.0,1.642,0.01879,0.00926,-0.04827,-0.02931,0.1221,0.92637,-0.21,-14.87,0.0009,1.32222,3.189,回踩均线承接,2026-03-17,27.8,27.8695,2026-03-19,2026-03-20,24.8,24.738,-10.79,-11.24,7.88,-10.79,3,hard_stop_8pct,5731730.98,29321792.56,0.00168,80.45,1,26,True
sh600645,2026-03-10,66.99,22.23,18.01,15.28,-19.42,0.35,602665677.19,1.7892011594363104,1.8512504059759571,2.4666559358935203,-0.029472179057577597,0.02777,0.02917,0.03646,0.03949,0.5,0.45,1.0,68.95,82.86,43.65,63.9,9,趋势中继原型,2026-03-10,2026-03-12,回踩均线承接,2026-03-12,0.55,1.225,0.00546,0.02876,-0.03449,-0.029,-0.04048,2.87624,-1.86,-4.26,0.3825,0.97339,2.248,回踩均线承接,2026-03-13,31.18,31.2579,2026-04-03,2026-04-07,27.99,27.92,-10.23,-10.68,5.81,-8.85,16,hard_stop_8pct,-113431525.28,0.0,-0.01048,0.0,1,28,True
sz001216,2026-03-10,66.73,12.55,11.63,8.91,-15.26,2.25,507242992.25000006,2.5179442283237785,6.03700097370985,13.726053060124844,0.004081708868596268,0.02905,0.00795,0.0432,0.0309,0.5,0.3,1.0,50.81,79.27,69.39,63.94,10,趋势中继原型,2026-03-10,2026-03-11,回踩均线承接,2026-03-11,1.06,1.838,0.00369,0.03302,0.12693,0.18013,0.02798,3.30222,-0.59,-9.92,0.00105,1.39681,2.012,回踩均线承接,2026-03-12,21.51,21.5638,2026-03-19,2026-03-20,19.44,19.3914,-9.62,-10.07,1.02,-11.67,6,hard_stop_8pct,-13438848.98,0.0,-0.01358,0.0,1,29,True
sh603301,2026-03-11,71.93,30.5,2.02,0.8,-9.38,1.43,539552903.49,1.2451193529944635,5.07048410009836,2.1888865769432186,-0.20194465622409435,0.0226,0.01694,0.0119,0.05097,0.5,0.7,1.0,65.3,89.15,68.08,41.15,5,趋势中继原型,2026-03-11,2026-03-12,回踩均线承接,2026-03-12,-3.28,0.888,0.01157,0.12292,-0.00086,0.16939,0.02873,12.29249,-5.57,-7.86,0.43841,1.17081,0.912,回踩均线承接,2026-03-13,93.0,93.2325,2026-03-26,2026-03-27,91.22,90.992,-1.91,-2.4,3.23,-5.16,10,cum_super_peak_dd_20pct_3d,-20111032.12,4527495.0,-0.00718,544.2,3,28,True
sh603115,2026-03-11,70.17,31.69,12.4,6.7,-16.19,0.59,510267313.0,1.5485368925329561,0.5937499999999929,3.286465068947109,-0.051646338788704615,0.03729,0.03343,0.01639,0.00287,0.6,0.6,1.0,76.1,90.05,43.62,49.12,8,趋势中继原型,2026-03-11,2026-03-13,回踩均线承接,2026-03-13,-0.12,0.967,0.00209,0.033,0.05414,0.1445,0.05647,3.30015,-4.6,-8.32,0.41304,0.94736,1.139,回踩均线承接,2026-03-16,32.62,32.7015,2026-03-17,2026-03-18,30.18,30.1045,-7.48,-7.94,0.8,-8.31,2,hard_stop_8pct,-25660567.6,0.0,-0.04084,0.0,1,27,True
sz000967,2026-03-11,70.1,21.05,9.86,9.05,-14.01,7.23,1109645772.22,3.498922199287783,7.840909090909087,2.550932501943322,0.5291940987484585,0.00134,0.02355,-0.00394,0.04192,0.55,0.6,1.0,60.15,61.98,81.45,100.0,9,趋势中继原型,2026-03-11,2026-03-16,回踩均线承接,2026-03-16,-1.67,1.08,0.03536,0.01283,-0.18174,-0.18794,-0.04526,1.28282,-8.76,-10.0,6e-05,1.41554,2.274,回踩均线承接,2026-03-17,8.89,8.9122,2026-04-20,2026-04-21,13.62,13.586,53.21,52.44,64.0,-8.21,23,cum_super_peak_dd_20pct_3d,119803166.07,349195355.79,0.0041,65.69,3,26,True
sz000545,2026-03-12,74.95,32.99,14.33,12.32,-14.62,2.87,1279703230.78,2.7577454735391305,2.872062663185382,-11.158078312654322,-0.26323589490719357,0.08203,0.05957,0.07559,0.05521,0.65,0.5,1.0,79.5,95.71,30.42,100.0,4,趋势中继原型,2026-03-12,2026-03-16,回踩均线承接,2026-03-16,3.55,1.937,0.11751,0.0756,0.10143,-0.0501,0.64721,7.56006,-1.92,-10.62,0.04522,1.25336,1.969,回踩均线承接,2026-03-17,4.0,4.01,2026-03-19,2026-03-20,3.42,3.4115,-14.5,-14.93,3.5,-13.5,3,hard_stop_8pct,-23054870.12,3814576.24,-0.01284,704.39,2,26,True
sh600328,2026-03-12,68.99,14.91,3.87,7.23,-9.56,4.73,1696080792.17,4.094690283216325,4.728370221327971,10.776999754601256,-0.040269571240539426,0.0194,0.02273,0.02216,0.02666,0.55,0.65,1.0,46.91,77.18,71.61,100.0,10,趋势中继原型,2026-03-12,2026-03-16,回踩均线承接,2026-03-16,-2.37,1.719,0.02067,-0.00973,0.01334,0.1124,-0.10123,-0.97301,-5.53,-7.42,0.26245,0.99083,2.876,回踩均线承接,2026-03-17,9.84,9.8646,2026-03-25,2026-03-26,9.51,9.4862,-3.35,-3.84,8.03,-6.0,7,cum_super_peak_dd_20pct_3d,-55522446.29,4089699.22,-0.01017,1457.62,3,26,True
sz002652,2026-03-13,73.82,28.47,13.29,9.37,-20.3,2.61,579241884.39,3.195311261587675,2.607076350093096,0.5430559727759885,-0.019698108281682725,0.02057,0.05972,0.03078,0.08839,0.45,0.75,1.0,72.76,96.31,45.44,69.21,4,趋势中继原型,2026-03-13,2026-03-17,回踩均线承接,2026-03-17,-1.61,3.491,0.10019,0.02395,0.09791,0.03769,0.32967,2.39457,-6.47,-13.52,0.05099,1.34536,2.188,回踩均线承接,2026-03-18,5.57,5.5839,2026-03-19,2026-03-20,4.9,4.8878,-12.03,-12.47,1.26,-13.29,2,hard_stop_8pct,-30499569.8,0.0,-0.03244,0.0,0,25,True
sh600121,2026-03-13,71.56,18.98,7.08,8.44,-11.87,9.92,299188885.25,1.0149875452858106,9.922178988326857,42.60429164789638,1.5078871416731547,0.0463,0.02582,0.06168,0.04798,0.6,0.35,1.0,55.01,91.43,85.86,15.89,6,趋势中继原型,2026-03-13,2026-03-17,回踩均线承接,2026-03-17,-0.95,2.376,0.05619,0.04571,0.07464,0.09892,-0.00561,4.57149,-10.6,-13.16,0.45525,1.01178,2.437,回踩均线承接,2026-03-18,5.17,5.1829,2026-04-01,2026-04-02,4.59,4.5785,-11.22,-11.66,10.06,-11.8,11,hard_stop_8pct,85645679.86,150998879.06,0.00893,43.28,0,25,True
sh603218,2026-03-13,67.93,14.4,8.85,7.12,-13.21,6.25,1063502689.2500001,4.753264824402812,7.4887023886378135,5.766332482266453,-0.03167211279339022,0.01211,0.03807,0.01357,0.03332,0.35,0.6,1.0,50.7,72.68,69.14,100.0,10,趋势中继原型,2026-03-13,2026-03-19,回踩均线承接,2026-03-19,1.82,1.781,0.01803,0.05036,-0.03354,-0.15357,-0.08245,5.0362,-11.47,-14.57,0.35967,0.97355,2.591,回踩均线承接,2026-03-20,15.01,15.0475,2026-04-03,2026-04-07,13.35,13.3166,-11.06,-11.5,2.6,-11.39,11,hard_stop_8pct,-109321703.82,0.0,-0.03082,0.0,4,23,True
sz002831,2026-03-16,72.51,13.57,8.51,15.78,-20.14,2.65,1306138379.73,3.1621320281252006,10.011574074074069,16.085944052377666,0.19762417666140286,0.00948,0.01863,0.04632,0.05354,0.45,0.55,1.0,49.33,87.14,68.83,100.0,2,趋势中继原型,2026-03-16,2026-03-20,回踩均线承接,2026-03-20,-2.74,0.996,0.02849,-0.00956,-0.0196,-0.03238,-0.08768,-0.95567,-12.44,-14.78,0.00121,1.52129,1.954,回踩均线承接,2026-03-23,33.63,33.7141,2026-04-24,2026-04-24,37.05,36.9574,10.17,9.62,18.61,-7.46,22,window_end,-98257288.53,0.0,-0.00924,0.0,0,22,True
sz002531,2026-03-16,71.63,32.55,25.84,15.86,-21.34,-1.85,1877788751.4300003,2.6891201148762285,-1.85185185185186,-8.991395852777508,-0.04884146457377425,0.05889,0.05543,0.05745,0.06203,0.7,0.7,1.0,83.99,100.0,5.72,100.0,3,趋势中继原型,2026-03-16,2026-03-17,回踩均线承接,2026-03-17,-3.28,2.212,0.00716,0.02947,0.10304,0.06443,-0.11341,2.94707,-12.01,-13.58,0.00041,1.427,2.096,回踩均线承接,2026-03-18,11.8,11.8295,2026-04-07,2026-04-08,11.22,11.192,-4.92,-5.39,0.68,-13.56,14,cum_super_peak_dd_20pct_3d,-77449921.46,2432447.2,-0.00698,3284.03,3,25,True
sh603538,2026-03-16,68.64,19.0,14.85,12.36,-20.3,-0.95,780240340.2799999,4.01103449484972,-0.9459992116673366,1.5438981193508994,0.014501114382191038,0.04975,0.04066,0.06853,0.06255,0.6,0.4,1.0,61.97,91.43,38.61,83.92,6,趋势中继原型,2026-03-16,2026-03-18,回踩均线承接,2026-03-18,0.0,2.684,0.02869,0.05538,0.12244,0.23194,-0.0038,5.53767,-1.46,-8.74,0.45957,0.88754,3.715,回踩均线承接,2026-03-19,25.8,25.8645,2026-04-20,2026-04-21,51.28,51.1518,98.76,97.77,117.79,-6.98,21,cum_super_peak_dd_20pct_3d,105158266.74,613317153.51,0.00224,82.85,3,24,True
sz002655,2026-03-16,67.33,31.02,-5.52,-3.01,-14.25,-3.63,718485267.0799999,1.0461553823023615,6.022659511031603,5.628714033950686,0.04022235251593842,0.02756,0.03807,-0.00296,0.0077,0.5,0.5,1.0,56.18,76.35,75.97,47.61,7,趋势中继原型,2026-03-16,2026-03-20,回踩均线承接,2026-03-20,-2.49,0.767,0.02474,0.06265,0.03131,0.19697,-0.02806,6.26505,-6.67,-11.67,0.00028,1.38249,0.79,回踩均线承接,2026-03-23,16.86,16.9021,2026-03-27,2026-03-30,17.38,17.3365,3.08,2.57,6.52,-3.91,5,cum_super_peak_dd_20pct_3d,-16894019.0,778830.0,-0.00796,2269.15,3,22,True
sz002594,2026-03-16,66.29,10.67,2.98,2.2,-12.97,3.8,11138193860.569998,2.0943080276243413,4.96638908397713,14.193516001157995,-0.09934887205162801,0.03771,0.04195,0.05484,0.06142,0.5,0.5,1.0,40.66,82.86,60.37,100.0,9,趋势中继原型,2026-03-16,2026-03-19,回踩均线承接,2026-03-19,0.61,0.913,0.02126,0.02404,-0.09842,-0.19271,-0.16211,2.4039,-4.08,-7.38,0.00131,1.53174,1.575,回踩均线承接,2026-03-20,101.99,102.245,2026-03-26,2026-03-27,104.0,103.74,1.97,1.46,9.64,-0.42,5,cum_super_peak_dd_20pct_3d,-218235804.68,1488207319.02,-0.00429,114.66,3,23,True
sz002636,2026-03-16,65.33,19.55,6.53,14.64,-21.42,5.48,1496221731.1100001,1.3444322462733052,10.017211703958683,14.928512190789633,0.9465743867851073,0.02279,0.02727,0.01197,0.01031,0.5,0.55,1.0,55.25,69.7,66.2,78.15,10,趋势中继原型,2026-03-16,2026-03-17,回踩均线承接,2026-03-17,1.44,1.736,-0.00619,-0.00817,0.09501,0.1473,0.08437,-0.81745,1.44,-14.61,0.00149,1.29043,1.258,回踩均线承接,2026-03-18,31.85,31.9296,2026-03-23,2026-03-24,28.51,28.4387,-10.49,-10.93,9.89,-11.55,4,hard_stop_8pct,-113881189.13,24246051.29,-0.01551,569.69,1,25,True
