rule,count,win_rate,avg_return,median_return,max_return,min_return,score
hold_negative_super_day_ratio <= 0.8,68,63.24,4.77,2.91,59.71,-11.9,8.923200000000001
launch_to_entry_amount_sum <= 7.38555e+09,41,60.98,4.62,3.07,59.71,-14.52,8.872399999999999
hold_oib_ratio >= -0.071578,65,61.54,4.27,3.07,59.71,-14.52,8.847199999999999
discover_to_entry_active_buy_strength_avg <= 2.2429,41,63.41,4.74,2.82,59.71,-11.36,8.8408
discover_to_entry_main_positive_day_ratio <= 0.625,55,61.82,4.51,2.99,59.71,-16.72,8.8376
hold_cvd_ratio >= -0.02832,41,63.41,4.58,2.82,59.71,-11.09,8.8088
launch_to_entry_positive_l2_bar_ratio_avg <= 0.59791,53,62.26,4.17,2.99,45.49,-16.72,8.8048
launch_to_entry_amount_avg <= 1.45542e+09,43,65.12,3.84,2.82,45.49,-11.9,8.797600000000001
hold_support_spread_avg >= -0.0491995,53,60.38,4.81,2.99,59.71,-14.52,8.7824
hold_main_positive_day_ratio >= 0.2,66,62.12,4.5,2.91,59.71,-16.72,8.7796
hold_negative_main_day_ratio <= 0.8,66,62.12,4.5,2.91,59.71,-16.72,8.7796
discover_to_entry_positive_l2_bar_ratio_avg <= 0.52275,41,63.41,4.27,2.82,59.71,-16.72,8.746799999999999
hold_amount_sum >= 5.18432e+09,53,60.38,4.45,2.99,59.71,-18.38,8.7104
discover_to_entry_return_pct <= 3.365,41,65.85,3.1,2.82,45.49,-11.09,8.707999999999998
pull_to_entry_amount_sum <= 1.88946e+09,53,60.38,3.97,3.07,45.49,-11.36,8.6944
pull_to_entry_amount_avg <= 1.88946e+09,53,60.38,3.97,3.07,45.49,-11.36,8.6944
discover_to_entry_main_positive_day_ratio <= 0.55055,41,60.98,4.9,2.82,59.71,-16.72,8.6784
hold_positive_l2_bar_ratio_avg >= 0.3537,66,62.12,4.39,2.82,59.71,-14.52,8.6676
hold_super_net_ratio >= -0.028108,65,61.54,4.61,2.82,59.71,-14.52,8.6652
hold_cum_super_ratio_last >= -0.028108,65,61.54,4.61,2.82,59.71,-14.52,8.6652
launch_to_entry_max_drawdown_pct <= -1.9435,53,64.15,3.52,2.82,45.49,-18.38,8.656
launch_to_entry_support_spread_avg <= 0.0230105,53,66.04,2.71,2.82,45.49,-11.9,8.6452
launch_to_entry_main_net_ratio <= 0.069202,65,63.08,3.73,2.82,45.49,-16.72,8.612400000000001
hold_amount_avg <= 1.51515e+09,41,63.41,3.58,2.82,45.49,-16.72,8.608799999999999
discover_to_entry_active_buy_strength_avg <= 4.9963,65,61.54,4.31,2.82,59.71,-14.52,8.6052
launch_to_entry_positive_l2_bar_ratio_avg <= 0.6279,66,62.12,4.07,2.82,59.71,-16.72,8.6036
pull_to_entry_amount_anomaly_avg <= 0.9816,42,61.9,4.73,2.69,45.49,-11.36,8.588
discover_to_entry_cvd_ratio <= -0.005508,53,60.38,4.6,2.82,59.71,-18.38,8.5704
hold_cancel_buy_ratio >= 0.00362,41,60.98,4.21,2.82,59.71,-14.52,8.5404
launch3_main_net_ratio <= 0.082828,65,61.54,3.87,2.82,45.49,-11.9,8.517199999999999
discover_to_entry_positive_l2_bar_ratio_avg <= 0.56087,53,60.38,4.31,2.82,59.71,-16.72,8.5124
launch_to_entry_amount_anomaly_avg <= 1.14651,53,62.26,3.55,2.82,45.49,-11.9,8.5108
discover_to_entry_order_event_count_sum <= 986602,41,58.54,3.75,3.07,45.49,-11.9,8.5032
discover_to_entry_main_net_ratio <= 0.041851,53,62.26,3.46,2.82,30.63,-11.36,8.4928
hold_cum_super_ratio_max_drawdown <= -0.01549,54,59.26,4.56,2.82,59.71,-14.52,8.4728
hold_cum_super_ratio_max_drawdown <= -0.02612,41,58.54,4.76,2.82,59.71,-14.52,8.4552
discover_to_entry_cvd_ratio <= 0.010362,65,60.0,4.06,2.82,59.71,-18.38,8.431999999999999
launch_to_entry_oib_ratio <= 0.0191615,53,64.15,2.35,2.82,45.49,-11.9,8.422
discover_to_entry_main_net_ratio <= 0.054082,65,61.54,3.34,2.82,45.49,-16.72,8.4112
launch_to_entry_active_buy_strength_avg <= 6.6823,67,61.19,3.47,2.82,45.49,-11.36,8.4092
pull_to_entry_cancel_buy_ratio >= 0.0101,41,58.54,4.5,2.82,59.71,-18.38,8.4032
discover_to_entry_days >= 7,52,61.54,3.88,2.67,59.71,-16.72,8.369200000000001
hold_cvd_ratio >= -0.065064,65,60.0,3.67,2.82,59.71,-11.9,8.354
hold_cum_main_ratio_min >= -0.066716,53,58.49,4.13,2.82,59.71,-14.52,8.3252
launch3_super_net_ratio <= 0.03238,53,60.38,3.35,2.82,45.49,-11.9,8.3204
launch_to_entry_max_daily_super_outflow_ratio >= -0.07338,54,57.41,3.83,2.94,59.71,-18.38,8.2988
pull_to_entry_order_event_count_sum <= 132967,44,61.36,3.44,2.69,45.49,-11.09,8.286800000000001
discover_to_entry_cvd_ratio <= -0.016885,41,60.98,2.94,2.82,45.49,-18.38,8.286399999999999
discover_to_entry_super_positive_day_ratio <= 0.5,41,63.41,3.41,2.52,59.71,-18.38,8.2748
discover_to_entry_super_positive_day_ratio <= 0.52275,41,63.41,3.41,2.52,59.71,-18.38,8.2748
discover_to_entry_buy_support_avg <= 1.39108,41,58.54,3.67,2.82,45.49,-11.9,8.2372
discover_to_entry_add_buy_ratio <= 1.38419,41,58.54,3.67,2.82,45.49,-11.9,8.2372
discover_to_entry_days >= 6,64,60.94,3.46,2.67,59.71,-18.38,8.2372
pull_to_entry_cvd_ratio <= 0.008065,41,53.66,3.83,3.16,59.71,-18.38,8.2188
pull_to_entry_cvd_ratio <= 0.03902,54,57.41,4.18,2.79,59.71,-18.38,8.2188
pullback_support_spread_avg >= -0.066044,65,58.46,3.57,2.82,59.71,-18.38,8.2108
hold_cum_super_ratio_min >= -0.039456,53,56.6,4.24,2.82,59.71,-14.52,8.196000000000002
pull_to_entry_sell_pressure_avg <= 1.38256,53,56.6,4.0,2.82,59.71,-18.38,8.148000000000001
pull_to_entry_add_sell_ratio <= 1.38261,53,56.6,4.0,2.82,59.71,-18.38,8.148000000000001
discover_to_entry_max_daily_super_outflow_ratio <= -0.04108,66,60.61,3.14,2.67,59.71,-18.38,8.146799999999999
hold_cum_super_ratio_max_drawdown <= -0.00841,67,56.72,3.94,2.82,59.71,-14.52,8.1456
hold_cancel_buy_ratio >= 0.0010275,53,56.6,3.91,2.82,59.71,-18.38,8.13
holding_days >= 3,72,59.72,3.4,2.67,59.71,-18.38,8.1276
hold_days >= 3,72,59.72,3.4,2.67,59.71,-18.38,8.1276
launch_to_entry_amount_anomaly_avg <= 0.9716,41,63.41,4.03,2.22,45.49,-11.9,8.0988
discover_to_entry_amount_avg <= 1.6309e+09,53,60.38,3.65,2.52,59.71,-16.72,8.080400000000001
launch_to_entry_amount_avg <= 1.857e+09,53,60.38,3.65,2.52,59.71,-16.72,8.080400000000001
launch_to_entry_cvd_ratio <= 0.014504,53,56.6,3.65,2.82,59.71,-18.38,8.078000000000001
discover_to_entry_positive_l2_bar_ratio_avg <= 0.61104,65,60.0,3.78,2.52,59.71,-16.72,8.076
hold_oib_ratio >= -0.027645,41,56.1,5.34,2.52,59.71,-14.52,8.076
launch_to_entry_positive_l2_bar_ratio_avg <= 0.5429,42,59.52,3.22,2.67,45.49,-16.72,8.075600000000001
launch_to_entry_max_drawdown_pct <= -2.655,41,58.54,2.77,2.82,30.63,-18.38,8.0572
launch_to_entry_cancel_buy_ratio >= 0.011515,41,56.1,3.68,2.82,59.71,-16.72,8.044
hold_support_spread_avg >= -0.01186,41,56.1,5.1,2.52,59.71,-14.52,8.028
launch_to_entry_buy_support_avg <= 1.4013,42,57.14,3.17,2.82,45.49,-11.9,8.0252
discover_to_entry_buy_support_avg <= 1.43198,53,58.49,2.59,2.82,45.49,-11.9,8.0172
discover_to_entry_max_drawdown_pct <= -2.3,65,60.0,3.38,2.52,59.71,-18.38,7.996
hold_order_event_count_sum >= 532966,53,56.6,3.15,2.82,59.71,-18.38,7.978000000000001
discover_to_entry_add_sell_ratio <= 1.39991,53,54.72,3.78,2.82,59.71,-18.38,7.9536
pull_to_entry_sell_pressure_avg <= 1.26268,41,56.1,3.18,2.82,59.71,-18.38,7.944
launch_to_entry_main_price_divergence <= 0.003812,65,55.38,3.43,2.82,59.71,-18.38,7.936400000000001
