feature,importance
volatility_20d,0.07394157397226082
volatility_10d,0.061794139059418156
dist_ma60_pct,0.045629731802756195
gem_index_ma20,0.03371810051730477
return_20d_pct,0.025790529715709342
hs300_ma20,0.024313469323301074
gem_index_close,0.024177434264617746
price_position_60d,0.023803116112814184
csi500_close,0.023495992311129556
hs300_close,0.021761403882102303
close_ask_resting_amount_yi_signed_log,0.01863970715281588
csi1000_ma20_slope_5d_pct,0.01771114092340721
cancel_sell_ratio,0.017293080531156732
dist_ma20_pct,0.015672357232774478
gem_index_ma20_slope_5d_pct,0.015567709129088779
csi1000_close,0.014607900590540715
close_bid_resting_amount_yi,0.014370021971751327
csi1000_return_20d_pct,0.014226753739525201
market_limit_up_count,0.013837291648491101
market_total_amount_yi_signed_log,0.013255694765550174
return_10d_pct,0.012848339610469384
sh_index_close,0.01277183579639562
close_ask_resting_amount_yi,0.01269614304569653
csi500_ma20,0.012604647151058582
price_position_20d,0.012394857494288841
csi500_ma20_slope_5d_pct,0.012243062814586099
close_bid_resting_amount_yi_signed_log,0.012039493005459232
buy_support_ratio,0.011743621781998831
market_total_amount_yi,0.011340615287807197
cancel_buy_ratio,0.011337914279570989
sell_pressure_ratio,0.010996923972850266
high,0.010714542773189914
breakout_vs_prev20_high_pct,0.010588822677754527
sh_index_return_20d_pct,0.010267904514770696
return_5d_pct,0.010240755542617504
hs300_ma20_slope_5d_pct,0.010100936133990136
close_bid_ask_resting_total_yi,0.009798587754091898
csi1000_ma20,0.00969051997261054
ma20,0.009359881871314507
hot_theme_score,0.009163036478363213
low,0.009130944242948472
return_3d_pct,0.009035426943375646
csi500_return_20d_pct,0.008975982859672443
hot_theme_best_rank,0.008721349489558808
sh_index_ma20_slope_5d_pct,0.00852753845063404
drawdown_from_20d_high_pct,0.008262225097956523
ma60,0.008151854261887774
open,0.008036452870166967
sh_index_ma20,0.007754109572147858
gem_index_return_20d_pct,0.007723437985833185
gem_index_dist_ma20_pct,0.007377527106030781
close,0.007134007122591612
sh_index_dist_ma20_pct,0.006804532071550231
prev_close,0.006669463763489901
hs300_return_20d_pct,0.006265232850183618
hot_theme_persistence_score,0.005845362909677636
add_buy_ratio,0.005653993585831979
return_1d_pct,0.0049072619102168155
csi1000_dist_ma20_pct,0.004866714368537262
add_sell_ratio,0.003943542631381725
amount_yi,0.00391867430895259
amount_yi_signed_log,0.0038297293878820217
csi500_dist_ma20_pct,0.003745837975409034
trade_count,0.0034084385653491036
