trade_date,rank,symbol,name,final_score,model_score,rule_score,entry_date,entry_buyable,entry_gap_pct,max_runup_pct,max_drawdown_pct,close_return_pct
2026-01-05,1,sz002132,sz002132,99.50556536392196,99.50556536392196,7.11109503959944,2026-01-06,1,0.0,23.714285714285708,0.0,11.99999999999999
2026-01-05,2,sh600606,sh600606,98.8053169482182,98.8053169482182,16.590322710252792,2026-01-06,1,0.0,3.571428571428581,-5.357142857142849,0.5952380952380931
2026-01-05,3,sh600089,sh600089,98.74030688039043,98.74030688039043,7.690654437063917,2026-01-06,1,0.3496503496503544,43.684668989547035,-0.043554006968649,26.74216027874565
2026-01-06,1,sz002409,sz002409,101.56199053350906,101.56199053350906,34.619463145925664,2026-01-07,1,6.083140314519064,15.996322684440356,-3.5853826706504166,1.8616410020684928
2026-01-06,2,sz002716,sz002716,98.53335076349806,98.53335076349806,14.96915666476582,2026-01-07,1,1.6129032258064502,160.0732600732601,-6.8376068376068355,69.71916971916974
2026-01-06,3,sh600208,sh600208,98.01585593889637,98.01585593889637,15.176933058323062,2026-01-07,1,-0.2512562814070307,5.2896725440805925,-10.075566750629728,-7.304785894206544
2026-01-07,1,sz002692,sz002692,102.12997830467484,102.12997830467484,38.86005314010986,2026-01-08,1,-0.1912045889101432,12.06896551724137,-0.5747126436781436,6.321839080459779
2026-01-07,2,sz002498,sz002498,99.13437954091424,99.13437954091424,18.153398095274564,2026-01-08,1,-0.7575757575757569,66.15776081424936,-0.5089058524173073,49.10941475826973
2026-01-07,3,sz002452,sz002452,98.6738826971873,98.6738826971873,22.369404210453865,2026-01-08,1,-0.1166861143523934,25.467289719626173,-0.1168224299065379,16.121495327102785
2026-01-08,1,sh600293,sh600293,96.90762611339498,96.90762611339498,17.974767899258424,2026-01-09,1,-0.3067484662576669,22.769230769230788,-4.307692307692312,16.307692307692314
2026-01-08,2,sz002047,sz002047,96.51359976969084,96.51359976969084,20.54720712901855,2026-01-09,1,1.0230179028132946,22.02531645569621,-2.784810126582282,9.367088607594942
2026-01-08,3,sz002652,sz002652,96.22781567687328,96.22781567687328,13.236936955715333,2026-01-09,1,0.50761421319796,7.3232323232323315,-3.535353535353536,6.818181818181834
2026-01-09,1,sz002132,sz002132,99.37904792658762,99.37904792658762,14.424743068573106,2026-01-12,1,0.0,22.31638418079096,0.0,8.47457627118644
2026-01-09,2,sh600568,sh600568,97.69131908336074,97.69131908336074,16.302211439630078,2026-01-12,1,-1.1194029850746356,7.924528301886791,-6.41509433962264,1.132075471698113
2026-01-09,3,sz002047,sz002047,96.8109812981281,96.8109812981281,39.797395217837646,2026-01-12,1,0.7500000000000062,19.602977667493793,-4.714640198511177,5.955334987593042
