sample,strong_count,trade_hit_count,stable_trade_hit_count,combined_trade_hit_count,new_trade_hit_vs_stable
涨幅>=30%,674,40,15,55,40
涨幅>=50%,222,20,6,26,20
Top50,50,6,2,8,6
